# WMODE  eta_c  Re_omega
W  0.0  0.22009211756299346
W  5.296553190237315e29  0.21953935186744536
W  9.351158565670944e29  0.21911912978161846
W  1.6509636244473136e30  0.2183961444832819
W  2.9148055506773916e30  0.21712969453082018
W  5.14614087945388e30  0.21528812013643972
W  9.085602964160699e30  0.21154733216626148
W  1.6040793121684978e31  0.21084901343662424
W  2.8320304660865537e31  0.21883464638686345
W  4.999999999999999e31  0.23945063745937184
# ETAMODE  eta_c  Re_omega
E  5.0e31  0.12820435186511178
E  4.700000000000006e31  0.12190044493918602
E  4.43786837467246e31  0.11680572688750296
E  4.190356534237829e31  0.11221688381289137
