# q20(t) of the BDNK run, frame F1, eta_hat=0.03, N=24, sigma_KO=0.005, dt=0.20dx. gamma_per_period = envelope damping rate x P.
t_over_P,q,gamma_per_period
0.000000,4.91151184e-04,0.421493
0.019558,4.80083875e-04,0.421493
0.039116,4.50429879e-04,0.421493
0.058674,4.04435851e-04,0.421493
0.078232,3.45400688e-04,0.421493
0.097790,2.77373904e-04,0.421493
0.117348,2.04715048e-04,0.421493
0.136905,1.31677943e-04,0.421493
0.156463,6.20592420e-05,0.421493
0.176021,-1.05923215e-06,0.421493
0.195579,-5.54603941e-05,0.421493
0.215137,-9.98361313e-05,0.421493
0.234695,-1.33741095e-04,0.421493
0.254253,-1.57479551e-04,0.421493
0.273811,-1.71951726e-04,0.421493
0.293369,-1.78484335e-04,0.421493
0.312927,-1.78665055e-04,0.421493
0.332485,-1.74194192e-04,0.421493
0.352043,-1.66760420e-04,0.421493
0.371600,-1.57942198e-04,0.421493
0.391158,-1.49132991e-04,0.421493
0.410716,-1.41486803e-04,0.421493
0.430274,-1.35880397e-04,0.421493
0.449832,-1.32889490e-04,0.421493
0.469390,-1.32777517e-04,0.421493
0.488948,-1.35496813e-04,0.421493
0.508506,-1.40702819e-04,0.421493
0.528064,-1.47782114e-04,0.421493
0.547622,-1.55894594e-04,0.421493
0.567180,-1.64029160e-04,0.421493
0.586738,-1.71070991e-04,0.421493
0.606295,-1.75877202e-04,0.421493
0.625853,-1.77356512e-04,0.421493
0.645411,-1.74547832e-04,0.421493
0.664969,-1.66692348e-04,0.421493
0.684527,-1.53293936e-04,0.421493
0.704085,-1.34163428e-04,0.421493
0.723643,-1.09443385e-04,0.421493
0.743201,-7.96113816e-05,0.421493
0.762759,-4.54614044e-05,0.421493
0.782317,-8.06449801e-06,0.421493
0.801875,3.12887277e-05,0.421493
0.821433,7.11598500e-05,0.421493
0.840990,1.10043807e-04,0.421493
0.860548,1.46454050e-04,0.421493
0.880106,1.79006010e-04,0.421493
0.899664,2.06493429e-04,0.421493
0.919222,2.27952666e-04,0.421493
0.938780,2.42711036e-04,0.421493
0.958338,2.50416374e-04,0.421493
0.977896,2.51046435e-04,0.421493
0.997454,2.44898095e-04,0.421493
1.017012,2.32557733e-04,0.421493
1.036570,2.14855408e-04,0.421493
1.056128,1.92806434e-04,0.421493
1.075685,1.67544676e-04,0.421493
1.095243,1.40252285e-04,0.421493
1.114801,1.12090583e-04,0.421493
1.134359,8.41365483e-05,0.421493
1.153917,5.73287212e-05,0.421493
1.173475,3.24255475e-05,0.421493
1.193033,9.97816274e-06,0.421493
1.212591,-9.68144629e-06,0.421493
1.232149,-2.64370518e-05,0.421493
1.251707,-4.03707268e-05,0.421493
1.271265,-5.17333537e-05,0.421493
1.290823,-6.09058238e-05,0.421493
1.310380,-6.83541199e-05,0.421493
1.329938,-7.45817037e-05,0.421493
1.349496,-8.00826182e-05,0.421493
1.369054,-8.52984852e-05,0.421493
1.388612,-9.05821440e-05,0.421493
1.408170,-9.61701003e-05,0.421493
1.427728,-1.02165253e-04,0.421493
1.447286,-1.08530618e-04,0.421493
1.466844,-1.15094015e-04,0.421493
1.486402,-1.21562937e-04,0.421493
1.505960,-1.27548230e-04,0.421493
1.525518,-1.32594634e-04,0.421493
1.545075,-1.36215925e-04,0.421493
1.564633,-1.37932125e-04,0.421493
1.584191,-1.37306249e-04,0.421493
1.603749,-1.33978159e-04,0.421493
1.623307,-1.27693339e-04,0.421493
1.642865,-1.18324844e-04,0.421493
1.662423,-1.05887121e-04,0.421493
1.681981,-9.05409895e-05,0.421493
1.701539,-7.25896143e-05,0.421493
1.721097,-5.24659139e-05,0.421493
1.740655,-3.07123349e-05,0.421493
1.760213,-7.95439586e-06,0.421493
1.779770,1.51302584e-05,0.421493
1.799328,3.78453250e-05,0.421493
1.818886,5.95097690e-05,0.421493
1.838444,7.94901816e-05,0.421493
1.858002,9.72297057e-05,0.421493
1.877560,1.12271938e-04,0.421493
1.897118,1.24278581e-04,0.421493
1.916676,1.33040052e-04,0.421493
1.936234,1.38478695e-04,0.421493
1.955792,1.40644757e-04,0.421493
1.975350,1.39705661e-04,0.421493
