phase,N,etahat,sigko,nper,visc_compact,dt_fac,f_pgram,f_pencil,gamma_env,gamma_pencil,stable,ratio,agree_pct
A,24,0.0000,0.010,9,false,0.20,1.8844851,1.8825405,3.177133e-03,3.270118e-03,true,0.0694,0.1032
A,24,0.0100,0.010,9,false,0.20,1.8887308,1.8864103,3.969509e-03,4.068295e-03,true,0.03607,0.1229
A,24,0.0200,0.010,9,false,0.20,1.8916740,1.8887240,4.746076e-03,4.848909e-03,true,0.01904,0.1559
A,24,0.0300,0.010,9,false,0.20,1.8939690,1.8901391,5.514322e-03,5.624043e-03,true,0.01008,0.2022
A,24,0.0450,0.010,9,false,0.20,1.8965665,1.8909556,6.670829e-03,6.783855e-03,true,0.003884,0.2958
A,24,0.0600,0.010,9,false,0.20,NaN,NaN,NaN,NaN,false,NaN,NaN
A,24,0.0300,0.010,9,true,0.20,1.8968117,1.8941811,4.755590e-03,4.868238e-03,true,0.019,0.1387
A,24,0.0000,0.010,9,true,0.20,1.8844851,1.8825405,3.177133e-03,3.270118e-03,true,0.0694,0.1032
A,24,0.0300,0.010,9,false,0.10,1.8939690,1.8901391,5.514322e-03,5.624043e-03,true,0.01008,0.2022
A,24,0.0000,0.010,9,false,0.10,1.8844851,1.8825405,3.177133e-03,3.270118e-03,true,0.0694,0.1032
A,24,0.0300,0.005,9,false,0.20,1.8739276,1.8721597,3.909043e-03,4.001413e-03,true,0.04572,0.0943
A,24,0.0000,0.005,9,false,0.20,1.8729049,1.8712573,1.309160e-03,1.487513e-03,true,0.3369,0.0880
B,24,0.0000,0.00250,9,false,0.20,3.8731215,3.8684973,-2.492114e-03,-2.661712e-03,false,6.237,0.1194
B,24,0.0300,0.00250,9,false,0.20,1.8694007,1.8679799,2.996640e-03,3.201033e-03,true,0.08848,0.0760
B,24,0.0000,0.00125,9,false,0.20,3.7489306,3.7381897,-7.698253e-03,-7.330552e-03,false,552,0.2865
B,24,0.0300,0.00125,9,false,0.20,3.8839641,3.8832402,-5.610856e-04,-6.743196e-04,true,0.8868,0.0186
B,24,0.0100,0.00500,9,false,0.20,1.8740087,1.8724913,2.331919e-03,2.369137e-03,true,0.1619,0.0810
B,24,0.0200,0.00500,9,false,0.20,1.8742690,1.8727145,3.121833e-03,3.195314e-03,true,0.08527,0.0829
B,24,0.0450,0.00500,9,false,0.20,1.8724191,1.8700386,5.079765e-03,5.192514e-03,true,0.01813,0.1271
B,32,0.0000,0.01000,9,false,0.20,1.8771718,1.8753416,1.962120e-03,1.955179e-03,true,0.2127,0.0975
B,32,0.0300,0.01000,9,false,0.20,1.8831621,1.8806259,4.331199e-03,4.404195e-03,true,0.02653,0.1347
B,32,0.0000,0.00500,9,false,0.20,1.8736292,1.8721641,6.014615e-04,7.672109e-04,true,0.5554,0.0782
B,32,0.0300,0.00500,9,false,0.20,1.8731680,1.8714598,3.303950e-03,3.343638e-03,true,0.07365,0.0912
B,40,0.0000,0.00500,9,false,0.20,1.8773571,1.8746887,4.959997e-04,4.657324e-04,true,0.558,0.1421
B,40,0.0300,0.00500,9,false,0.20,1.8746710,1.8729332,2.984964e-03,3.062686e-03,true,0.09438,0.0927
B,32,0.0000,0.00250,9,false,0.20,4.0718014,4.0750596,-3.190693e-03,-2.454081e-03,false,12.32,0.0800
B,32,0.0300,0.00250,9,false,0.20,1.8726469,1.8710452,2.541079e-03,2.888146e-03,true,0.1036,0.0855
C,40,0.0000,0.00500,12,false,0.20,1.8753318,1.8746920,4.525333e-04,4.655201e-04,true,0.513,0.0341
C,40,0.0150,0.00500,12,false,0.20,1.8759164,1.8749837,1.822864e-03,1.811630e-03,true,0.1368,0.0497
C,40,0.0300,0.00500,12,false,0.20,1.8740416,1.8729324,3.028145e-03,3.062687e-03,true,0.03493,0.0592
C,40,0.0450,0.00500,12,false,0.20,1.8705880,1.8690662,4.224668e-03,4.281335e-03,true,0.009131,0.0814
C,48,0.0000,0.00500,12,false,0.20,1.8794042,1.8786528,4.221831e-04,4.688474e-04,true,0.5661,0.0400
C,48,0.0300,0.00500,12,false,0.20,1.8773075,1.8760540,3.024132e-03,3.075420e-03,true,0.03534,0.0668
