# CowlingEvolve3D, sigma_KO=0.01, kappa_min=0.5, dt=0.30dx, 9 f-mode periods, seed_ylm! (l=2,m), anchor star. surface=cut|mask.
surface,N,m,f_pgram,f_pencil,gamma,stable,ratio,agree_pct,df_kHz
cut,24,0,1.8846035,1.8825394,3.171907e-03,true,0.06933,0.1095,0.2092
cut,32,0,1.8772438,1.8753418,1.961578e-03,true,0.2127,0.1013,0.2092
cut,40,0,1.8788337,1.8768248,9.766126e-04,true,0.3608,0.1069,0.2095
cut,48,0,1.8834059,1.8811808,9.042264e-04,true,0.373,0.1181,0.2092
mask,24,0,1.9067245,1.8618252,1.226059e-02,true,8.281e-05,2.3548,0.2092
mask,32,0,1.8973787,1.8759990,9.811065e-03,true,0.0003185,1.1268,0.2092
mask,40,0,1.8753841,1.8640789,7.712665e-03,true,0.002192,0.6028,0.2095
cut,24,2,1.8846035,1.8825394,3.171907e-03,true,0.06933,0.1095,0.2092
cut,24,1,1.8633424,1.8618090,2.071908e-03,true,0.1912,0.0823,0.2092
cut,32,2,1.8772438,1.8753418,1.961578e-03,true,0.2127,0.1013,0.2092
cut,32,1,1.8697039,1.8679246,1.415152e-03,true,0.3255,0.0952,0.2092
cut,40,2,1.8788337,1.8768248,9.766126e-04,true,0.3608,0.1069,0.2095
cut,40,1,1.8727052,1.8708569,8.896198e-04,true,0.4925,0.0987,0.2095
