# q20(t) of the ideal cut-cell run, N=24, sigma_KO=0.005 (same as the BDNK series), seed (2,0). t in f-mode periods. gamma_per_period = envelope damping rate x P (numerical floor).
t_over_P,q,gamma_per_period
0.000000,4.91151184e-04,0.142474
0.018669,4.82017347e-04,0.142474
0.037338,4.55620382e-04,0.142474
0.056007,4.13674762e-04,0.142474
0.074676,3.58867734e-04,0.142474
0.093345,2.94589515e-04,0.142474
0.112014,2.24611424e-04,0.142474
0.130682,1.52752889e-04,0.142474
0.149351,8.25761253e-05,0.142474
0.168020,1.71395106e-05,0.142474
0.186689,-4.11708746e-05,0.142474
0.205358,-9.07248608e-05,0.142474
0.224027,-1.30652128e-04,0.142474
0.242696,-1.60780675e-04,0.142474
0.261365,-1.81529318e-04,0.142474
0.280034,-1.93775171e-04,0.142474
0.298703,-1.98715175e-04,0.142474
0.317372,-1.97736587e-04,0.142474
0.336041,-1.92306071e-04,0.142474
0.354710,-1.83881633e-04,0.142474
0.373378,-1.73847137e-04,0.142474
0.392047,-1.63465830e-04,0.142474
0.410716,-1.53847603e-04,0.142474
0.429385,-1.45924496e-04,0.142474
0.448054,-1.40429911e-04,0.142474
0.466723,-1.37878864e-04,0.142474
0.485392,-1.38548784e-04,0.142474
0.504061,-1.42462474e-04,0.142474
0.522730,-1.49376464e-04,0.142474
0.541399,-1.58778790e-04,0.142474
0.560068,-1.69900169e-04,0.142474
0.578737,-1.81741568e-04,0.142474
0.597405,-1.93119549e-04,0.142474
0.616074,-2.02728711e-04,0.142474
0.634743,-2.09218501e-04,0.142474
0.653412,-2.11279776e-04,0.142474
0.672081,-2.07735172e-04,0.142474
0.690750,-1.97626620e-04,0.142474
0.709419,-1.80293319e-04,0.142474
0.728088,-1.55434097e-04,0.142474
0.746757,-1.23149216e-04,0.142474
0.765426,-8.39581810e-05,0.142474
0.784095,-3.87918401e-05,0.142474
0.802764,1.10411978e-05,0.142474
0.821433,6.39120820e-05,0.142474
0.840101,1.17949917e-04,0.142474
0.858770,1.71136091e-04,0.142474
0.877439,2.21409210e-04,0.142474
0.896108,2.66774439e-04,0.142474
0.914777,3.05410790e-04,0.142474
0.933446,3.35769933e-04,0.142474
0.952115,3.56660575e-04,0.142474
0.970784,3.67313266e-04,0.142474
0.989453,3.67421610e-04,0.142474
1.008122,3.57157254e-04,0.142474
1.026791,3.37157663e-04,0.142474
1.045460,3.08487336e-04,0.142474
1.064129,2.72574821e-04,0.142474
1.082797,2.31129425e-04,0.142474
1.101466,1.86042824e-04,0.142474
1.120135,1.39281733e-04,0.142474
1.138804,9.27783466e-05,0.142474
1.157473,4.83253588e-05,0.142474
1.176142,7.48200949e-06,0.142474
1.194811,-2.85032116e-05,0.142474
1.213480,-5.87487275e-05,0.142474
1.232149,-8.27718849e-05,0.142474
1.250818,-1.00495418e-04,0.142474
1.269487,-1.12228645e-04,0.142474
1.288156,-1.18625300e-04,0.142474
1.306824,-1.20621321e-04,0.142474
1.325493,-1.19357117e-04,0.142474
1.344162,-1.16089659e-04,0.142474
1.362831,-1.12100211e-04,0.142474
1.381500,-1.08603607e-04,0.142474
1.400169,-1.06664685e-04,0.142474
1.418838,-1.07126845e-04,0.142474
1.437507,-1.10556825e-04,0.142474
1.456176,-1.17208640e-04,0.142474
1.474845,-1.27008417e-04,0.142474
1.493514,-1.39560540e-04,0.142474
1.512183,-1.54174256e-04,0.142474
1.530852,-1.69908751e-04,0.142474
1.549520,-1.85633640e-04,0.142474
1.568189,-2.00101050e-04,0.142474
1.586858,-2.12024889e-04,0.142474
1.605527,-2.20162566e-04,0.142474
1.624196,-2.23394411e-04,0.142474
1.642865,-2.20796221e-04,0.142474
1.661534,-2.11700849e-04,0.142474
1.680203,-1.95745375e-04,0.142474
1.698872,-1.72901290e-04,0.142474
1.717541,-1.43486030e-04,0.142474
1.736210,-1.08155305e-04,0.142474
1.754879,-6.78766692e-05,0.142474
1.773548,-2.38858713e-05,0.142474
1.792216,2.23715962e-05,0.142474
1.810885,6.93104755e-05,0.142474
1.829554,1.15283390e-04,0.142474
1.848223,1.58661879e-04,0.142474
1.866892,1.97916368e-04,0.142474
1.885561,2.31690726e-04,0.142474
1.904230,2.58867342e-04,0.142474
1.922899,2.78619238e-04,0.142474
1.941568,2.90446453e-04,0.142474
1.960237,2.94194838e-04,0.142474
1.978906,2.90056391e-04,0.142474
1.997575,2.78551308e-04,0.142474
2.016243,2.60492954e-04,0.142474
2.034912,2.36937911e-04,0.142474
2.053581,2.09124095e-04,0.142474
2.072250,1.78400575e-04,0.142474
2.090919,1.46153171e-04,0.142474
2.109588,1.13730120e-04,0.142474
2.128257,8.23720170e-05,0.142474
2.146926,5.31499928e-05,0.142474
2.165595,2.69155139e-05,0.142474
2.184264,4.26451275e-06,0.142474
2.202933,-1.44823386e-05,0.142474
2.221602,-2.92823581e-05,0.142474
2.240271,-4.03567529e-05,0.142474
2.258939,-4.81608457e-05,0.142474
2.277608,-5.33407049e-05,0.142474
2.296277,-5.66790394e-05,0.142474
2.314946,-5.90338276e-05,0.142474
2.333615,-6.12735414e-05,0.142474
2.352284,-6.42129904e-05,0.142474
2.370953,-6.85537245e-05,0.142474
2.389622,-7.48326185e-05,0.142474
2.408291,-8.33817285e-05,0.142474
2.426960,-9.43017997e-05,0.142474
2.445629,-1.07450957e-04,0.142474
2.464298,-1.22449183e-04,0.142474
2.482967,-1.38698218e-04,0.142474
2.501635,-1.55415619e-04,0.142474
2.520304,-1.71680833e-04,0.142474
2.538973,-1.86490473e-04,0.142474
2.557642,-1.98819433e-04,0.142474
2.576311,-2.07684160e-04,0.142474
2.594980,-2.12204291e-04,0.142474
2.613649,-2.11659004e-04,0.142474
2.632318,-2.05534742e-04,0.142474
2.650987,-1.93561518e-04,0.142474
2.669656,-1.75735692e-04,0.142474
2.688325,-1.52327906e-04,0.142474
2.706994,-1.23875761e-04,0.142474
2.725662,-9.11616723e-05,0.142474
