t,rhoc,errD,Mb,q00,q20,q22,vatm
0.000,1.2799999990e-03,0.000000e+00,1.5060782762e+00,1.5060774844e+00,-1.9845109369e-14,-3.6517892713e-16,0.0000e+00
1.045,1.2799998891e-03,3.364464e-04,1.5060969716e+00,1.5060961798e+00,-4.5892046319e-14,1.7300333419e-16,3.8464e-02
2.089,1.2799998752e-03,2.802813e-04,1.5060970319e+00,1.5060962401e+00,2.2512978073e-14,4.3022097119e-16,3.2903e-02
3.134,1.2799998589e-03,2.316691e-04,1.5060970638e+00,1.5060962720e+00,2.3646323045e-15,-1.4050145874e-15,5.7023e-02
4.178,1.2799998617e-03,5.332360e-04,1.5061145995e+00,1.5061138077e+00,-1.2823118870e-14,4.2018999675e-16,3.2624e-02
5.223,1.2799998435e-03,4.422526e-04,1.5061153897e+00,1.5061145979e+00,-1.0304165767e-14,2.8678057790e-15,4.4015e-02
6.267,1.2799998158e-03,3.661268e-04,1.5061159249e+00,1.5061151331e+00,-2.5145030293e-14,3.7700320602e-16,6.3877e-02
7.312,1.2799997723e-03,6.383912e-04,1.5061335113e+00,1.5061327195e+00,-1.5488704952e-14,-1.5396793986e-17,6.2864e-02
8.356,1.2799997696e-03,5.384342e-04,1.5061345171e+00,1.5061337253e+00,-4.3987711314e-14,-1.1462901949e-15,6.7224e-02
9.401,1.2799997679e-03,4.591349e-04,1.5061355155e+00,1.5061347237e+00,-1.5188337928e-14,9.1182343197e-16,7.2144e-02
10.445,1.2799997687e-03,4.901946e-04,1.5061407919e+00,1.5061400002e+00,2.8545871255e-14,3.7674430810e-16,8.4448e-02
11.490,1.2799998295e-03,6.448535e-04,1.5061543537e+00,1.5061535619e+00,3.8603878562e-15,8.1307970319e-16,9.2052e-02
12.534,1.2799998435e-03,5.762228e-04,1.5061554436e+00,1.5061546518e+00,-8.2422458025e-14,-3.8171992642e-16,1.0240e-01
13.579,1.2799997348e-03,5.293573e-04,1.5061566445e+00,1.5061558527e+00,-1.5156344983e-14,1.7277663655e-15,1.1211e-01
14.623,1.2799997524e-03,5.020269e-04,1.5061578819e+00,1.5061570901e+00,9.9747595463e-15,-3.9554275563e-16,1.2072e-01
15.668,1.2800000495e-03,4.926930e-04,1.5061588134e+00,1.5061580217e+00,3.0873883715e-14,-7.7933829686e-16,1.2848e-01
16.712,1.2800002478e-03,5.005279e-04,1.5061597636e+00,1.5061589718e+00,2.4104000435e-14,6.5264724170e-16,1.3555e-01
17.757,1.2799999276e-03,5.252467e-04,1.5061605796e+00,1.5061597878e+00,-3.3021342943e-14,-1.1745882221e-16,1.4208e-01
18.801,1.2799993468e-03,5.579943e-04,1.5061612319e+00,1.5061604401e+00,1.0884018927e-14,-2.2367507352e-15,1.4816e-01
19.846,1.2799992819e-03,5.950244e-04,1.5061620253e+00,1.5061612335e+00,1.6144843797e-14,-2.0414035594e-15,1.5386e-01
20.890,1.2800001934e-03,6.330317e-04,1.5061626371e+00,1.5061618453e+00,-1.9903182513e-14,-1.4920346287e-15,1.5925e-01
21.935,1.2800017257e-03,6.690009e-04,1.5061630026e+00,1.5061622108e+00,-1.2894557430e-14,1.4798791916e-16,1.6434e-01
22.979,1.2800030209e-03,7.014503e-04,1.5061632175e+00,1.5061624257e+00,3.0223846485e-14,3.5927233000e-15,1.6919e-01
24.024,1.2800034624e-03,7.295548e-04,1.5061632832e+00,1.5061624914e+00,-3.4653493648e-14,2.4113776787e-15,1.7381e-01
25.068,1.2800031728e-03,7.525317e-04,1.5061633089e+00,1.5061625171e+00,-3.7478063942e-15,-8.7065638775e-16,1.7822e-01
26.113,1.2800028837e-03,7.693879e-04,1.5061636379e+00,1.5061628461e+00,-2.4627274072e-14,1.5982429061e-15,1.7119e-01
27.157,1.2800032994e-03,7.804653e-04,1.5061640842e+00,1.5061632924e+00,1.9160588890e-14,9.3358305801e-16,1.7011e-01
28.202,1.2800044011e-03,7.866613e-04,1.5061643820e+00,1.5061635902e+00,1.2016147744e-14,3.0083329964e-15,1.7234e-01
29.246,1.2800051412e-03,7.888062e-04,1.5061645896e+00,1.5061637978e+00,-2.8587634005e-14,3.3321214366e-15,1.7634e-01
30.291,1.2800037270e-03,7.880534e-04,1.5061648380e+00,1.5061640462e+00,2.3994547049e-14,-1.0530248492e-15,1.7939e-01
31.335,1.2799984062e-03,7.860681e-04,1.5061649386e+00,1.5061641468e+00,-4.1838687265e-14,3.3107521724e-17,3.8310e-02
32.380,1.2799884488e-03,7.839656e-04,1.5061649951e+00,1.5061642033e+00,-4.1496996368e-14,-2.3515352084e-15,4.6967e-02
33.424,1.2799749311e-03,7.826932e-04,1.5061650480e+00,1.5061642562e+00,-5.9365491681e-15,5.0820100047e-15,5.4926e-02
34.469,1.2799610021e-03,7.830466e-04,1.5061651468e+00,1.5061643551e+00,-4.3436749990e-15,-9.5094513287e-16,6.2342e-02
35.513,1.2799515442e-03,7.856712e-04,1.5061653179e+00,1.5061645261e+00,9.2871866699e-15,1.4676601136e-15,6.9379e-02
36.558,1.2799523968e-03,7.910966e-04,1.5061655022e+00,1.5061647105e+00,-3.2291982444e-14,-2.3183359664e-15,7.6173e-02
37.602,1.2799694217e-03,7.997168e-04,1.5061657215e+00,1.5061649297e+00,4.2885806718e-14,6.7224366206e-15,8.2822e-02
38.647,1.2800076005e-03,8.118955e-04,1.5061659334e+00,1.5061651416e+00,8.8508619138e-15,1.5474926889e-15,8.9375e-02
39.691,1.2800702452e-03,8.272745e-04,1.5061663775e+00,1.5061655857e+00,-6.4215556608e-15,-1.9662179159e-15,9.6861e-02
40.736,1.2801584115e-03,8.465211e-04,1.5061668783e+00,1.5061660864e+00,8.8862955550e-14,9.9515319639e-16,1.0413e-01
41.780,1.2802706624e-03,8.700721e-04,1.5061676470e+00,1.5061668550e+00,3.0522820258e-14,-5.9436017805e-17,1.1112e-01
42.825,1.2804032831e-03,8.985144e-04,1.5061685856e+00,1.5061677935e+00,9.0146769546e-15,4.5044677080e-15,1.1788e-01
43.869,1.2805508959e-03,9.333210e-04,1.5061693541e+00,1.5061685620e+00,-4.3551944166e-14,-2.1821706309e-15,1.2508e-01
44.914,1.2807073456e-03,9.730997e-04,1.5061702706e+00,1.5061694784e+00,3.6206907794e-14,1.6569913270e-15,1.3205e-01
45.958,1.2808667069e-03,1.017133e-03,1.5061714230e+00,1.5061706307e+00,-9.8637029641e-16,-2.7617444669e-15,1.3878e-01
47.003,1.2810242671e-03,1.064721e-03,1.5061724853e+00,1.5061716928e+00,-6.1318989609e-14,3.7865134251e-15,1.4530e-01
48.047,1.2811772448e-03,1.113704e-03,1.5061734242e+00,1.5061726317e+00,-6.2564081579e-15,-9.2463582112e-17,1.5159e-01
49.092,1.2813249523e-03,1.160838e-03,1.5061744758e+00,1.5061736831e+00,2.5585005010e-14,1.0344606567e-15,1.5769e-01
51.044,1.2815891430e-03,1.233242e-03,1.5061767495e+00,1.5061759567e+00,7.4060168148e-15,-6.6182470142e-15,1.6819e-01
52.088,1.2817260246e-03,1.258056e-03,1.5061776209e+00,1.5061768280e+00,1.5422652323e-14,4.9557169640e-15,1.7374e-01
53.132,1.2818539169e-03,1.267306e-03,1.5061782212e+00,1.5061774283e+00,1.2377113285e-14,5.9950664059e-16,1.7910e-01
54.176,1.2819657960e-03,1.257541e-03,1.5061792927e+00,1.5061784996e+00,-1.0794416538e-14,3.0940559135e-15,1.8429e-01
55.220,1.2820443761e-03,1.227098e-03,1.5061793535e+00,1.5061785605e+00,-2.3016982694e-14,8.7485213892e-16,1.8941e-01
56.264,1.2820712179e-03,1.172916e-03,1.5061793947e+00,1.5061786017e+00,-2.4573627800e-14,-4.1843962142e-15,1.8479e-01
57.308,1.2820253226e-03,1.094412e-03,1.5061794280e+00,1.5061786350e+00,-3.0312402308e-14,-1.0846552496e-16,1.8900e-01
58.352,1.2818870422e-03,9.935960e-04,1.5061794725e+00,1.5061786796e+00,7.3011437242e-15,1.3532888855e-15,1.9305e-01
59.396,1.2816422532e-03,8.766983e-04,1.5061795351e+00,1.5061787423e+00,1.0750560390e-14,-1.0763312403e-15,1.9696e-01
60.440,1.2812882920e-03,7.557378e-04,1.5061799886e+00,1.5061791960e+00,-4.1035239266e-14,-4.2065847204e-15,2.0058e-01
61.484,1.2808358838e-03,6.555652e-04,1.5061810752e+00,1.5061802829e+00,-7.0450674369e-15,-3.3322817600e-16,2.0317e-01
62.528,1.2803082115e-03,6.145846e-04,1.5061811752e+00,1.5061803832e+00,3.4797096483e-14,-3.4404465082e-15,6.3942e-02
63.572,1.2797384830e-03,6.561450e-04,1.5061813421e+00,1.5061805505e+00,6.2342331836e-14,1.9601212755e-15,7.0146e-02
64.616,1.2791659583e-03,7.683485e-04,1.5061814077e+00,1.5061806164e+00,-1.7127975285e-15,2.8957083111e-15,6.4483e-02
65.660,1.2786304582e-03,9.169097e-04,1.5061814541e+00,1.5061806632e+00,4.9493128560e-14,-1.0602277128e-15,4.4812e-02
66.704,1.2781669921e-03,1.072458e-03,1.5061815094e+00,1.5061807188e+00,-2.9175734540e-14,8.4845950204e-15,4.7187e-02
67.748,1.2778020670e-03,1.215594e-03,1.5061815595e+00,1.5061807691e+00,-3.7653582478e-14,4.6058676849e-15,5.5814e-02
68.793,1.2775517068e-03,1.334319e-03,1.5061815737e+00,1.5061807834e+00,-2.4360953508e-14,-1.2000312785e-15,6.4122e-02
69.837,1.2774206500e-03,1.421685e-03,1.5061815912e+00,1.5061808011e+00,-2.7736571798e-15,-1.7940544295e-15,7.2127e-02
70.881,1.2774029915e-03,1.474509e-03,1.5061816088e+00,1.5061808186e+00,-4.9550060851e-14,4.4346730672e-15,7.9842e-02
