t,rhoc,errD,Mb,q00,q20,q22,vatm
0.000,1.2799999990e-03,4.205366e-07,1.5058474339e+00,1.5058260555e+00,-6.1309689827e-15,1.1448028106e-15,0.0000e+00
1.025,1.2786123672e-03,5.500207e-04,1.5058473783e+00,1.5058260231e+00,4.1427952816e-15,1.2540632845e-15,0.0000e+00
2.051,1.2774225461e-03,1.049669e-03,1.5058473197e+00,1.5058259844e+00,7.0343895841e-15,-1.4239702916e-15,0.0000e+00
3.076,1.2768380406e-03,1.461706e-03,1.5058472618e+00,1.5058259362e+00,-1.0377978617e-14,2.1648180544e-16,0.0000e+00
4.101,1.2765382894e-03,1.825412e-03,1.5058472057e+00,1.5058258852e+00,1.0494200698e-14,-3.4380677224e-16,0.0000e+00
5.127,1.2762701461e-03,2.151310e-03,1.5058471526e+00,1.5058258365e+00,4.0029874281e-15,3.1143081070e-16,0.0000e+00
6.152,1.2759910032e-03,2.432821e-03,1.5058471031e+00,1.5058257917e+00,-4.3832079502e-15,2.6318381402e-16,0.0000e+00
7.178,1.2757492619e-03,2.664306e-03,1.5058470581e+00,1.5058257507e+00,-4.0747930831e-15,-1.8562167528e-16,0.0000e+00
8.203,1.2755485084e-03,2.843569e-03,1.5058470181e+00,1.5058257141e+00,1.0564240183e-14,-6.2393750856e-16,0.0000e+00
9.228,1.2753689990e-03,2.970533e-03,1.5058469835e+00,1.5058256825e+00,-1.4894154966e-14,-1.2518531968e-15,0.0000e+00
10.254,1.2752284479e-03,3.046329e-03,1.5058469545e+00,1.5058256559e+00,4.8109213726e-15,5.2230813325e-16,0.0000e+00
11.279,1.2751733717e-03,3.072920e-03,1.5058469315e+00,1.5058256337e+00,7.2640101137e-15,-1.7852806656e-15,0.0000e+00
12.304,1.2752348374e-03,3.053031e-03,1.5058469143e+00,1.5058256155e+00,9.5862898640e-15,1.5777518431e-15,0.0000e+00
13.330,1.2754088335e-03,2.990268e-03,1.5058469031e+00,1.5058256014e+00,9.2930945046e-15,2.0282085807e-16,0.0000e+00
14.355,1.2756708534e-03,2.889186e-03,1.5058468976e+00,1.5058255916e+00,-2.8737138407e-15,5.9771439434e-16,0.0000e+00
15.380,1.2759993671e-03,2.755217e-03,1.5058468978e+00,1.5058255863e+00,-5.0319673276e-15,-1.1449801276e-16,0.0000e+00
16.406,1.2763848027e-03,2.594463e-03,1.5058469034e+00,1.5058255854e+00,5.7439587385e-15,7.5923341299e-16,0.0000e+00
17.431,1.2768210790e-03,2.413395e-03,1.5058469139e+00,1.5058255887e+00,-1.9864747481e-14,-1.0867042608e-16,0.0000e+00
18.456,1.2772935503e-03,2.218639e-03,1.5058469292e+00,1.5058255960e+00,-6.9961214852e-15,-2.9545135535e-16,0.0000e+00
19.482,1.2777766180e-03,2.016970e-03,1.5058469486e+00,1.5058256074e+00,-1.0151515708e-14,-6.9205251004e-16,0.0000e+00
20.507,1.2782423897e-03,1.815459e-03,1.5058469718e+00,1.5058256228e+00,1.2522051978e-14,-1.9627916663e-15,0.0000e+00
21.533,1.2786720641e-03,1.621574e-03,1.5058469983e+00,1.5058256421e+00,6.5700260139e-15,-1.7149994198e-16,0.0000e+00
22.558,1.2790611343e-03,1.443044e-03,1.5058470275e+00,1.5058256648e+00,-3.9632149154e-15,-3.7565521106e-16,0.0000e+00
23.583,1.2794157262e-03,1.287395e-03,1.5058470590e+00,1.5058256904e+00,-8.4537092475e-15,-8.7156928475e-16,0.0000e+00
