t,rhoc,errD,Mb,q00,q20,q22,vatm
0.000,1.2799999990e-03,1.118395e-07,1.5061746693e+00,1.5061733011e+00,1.1615572336e-06,1.2272099345e-15,0.0000e+00
1.025,1.2799998759e-03,2.189986e-04,1.5061746693e+00,1.5061733011e+00,1.9710117841e-03,1.0272203734e-15,0.0000e+00
2.051,1.2800002414e-03,3.548087e-04,1.5061746693e+00,1.5061733011e+00,3.9275184508e-03,1.5430379337e-16,0.0000e+00
3.076,1.2800008533e-03,4.413129e-04,1.5061746693e+00,1.5061733011e+00,5.8639347060e-03,3.9408357414e-16,0.0000e+00
4.101,1.2800014780e-03,4.875306e-04,1.5061746693e+00,1.5061733011e+00,7.7739668389e-03,-6.1521716889e-16,0.0000e+00
5.127,1.2800020204e-03,4.948271e-04,1.5061746693e+00,1.5061733011e+00,9.6496394485e-03,2.3908670919e-16,0.0000e+00
6.152,1.2800025201e-03,4.712107e-04,1.5061746693e+00,1.5061733011e+00,1.1482337462e-02,-5.3986850603e-16,0.0000e+00
7.178,1.2800029514e-03,4.258102e-04,1.5061746693e+00,1.5061733011e+00,1.3263162678e-02,-2.6819454666e-16,0.0000e+00
8.203,1.2800033520e-03,3.687401e-04,1.5061746693e+00,1.5061733011e+00,1.4983105462e-02,-1.8471606158e-16,0.0000e+00
9.228,1.2800038263e-03,3.118813e-04,1.5061746693e+00,1.5061733011e+00,1.6633166954e-02,-8.4857135772e-16,0.0000e+00
10.254,1.2800043462e-03,2.680015e-04,1.5061746693e+00,1.5061733011e+00,1.8204437697e-02,-5.0034594871e-16,0.0000e+00
11.279,1.2800045625e-03,2.478849e-04,1.5061746693e+00,1.5061733011e+00,1.9688163913e-02,1.8806213144e-15,0.0000e+00
12.304,1.2800044055e-03,2.534497e-04,1.5061746693e+00,1.5061733011e+00,2.1075834060e-02,2.8851277573e-16,0.0000e+00
13.330,1.2800040140e-03,2.756297e-04,1.5061746693e+00,1.5061733011e+00,2.2359305935e-02,8.4603146202e-17,0.0000e+00
14.355,1.2800035635e-03,3.032905e-04,1.5061746693e+00,1.5061733011e+00,2.3530987163e-02,-4.8252437550e-16,0.0000e+00
15.380,1.2800030756e-03,3.292727e-04,1.5061746693e+00,1.5061733011e+00,2.4584061482e-02,-1.1102689630e-15,0.0000e+00
16.406,1.2800025147e-03,3.498965e-04,1.5061746693e+00,1.5061733011e+00,2.5512726267e-02,5.2896171253e-16,0.0000e+00
17.431,1.2800019101e-03,3.636837e-04,1.5061746693e+00,1.5061733011e+00,2.6312428276e-02,-2.6109640120e-15,0.0000e+00
18.456,1.2800013155e-03,3.708974e-04,1.5061746693e+00,1.5061733011e+00,2.6980128756e-02,-3.7976403241e-16,0.0000e+00
19.482,1.2800007616e-03,3.728356e-04,1.5061746693e+00,1.5061733011e+00,2.7514585742e-02,2.1637776524e-15,0.0000e+00
20.507,1.2800003098e-03,3.707474e-04,1.5061746693e+00,1.5061733011e+00,2.7916527734e-02,8.2408662608e-16,0.0000e+00
21.533,1.2800000120e-03,3.653123e-04,1.5061746693e+00,1.5061733011e+00,2.8188573702e-02,1.2359716433e-15,0.0000e+00
22.558,1.2799998123e-03,3.570774e-04,1.5061746693e+00,1.5061733011e+00,2.8334935285e-02,1.0825400016e-16,0.0000e+00
23.583,1.2799996064e-03,3.470698e-04,1.5061746693e+00,1.5061733011e+00,2.8361179337e-02,-1.1865561384e-15,0.0000e+00
24.609,1.2799993282e-03,3.367108e-04,1.5061746693e+00,1.5061733011e+00,2.8274356636e-02,-6.2868160462e-16,0.0000e+00
