t,rhoc,errD,Mb,q00,q20,q22,vatm
0.000,1.2799935799e-03,9.659695e-08,1.5060942368e+00,1.5060942368e+00,1.1596589511e-06,1.1336650104e-15,0.0000e+00
1.026,1.2799936557e-03,2.124939e-04,1.5060942368e+00,1.5060942368e+00,1.9870322773e-03,5.3811275718e-16,2.1589e-03
2.053,1.2799938487e-03,3.531548e-04,1.5060942368e+00,1.5060942368e+00,3.9615950312e-03,3.0815347640e-16,8.3297e-03
3.079,1.2799941592e-03,4.322927e-04,1.5060942368e+00,1.5060942368e+00,5.9196009475e-03,6.1660899437e-16,1.9932e-02
4.105,1.2799944816e-03,4.675910e-04,1.5060942368e+00,1.5060942368e+00,7.8556533646e-03,1.1121368211e-15,3.1403e-02
5.132,1.2799947409e-03,4.701847e-04,1.5060942368e+00,1.5060942368e+00,9.7633571754e-03,-1.1410261230e-16,4.2101e-02
6.158,1.2799950234e-03,4.469349e-04,1.5060942368e+00,1.5060942368e+00,1.1635576021e-02,-8.0536281243e-16,5.1550e-02
7.184,1.2799953863e-03,4.047323e-04,1.5060942368e+00,1.5060942368e+00,1.3464596133e-02,5.5100798677e-16,5.9298e-02
8.210,1.2799958122e-03,3.526475e-04,1.5060942368e+00,1.5060942368e+00,1.5242281491e-02,-7.0835382273e-16,6.5846e-02
9.237,1.2799962573e-03,3.013714e-04,1.5060942368e+00,1.5060942368e+00,1.6960223787e-02,3.2167890036e-16,7.1209e-02
10.263,1.2799966250e-03,2.619413e-04,1.5060942368e+00,1.5060942368e+00,1.8609881677e-02,-1.8045770836e-15,7.5488e-02
11.289,1.2799967786e-03,2.431425e-04,1.5060942368e+00,1.5060942368e+00,2.0182713387e-02,8.2877380731e-16,7.8818e-02
12.316,1.2799966656e-03,2.464540e-04,1.5060942368e+00,1.5060942368e+00,2.1670301870e-02,8.1846710699e-16,8.1820e-02
13.342,1.2799963707e-03,2.649536e-04,1.5060942368e+00,1.5060942368e+00,2.3064473356e-02,-1.6230951958e-15,8.5514e-02
14.368,1.2799960049e-03,2.894128e-04,1.5060942368e+00,1.5060942368e+00,2.4357428005e-02,9.5114635013e-16,8.7666e-02
15.395,1.2799956233e-03,3.131224e-04,1.5060942367e+00,1.5060942367e+00,2.5541908459e-02,-6.7519079023e-16,8.8896e-02
16.421,1.2799952225e-03,3.324484e-04,1.5060942367e+00,1.5060942367e+00,2.6611408170e-02,-2.2110986891e-15,9.0010e-02
17.447,1.2799947831e-03,3.460648e-04,1.5060942367e+00,1.5060942367e+00,2.7560387618e-02,-1.5983753864e-15,9.1569e-02
18.474,1.2799942980e-03,3.541649e-04,1.5060942367e+00,1.5060942367e+00,2.8384451347e-02,3.9127789882e-16,6.4108e-02
19.500,1.2799937926e-03,3.575918e-04,1.5060942367e+00,1.5060942367e+00,2.9080452622e-02,2.2147828887e-16,0.0000e+00
20.526,1.2799933197e-03,3.571250e-04,1.5060942367e+00,1.5060942367e+00,2.9646523488e-02,-6.6918024330e-16,0.0000e+00
21.552,1.2799929210e-03,3.533476e-04,1.5060942367e+00,1.5060942367e+00,3.0082056919e-02,-1.2475614447e-15,0.0000e+00
22.579,1.2799925995e-03,3.469774e-04,1.5060942367e+00,1.5060942367e+00,3.0387688048e-02,5.4854142673e-16,0.0000e+00
23.605,1.2799923236e-03,3.390853e-04,1.5060942367e+00,1.5060942367e+00,3.0565325072e-02,4.1318556176e-16,0.0000e+00
24.631,1.2799920582e-03,3.308660e-04,1.5060942367e+00,1.5060942367e+00,3.0618254093e-02,-2.5911115531e-15,0.0000e+00
25.658,1.2799918006e-03,3.231842e-04,1.5060942368e+00,1.5060942368e+00,3.0551281322e-02,-3.8495664378e-16,0.0000e+00
26.684,1.2799915897e-03,3.163211e-04,1.5060942368e+00,1.5060942368e+00,3.0370804895e-02,2.8625936868e-16,0.0000e+00
27.710,1.2799914731e-03,3.100629e-04,1.5060942368e+00,1.5060942368e+00,3.0084675146e-02,-2.5740218164e-15,0.0000e+00
28.737,1.2799914559e-03,3.039364e-04,1.5060942368e+00,1.5060942368e+00,2.9701741820e-02,-1.7995694283e-15,0.0000e+00
29.763,1.2799914785e-03,2.974155e-04,1.5060942368e+00,1.5060942368e+00,2.9231086934e-02,-8.9688980458e-16,0.0000e+00
30.789,1.2799914498e-03,2.900986e-04,1.5060942368e+00,1.5060942368e+00,2.8681062775e-02,-2.2181392295e-15,0.0000e+00
31.815,1.2799913138e-03,2.818555e-04,1.5060942368e+00,1.5060942368e+00,2.8058344768e-02,1.0455261501e-15,0.0000e+00
32.842,1.2799911047e-03,2.728546e-04,1.5060942368e+00,1.5060942368e+00,2.7367236513e-02,-5.5241166932e-16,0.0000e+00
33.868,1.2799909476e-03,2.634646e-04,1.5060942368e+00,1.5060942368e+00,2.6609370177e-02,2.3814258569e-15,0.0000e+00
34.894,1.2799910028e-03,2.541568e-04,1.5060942368e+00,1.5060942368e+00,2.5783886784e-02,-1.3180955723e-15,0.0000e+00
35.921,1.2799913851e-03,2.454385e-04,1.5060942369e+00,1.5060942369e+00,2.4888046079e-02,3.0600540074e-16,0.0000e+00
36.947,1.2799921049e-03,2.376678e-04,1.5060942369e+00,1.5060942369e+00,2.3918133619e-02,-2.6440206192e-15,0.0000e+00
37.973,1.2799930619e-03,2.307446e-04,1.5060942369e+00,1.5060942369e+00,2.2870501126e-02,1.9146022827e-15,0.0000e+00
39.000,1.2799940914e-03,2.240418e-04,1.5060942369e+00,1.5060942369e+00,2.1742558191e-02,2.1826633993e-16,0.0000e+00
40.026,1.2799950363e-03,2.168425e-04,1.5060942369e+00,1.5060942369e+00,2.0533567812e-02,-2.4445748533e-15,0.0000e+00
41.052,1.2799958091e-03,2.089151e-04,1.5060942369e+00,1.5060942369e+00,1.9245147676e-02,7.1375350902e-16,0.0000e+00
42.079,1.2799964246e-03,2.005852e-04,1.5060942369e+00,1.5060942369e+00,1.7881443204e-02,-1.5886660950e-16,0.0000e+00
43.105,1.2799969943e-03,1.922060e-04,1.5060942369e+00,1.5060942369e+00,1.6448992222e-02,-3.8661682836e-16,0.0000e+00
44.131,1.2799976897e-03,1.836631e-04,1.5060942369e+00,1.5060942369e+00,1.4956336236e-02,4.7971028361e-15,0.0000e+00
45.157,1.2799986828e-03,1.745545e-04,1.5060942369e+00,1.5060942369e+00,1.3413469495e-02,-6.1138549124e-16,0.0000e+00
46.184,1.2800000880e-03,1.648526e-04,1.5060942369e+00,1.5060942369e+00,1.1831215884e-02,1.0987322774e-16,0.0000e+00
47.210,1.2800019319e-03,1.552416e-04,1.5060942369e+00,1.5060942369e+00,1.0220636510e-02,3.2422417243e-15,0.0000e+00
48.236,1.2800041643e-03,1.466447e-04,1.5060942368e+00,1.5060942368e+00,8.5924911956e-03,6.3945177889e-16,0.0000e+00
49.263,1.2800067038e-03,1.393753e-04,1.5060942368e+00,1.5060942368e+00,6.9568080412e-03,4.7974077680e-15,0.0000e+00
50.289,1.2800094910e-03,1.328912e-04,1.5060942368e+00,1.5060942368e+00,5.3226492157e-03,1.9425126181e-16,0.0000e+00
51.315,1.2800125233e-03,1.264605e-04,1.5060942367e+00,1.5060942367e+00,3.6979983988e-03,-1.0644543446e-16,0.0000e+00
52.342,1.2800158568e-03,1.199952e-04,1.5060942367e+00,1.5060942367e+00,2.0897560499e-03,3.3683062376e-16,0.0000e+00
53.368,1.2800195768e-03,1.141905e-04,1.5060942366e+00,1.5060942366e+00,5.0381612823e-04,2.2543302572e-15,0.0000e+00
54.394,1.2800237516e-03,1.098951e-04,1.5060942366e+00,1.5060942366e+00,-1.0548088901e-03,-1.7487745566e-15,0.0000e+00
55.421,1.2800283812e-03,1.074160e-04,1.5060942365e+00,1.5060942365e+00,-2.5818447236e-03,-3.3127023090e-15,0.0000e+00
56.447,1.2800333541e-03,1.065250e-04,1.5060942365e+00,1.5060942365e+00,-4.0736198959e-03,-5.7012591659e-17,0.0000e+00
57.473,1.2800384233e-03,1.070774e-04,1.5060942364e+00,1.5060942364e+00,-5.5269522364e-03,1.2598593670e-15,0.0000e+00
58.499,1.2800432118e-03,1.094053e-04,1.5060942364e+00,1.5060942364e+00,-6.9390842567e-03,-4.5647332958e-16,0.0000e+00
59.526,1.2800472537e-03,1.140236e-04,1.5060942363e+00,1.5060942363e+00,-8.3075494967e-03,2.1689493361e-15,0.0000e+00
