t,rhoc,errD,Mb,q00,q20,q22,vatm
0.000,1.2799935799e-03,9.659695e-08,1.5060942368e+00,1.5060942368e+00,1.1596589511e-06,1.1336650104e-15,0.0000e+00
1.026,1.2799936557e-03,2.241851e-04,1.5060942368e+00,1.5060942368e+00,1.9845100163e-03,1.0390771188e-15,1.3846e-02
2.053,1.2799938487e-03,3.719441e-04,1.5060942368e+00,1.5060942368e+00,3.9476486910e-03,-9.4050560446e-16,1.4775e-02
3.079,1.2799941588e-03,4.365516e-04,1.5060942368e+00,1.5060942368e+00,5.8914604436e-03,-6.7241587247e-17,1.5914e-02
4.105,1.2799944809e-03,4.376542e-04,1.5060942368e+00,1.5060942368e+00,7.8128861982e-03,-6.9831254265e-16,2.0016e-02
5.132,1.2799947593e-03,3.973473e-04,1.5060942368e+00,1.5060942368e+00,9.7062944834e-03,2.9325069622e-16,2.5413e-02
6.158,1.2799950590e-03,3.353530e-04,1.5060942368e+00,1.5060942368e+00,1.1564619688e-02,-1.1818651788e-15,3.1703e-02
7.184,1.2799953471e-03,2.689952e-04,1.5060942368e+00,1.5060942368e+00,1.3379785789e-02,-1.1071516371e-15,3.5450e-02
8.210,1.2799955484e-03,2.156226e-04,1.5060942368e+00,1.5060942368e+00,1.5143217504e-02,1.5518248646e-15,3.7216e-02
9.237,1.2799956562e-03,1.917304e-04,1.5060942368e+00,1.5060942368e+00,1.6845949560e-02,1.7874248503e-15,3.8023e-02
10.263,1.2799956892e-03,2.005066e-04,1.5060942367e+00,1.5060942367e+00,1.8478676038e-02,-1.1360673120e-15,3.8451e-02
11.289,1.2799956347e-03,2.270042e-04,1.5060942367e+00,1.5060942367e+00,2.0032076230e-02,1.1322856869e-15,3.8884e-02
12.316,1.2799954889e-03,2.557429e-04,1.5060942367e+00,1.5060942367e+00,2.1497289820e-02,-2.3398505119e-15,3.9375e-02
13.342,1.2799952627e-03,2.790625e-04,1.5060942367e+00,1.5060942367e+00,2.2866234630e-02,8.6882417575e-16,3.9749e-02
14.368,1.2799949737e-03,2.946843e-04,1.5060942367e+00,1.5060942367e+00,2.4131864138e-02,1.3213335751e-16,4.0282e-02
15.395,1.2799946427e-03,3.028829e-04,1.5060942367e+00,1.5060942367e+00,2.5288368995e-02,1.3204933602e-15,4.0863e-02
16.421,1.2799942891e-03,3.049456e-04,1.5060942366e+00,1.5060942366e+00,2.6331329540e-02,2.8158360500e-15,4.1509e-02
17.447,1.2799939373e-03,3.024435e-04,1.5060942366e+00,1.5060942366e+00,2.7257729721e-02,1.1022524226e-15,4.2241e-02
18.474,1.2799936141e-03,2.969057e-04,1.5060942366e+00,1.5060942366e+00,2.8065389619e-02,7.7722382375e-16,4.4272e-02
19.500,1.2799933370e-03,2.896650e-04,1.5060942365e+00,1.5060942365e+00,2.8752627274e-02,1.8556591914e-15,4.7362e-02
20.526,1.2799931163e-03,2.817934e-04,1.5060942365e+00,1.5060942365e+00,2.9317829001e-02,-4.9406415961e-16,4.9899e-02
21.552,1.2799929575e-03,2.741868e-04,1.5060942365e+00,1.5060942365e+00,2.9758926455e-02,-6.3435250961e-16,5.1481e-02
22.579,1.2799928556e-03,2.672290e-04,1.5060942365e+00,1.5060942365e+00,3.0077528825e-02,-5.6809935850e-16,5.6209e-02
23.605,1.2799927852e-03,2.606590e-04,1.5060942365e+00,1.5060942365e+00,3.0275806104e-02,1.2527731174e-13,6.5134e-02
24.631,1.2799927054e-03,2.544982e-04,1.5060942365e+00,1.5060942365e+00,3.0356203185e-02,9.4794510684e-13,7.3537e-02
25.658,1.2799925802e-03,2.479687e-04,1.5060942365e+00,1.5060942365e+00,3.0325615951e-02,-1.9097506921e-12,8.1446e-02
26.684,1.2799923998e-03,2.410821e-04,1.5060942364e+00,1.5060942364e+00,3.0186809687e-02,-6.4969221345e-12,8.8893e-02
27.710,1.2799921867e-03,2.343780e-04,1.5060942364e+00,1.5060942364e+00,2.9937952960e-02,-1.5270976168e-11,9.5609e-02
