t,rhoc,errD,Mb,q00,q20,q22,vatm
0.000,1.2799999990e-03,1.151345e-07,1.5058469115e+00,1.5058255331e+00,1.1667094238e-06,-2.2882929186e-17,0.0000e+00
1.025,1.2799996191e-03,2.529825e-04,1.5058469270e+00,1.5058255487e+00,2.0144780112e-03,5.4719057311e-16,0.0000e+00
2.051,1.2800042357e-03,4.096414e-04,1.5058469483e+00,1.5058255698e+00,4.0395764631e-03,1.8910570059e-16,0.0000e+00
3.076,1.2800045041e-03,4.936901e-04,1.5058469695e+00,1.5058255911e+00,6.0630618971e-03,-8.6636511433e-16,0.0000e+00
4.101,1.2800001880e-03,5.232662e-04,1.5058469903e+00,1.5058256119e+00,8.0798655532e-03,7.9040422545e-16,0.0000e+00
5.127,1.2799941623e-03,5.136638e-04,1.5058470102e+00,1.5058256319e+00,1.0082104116e-02,-4.2002618497e-16,0.0000e+00
6.152,1.2799871004e-03,4.781058e-04,1.5058470292e+00,1.5058256511e+00,1.2060031707e-02,-3.6492160955e-16,0.0000e+00
7.178,1.2799797510e-03,4.295329e-04,1.5058470474e+00,1.5058256694e+00,1.4002850804e-02,-1.6030804905e-15,0.0000e+00
8.203,1.2799722245e-03,3.807085e-04,1.5058470648e+00,1.5058256869e+00,1.5899216758e-02,3.1625335035e-17,0.0000e+00
9.228,1.2799642341e-03,3.427125e-04,1.5058470816e+00,1.5058257038e+00,1.7737552789e-02,1.7021347773e-16,0.0000e+00
10.254,1.2799559590e-03,3.235516e-04,1.5058470978e+00,1.5058257202e+00,1.9506284546e-02,-1.2044193517e-15,0.0000e+00
11.279,1.2799475659e-03,3.251829e-04,1.5058471136e+00,1.5058257361e+00,2.1194090166e-02,-9.5660000015e-17,0.0000e+00
12.304,1.2799389024e-03,3.423722e-04,1.5058471289e+00,1.5058257516e+00,2.2790155509e-02,8.2780920040e-16,0.0000e+00
13.330,1.2799300102e-03,3.671030e-04,1.5058471439e+00,1.5058257667e+00,2.4284364171e-02,1.2310781985e-15,0.0000e+00
14.355,1.2799213614e-03,3.927252e-04,1.5058471585e+00,1.5058257815e+00,2.5667478676e-02,-5.9940743441e-16,0.0000e+00
15.380,1.2799132961e-03,4.149815e-04,1.5058471729e+00,1.5058257960e+00,2.6931456693e-02,-1.5103778599e-17,0.0000e+00
16.406,1.2799055766e-03,4.320216e-04,1.5058471870e+00,1.5058258102e+00,2.8069918757e-02,4.9495913345e-16,0.0000e+00
17.431,1.2798977773e-03,4.439599e-04,1.5058472009e+00,1.5058258243e+00,2.9078585499e-02,5.1298399456e-16,0.0000e+00
18.456,1.2798900638e-03,4.517425e-04,1.5058472147e+00,1.5058258381e+00,2.9955444574e-02,-1.6104259602e-15,0.0000e+00
19.482,1.2798833378e-03,4.560579e-04,1.5058472283e+00,1.5058258519e+00,3.0700537515e-02,6.5880918676e-16,0.0000e+00
20.507,1.2798785242e-03,4.571513e-04,1.5058472417e+00,1.5058258654e+00,3.1315485752e-02,-4.8339780195e-16,0.0000e+00
21.533,1.2798757466e-03,4.553980e-04,1.5058472551e+00,1.5058258788e+00,3.1803068068e-02,3.2253596745e-15,0.0000e+00
22.558,1.2798741703e-03,4.517710e-04,1.5058472684e+00,1.5058258921e+00,3.2167185643e-02,9.6623471277e-16,0.0000e+00
23.583,1.2798726260e-03,4.476206e-04,1.5058472816e+00,1.5058259054e+00,3.2413365370e-02,1.3164049094e-15,0.0000e+00
24.609,1.2798704371e-03,4.440172e-04,1.5058472948e+00,1.5058259186e+00,3.2549598683e-02,-3.6093695057e-15,0.0000e+00
25.634,1.2798677951e-03,4.413540e-04,1.5058473080e+00,1.5058259318e+00,3.2586974283e-02,2.3447956151e-16,0.0000e+00
26.659,1.2798655000e-03,4.394819e-04,1.5058473211e+00,1.5058259450e+00,3.2539487064e-02,-4.2268248029e-16,0.0000e+00
27.685,1.2798644013e-03,4.380073e-04,1.5058473342e+00,1.5058259581e+00,3.2422677601e-02,3.7618229095e-15,0.0000e+00
28.710,1.2798649080e-03,4.364600e-04,1.5058473474e+00,1.5058259713e+00,3.2251243683e-02,4.9384782622e-16,0.0000e+00
29.735,1.2798669047e-03,4.344331e-04,1.5058473605e+00,1.5058259843e+00,3.2036228135e-02,-9.8958469123e-16,0.0000e+00
30.761,1.2798699381e-03,4.317397e-04,1.5058473736e+00,1.5058259974e+00,3.1782657721e-02,-7.3002669114e-16,0.0000e+00
31.786,1.2798734845e-03,4.284334e-04,1.5058473867e+00,1.5058260105e+00,3.1488275631e-02,8.2880992739e-17,0.0000e+00
32.812,1.2798771595e-03,4.247285e-04,1.5058473999e+00,1.5058260236e+00,3.1143749078e-02,3.2010442808e-16,0.0000e+00
33.837,1.2798807931e-03,4.209923e-04,1.5058474130e+00,1.5058260366e+00,3.0734261738e-02,-8.5544177744e-16,0.0000e+00
34.862,1.2798843709e-03,4.177250e-04,1.5058474261e+00,1.5058260497e+00,3.0242089603e-02,9.5813030153e-16,0.0000e+00
35.888,1.2798879504e-03,4.153103e-04,1.5058474393e+00,1.5058260628e+00,2.9649595009e-02,3.9434517184e-16,0.0000e+00
36.913,1.2798915938e-03,4.136871e-04,1.5058474524e+00,1.5058260758e+00,2.8942099200e-02,-2.5047572273e-15,0.0000e+00
37.938,1.2798953483e-03,4.123673e-04,1.5058474654e+00,1.5058260888e+00,2.8110166842e-02,9.8106117748e-16,0.0000e+00
38.964,1.2798992754e-03,4.108456e-04,1.5058474785e+00,1.5058261018e+00,2.7151012789e-02,4.0298952415e-17,0.0000e+00
39.989,1.2799034861e-03,4.089314e-04,1.5058474915e+00,1.5058261148e+00,2.6068915243e-02,-2.6916194717e-15,0.0000e+00
41.014,1.2799081467e-03,4.066426e-04,1.5058475045e+00,1.5058261277e+00,2.4874649076e-02,1.6708305996e-15,0.0000e+00
42.040,1.2799134498e-03,4.038763e-04,1.5058475175e+00,1.5058261406e+00,2.3584154414e-02,1.1960834133e-16,0.0000e+00
43.065,1.2799195566e-03,4.003277e-04,1.5058475304e+00,1.5058261534e+00,2.2216733015e-02,-1.3122183127e-16,0.0000e+00
44.090,1.2799265502e-03,3.957664e-04,1.5058475433e+00,1.5058261661e+00,2.0793113278e-02,1.6929754290e-15,0.0000e+00
45.116,1.2799344035e-03,3.903151e-04,1.5058475561e+00,1.5058261788e+00,1.9333644435e-02,8.4393670772e-16,0.0000e+00
46.141,1.2799429769e-03,3.843732e-04,1.5058475688e+00,1.5058261914e+00,1.7856822620e-02,-9.5497153687e-16,0.0000e+00
47.167,1.2799520486e-03,3.782556e-04,1.5058475815e+00,1.5058262040e+00,1.6378296652e-02,-3.6375609222e-16,0.0000e+00
48.192,1.2799613598e-03,3.719376e-04,1.5058475941e+00,1.5058262164e+00,1.4910365000e-02,-2.6624002232e-15,0.0000e+00
49.217,1.2799706730e-03,3.651751e-04,1.5058476066e+00,1.5058262288e+00,1.3461921938e-02,2.0569399383e-16,0.0000e+00
50.243,1.2799798345e-03,3.578522e-04,1.5058476191e+00,1.5058262410e+00,1.2038788604e-02,3.4973025244e-16,0.0000e+00
51.268,1.2799888025e-03,3.501880e-04,1.5058476314e+00,1.5058262532e+00,1.0644275769e-02,-1.3994944276e-15,0.0000e+00
52.293,1.2799976356e-03,3.426134e-04,1.5058476437e+00,1.5058262653e+00,9.2798599533e-03,6.6162811241e-16,0.0000e+00
53.319,1.2800064428e-03,3.354738e-04,1.5058476558e+00,1.5058262773e+00,7.9458682275e-03,1.2746880708e-16,0.0000e+00
54.344,1.2800153088e-03,3.288611e-04,1.5058476678e+00,1.5058262892e+00,6.6420464165e-03,9.7379702293e-16,0.0000e+00
55.369,1.2800242077e-03,3.227131e-04,1.5058476797e+00,1.5058263010e+00,5.3679735813e-03,3.9456764929e-15,0.0000e+00
56.395,1.2800329377e-03,3.170382e-04,1.5058476915e+00,1.5058263126e+00,4.1232985260e-03,-2.3099260969e-15,0.0000e+00
57.420,1.2800411242e-03,3.120157e-04,1.5058477031e+00,1.5058263241e+00,2.9078392536e-03,-6.7698209985e-16,0.0000e+00
58.446,1.2800482871e-03,3.078829e-04,1.5058477147e+00,1.5058263355e+00,1.7215948940e-03,-1.8733178820e-15,0.0000e+00
59.471,1.2800539464e-03,3.047413e-04,1.5058477261e+00,1.5058263468e+00,5.6472544806e-04,-2.2367966603e-15,0.0000e+00
60.496,1.2800577237e-03,3.024803e-04,1.5058477373e+00,1.5058263580e+00,-5.6246213146e-04,-4.6965553941e-16,0.0000e+00
61.522,1.2800594000e-03,3.008874e-04,1.5058477484e+00,1.5058263691e+00,-1.6595026185e-03,6.4810269031e-16,0.0000e+00
62.547,1.2800588883e-03,2.998272e-04,1.5058477594e+00,1.5058263801e+00,-2.7257245000e-03,2.9348726474e-16,0.0000e+00
63.572,1.2800561501e-03,2.993207e-04,1.5058477703e+00,1.5058263910e+00,-3.7602017372e-03,1.3548940866e-15,0.0000e+00
64.598,1.2800510877e-03,2.994677e-04,1.5058477810e+00,1.5058264018e+00,-4.7616119362e-03,-1.4812432714e-15,0.0000e+00
65.623,1.2800434449e-03,3.003069e-04,1.5058477917e+00,1.5058264126e+00,-5.7284146814e-03,-2.6125811333e-15,0.0000e+00
66.648,1.2800327684e-03,3.017524e-04,1.5058478022e+00,1.5058264233e+00,-6.6589959169e-03,-2.3382779837e-15,0.0000e+00
67.674,1.2800184588e-03,3.036880e-04,1.5058478127e+00,1.5058264340e+00,-7.5516022094e-03,-3.1376331404e-15,0.0000e+00
68.699,1.2799999098e-03,3.061049e-04,1.5058478232e+00,1.5058264448e+00,-8.4042756008e-03,3.5254917809e-16,0.0000e+00
69.725,1.2799767055e-03,3.091429e-04,1.5058478336e+00,1.5058264556e+00,-9.2148209011e-03,-1.8796062546e-15,0.0000e+00
70.750,1.2799488367e-03,3.129745e-04,1.5058478440e+00,1.5058264665e+00,-9.9807986343e-03,-2.3310951443e-15,0.0000e+00
71.775,1.2799168874e-03,3.176038e-04,1.5058478545e+00,1.5058264775e+00,-1.0699552424e-02,-3.4041029294e-15,0.0000e+00
72.801,1.2798821392e-03,3.227314e-04,1.5058478650e+00,1.5058264886e+00,-1.1368283869e-02,-8.0589373816e-16,0.0000e+00
73.826,1.2798465604e-03,3.277898e-04,1.5058478757e+00,1.5058264999e+00,-1.1984175574e-02,-3.9228123537e-15,0.0000e+00
74.851,1.2798126648e-03,3.321277e-04,1.5058478864e+00,1.5058265112e+00,-1.2544553897e-02,-1.0792482109e-15,0.0000e+00
75.877,1.2797832576e-03,3.352263e-04,1.5058478973e+00,1.5058265226e+00,-1.3047070494e-02,-2.1076681816e-15,0.0000e+00
76.902,1.2797611009e-03,3.368339e-04,1.5058479084e+00,1.5058265340e+00,-1.3489872569e-02,-2.3735145543e-15,0.0000e+00
77.927,1.2797485401e-03,3.369806e-04,1.5058479196e+00,1.5058265454e+00,-1.3871729161e-02,1.3424528666e-15,0.0000e+00
78.953,1.2797471906e-03,3.359021e-04,1.5058479310e+00,1.5058265568e+00,-1.4192086892e-02,8.0121914212e-16,0.0000e+00
79.978,1.2797577098e-03,3.339375e-04,1.5058479425e+00,1.5058265682e+00,-1.4451042228e-02,1.7539054311e-16,0.0000e+00
81.003,1.2797796380e-03,3.314477e-04,1.5058479543e+00,1.5058265796e+00,-1.4649234769e-02,1.3994005857e-15,0.0000e+00
82.029,1.2798114036e-03,3.287679e-04,1.5058479662e+00,1.5058265909e+00,-1.4787685049e-02,-7.3685716482e-16,0.0000e+00
83.054,1.2798504804e-03,3.261805e-04,1.5058479782e+00,1.5058266023e+00,-1.4867610825e-02,-2.6306873096e-15,0.0000e+00
84.080,1.2798936197e-03,3.238938e-04,1.5058479903e+00,1.5058266137e+00,-1.4890259626e-02,-1.0238183748e-15,0.0000e+00
85.105,1.2799372119e-03,3.220220e-04,1.5058480024e+00,1.5058266251e+00,-1.4856790807e-02,-1.1148913573e-15,0.0000e+00
86.130,1.2799776945e-03,3.205760e-04,1.5058480146e+00,1.5058266367e+00,-1.4768226731e-02,-6.0528923119e-16,0.0000e+00
87.156,1.2800119292e-03,3.194770e-04,1.5058480269e+00,1.5058266483e+00,-1.4625475773e-02,-2.9249126742e-15,0.0000e+00
88.181,1.2800374646e-03,3.185903e-04,1.5058480391e+00,1.5058266601e+00,-1.4429413173e-02,-8.6362750384e-16,0.0000e+00
89.206,1.2800526871e-03,3.177738e-04,1.5058480512e+00,1.5058266720e+00,-1.4180992834e-02,1.2755846976e-15,0.0000e+00
90.232,1.2800568258e-03,3.169239e-04,1.5058480634e+00,1.5058266841e+00,-1.3881361043e-02,-7.8412837954e-16,0.0000e+00
91.257,1.2800498756e-03,3.160088e-04,1.5058480755e+00,1.5058266963e+00,-1.3531943647e-02,-2.1915041146e-15,0.0000e+00
92.282,1.2800325137e-03,3.150766e-04,1.5058480875e+00,1.5058267086e+00,-1.3134486530e-02,-4.4237137574e-15,0.0000e+00
93.308,1.2800060489e-03,3.142343e-04,1.5058480995e+00,1.5058267211e+00,-1.2691042337e-02,1.1594699899e-17,0.0000e+00
94.333,1.2799723954e-03,3.136014e-04,1.5058481115e+00,1.5058267336e+00,-1.2203914374e-02,-2.7176674289e-15,0.0000e+00
95.359,1.2799340316e-03,3.132556e-04,1.5058481235e+00,1.5058267462e+00,-1.1675577290e-02,-1.4024781436e-16,0.0000e+00
96.384,1.2798938911e-03,3.131902e-04,1.5058481355e+00,1.5058267589e+00,-1.1108598619e-02,-1.3759672404e-15,0.0000e+00
