t,rhoc,errD,Mb,q00,q20,q22,vatm
0.000,1.2799935799e-03,9.659695e-08,1.5060942368e+00,1.5060942368e+00,1.1596589511e-06,1.1336650104e-15,0.0000e+00
1.026,1.2799950713e-03,2.128834e-04,1.5060942223e+00,1.5060942223e+00,1.9872596674e-03,1.5448486843e-15,0.0000e+00
2.053,1.2799950809e-03,3.536063e-04,1.5060942067e+00,1.5060942067e+00,3.9616157422e-03,-5.8791251421e-16,0.0000e+00
3.079,1.2799942801e-03,4.327772e-04,1.5060941910e+00,1.5060941910e+00,5.9194069686e-03,-1.6842114115e-16,0.0000e+00
4.105,1.2799937089e-03,4.681464e-04,1.5060941752e+00,1.5060941752e+00,7.8552237020e-03,-4.9432553793e-16,0.0000e+00
5.132,1.2799932044e-03,4.708344e-04,1.5060941594e+00,1.5060941594e+00,9.7626686393e-03,2.1425422370e-15,0.0000e+00
6.158,1.2799931454e-03,4.476879e-04,1.5060941436e+00,1.5060941436e+00,1.1634603775e-02,-3.5933559119e-16,0.0000e+00
7.184,1.2799932883e-03,4.055985e-04,1.5060941277e+00,1.5060941277e+00,1.3463311754e-02,2.6557143597e-16,0.0000e+00
8.210,1.2799928785e-03,3.536469e-04,1.5060941118e+00,1.5060941118e+00,1.5240650998e-02,1.0105064199e-15,0.0000e+00
9.237,1.2799916807e-03,3.025256e-04,1.5060940959e+00,1.5060940959e+00,1.6958206710e-02,6.0875530488e-16,0.0000e+00
10.263,1.2799900261e-03,2.632418e-04,1.5060940800e+00,1.5060940800e+00,1.8607431193e-02,3.4494858753e-16,0.0000e+00
11.289,1.2799882827e-03,2.445125e-04,1.5060940641e+00,1.5060940641e+00,2.0179777493e-02,7.5948651191e-16,0.0000e+00
12.316,1.2799866195e-03,2.477763e-04,1.5060940481e+00,1.5060940481e+00,2.1666825130e-02,-1.4322552848e-15,0.0000e+00
13.342,1.2799851423e-03,2.661558e-04,1.5060940322e+00,1.5060940322e+00,2.3060398351e-02,-3.4775495674e-16,0.0000e+00
14.368,1.2799839797e-03,2.904859e-04,1.5060940162e+00,1.5060940162e+00,2.4352696208e-02,-3.8138747633e-15,0.0000e+00
15.395,1.2799831324e-03,3.140852e-04,1.5060940002e+00,1.5060940002e+00,2.5536460261e-02,9.9099755706e-16,0.0000e+00
16.421,1.2799823562e-03,3.333248e-04,1.5060939843e+00,1.5060939843e+00,2.6605182294e-02,1.3696619421e-15,0.0000e+00
17.447,1.2799813518e-03,3.468780e-04,1.5060939683e+00,1.5060939683e+00,2.7553319858e-02,-1.2371661486e-18,0.0000e+00
18.474,1.2799801150e-03,3.549348e-04,1.5060939523e+00,1.5060939523e+00,2.8376473240e-02,5.2375385456e-16,0.0000e+00
19.500,1.2799790486e-03,3.583335e-04,1.5060939363e+00,1.5060939363e+00,2.9071491129e-02,1.5947547713e-16,0.0000e+00
20.526,1.2799786553e-03,3.578495e-04,1.5060939204e+00,1.5060939204e+00,2.9636502277e-02,-2.0580025687e-15,0.0000e+00
21.552,1.2799791138e-03,3.540620e-04,1.5060939044e+00,1.5060939044e+00,3.0070898670e-02,4.0376655538e-16,0.0000e+00
22.579,1.2799801209e-03,3.476842e-04,1.5060938884e+00,1.5060938884e+00,3.0375317046e-02,3.1444941222e-15,0.0000e+00
23.605,1.2799810954e-03,3.397814e-04,1.5060938725e+00,1.5060938725e+00,3.0551669523e-02,8.7838960892e-16,0.0000e+00
24.631,1.2799815419e-03,3.315435e-04,1.5060938565e+00,1.5060938565e+00,3.0603247556e-02,3.3450636535e-16,0.0000e+00
25.658,1.2799813006e-03,3.238319e-04,1.5060938405e+00,1.5060938405e+00,3.0534862552e-02,1.7769684989e-16,0.0000e+00
