t,rhoc,errD,Mb,q00,q20,q22,vatm
0.000,1.2799999990e-03,9.422089e-08,1.5060784070e+00,1.5060776152e+00,1.1620006387e-06,-9.0799745028e-16,0.0000e+00
1.045,1.2799999760e-03,3.918836e-04,1.5060971011e+00,1.5060963093e+00,2.0410643746e-03,-3.2718718716e-15,4.0479e-02
2.089,1.2800002697e-03,4.402026e-04,1.5060971829e+00,1.5060963911e+00,4.0738952992e-03,1.5970455462e-16,3.4032e-02
3.134,1.2800006922e-03,4.848121e-04,1.5060972050e+00,1.5060964133e+00,6.0951950306e-03,-1.3320725210e-15,5.9255e-02
4.178,1.2800012094e-03,7.057477e-04,1.5061145452e+00,1.5061137534e+00,8.0954310407e-03,6.9559215116e-16,3.4077e-02
5.223,1.2800018781e-03,6.408758e-04,1.5061151637e+00,1.5061143719e+00,1.0071090481e-02,-3.8724349776e-16,4.6216e-02
6.267,1.2800023344e-03,5.703425e-04,1.5061156580e+00,1.5061148663e+00,1.2023077378e-02,-2.0049731204e-16,6.8018e-02
7.312,1.2800028096e-03,7.304390e-04,1.5061314337e+00,1.5061306419e+00,1.3705764018e-02,2.5463526901e-15,7.7851e-02
8.356,1.2800034880e-03,6.345550e-04,1.5061338130e+00,1.5061330212e+00,1.5794804720e-02,7.7232240582e-16,6.7577e-02
9.401,1.2800039597e-03,5.390114e-04,1.5061348123e+00,1.5061340205e+00,1.7618881970e-02,2.5875006313e-15,7.3775e-02
10.445,1.2800040818e-03,6.424038e-04,1.5061452649e+00,1.5061444731e+00,1.8823774766e-02,5.8969987817e-18,8.3687e-02
11.490,1.2800042017e-03,6.478265e-04,1.5061499913e+00,1.5061491995e+00,2.0645262512e-02,3.8745190140e-16,9.3630e-02
12.534,1.2800041291e-03,6.193319e-04,1.5061531705e+00,1.5061523787e+00,2.2504979827e-02,-1.7034563182e-15,1.0365e-01
13.579,1.2800036411e-03,6.128735e-04,1.5061563863e+00,1.5061555945e+00,2.3858465916e-02,-6.7501837669e-16,1.1176e-01
14.623,1.2800030921e-03,6.382457e-04,1.5061605017e+00,1.5061597099e+00,2.5164712276e-02,2.0423206975e-15,1.2028e-01
15.668,1.2800028803e-03,6.311249e-04,1.5061614453e+00,1.5061606535e+00,2.6495579703e-02,1.2146097146e-15,1.2794e-01
16.712,1.2800026633e-03,6.383701e-04,1.5061623669e+00,1.5061615751e+00,2.7708498079e-02,1.8001833018e-15,1.3488e-01
17.757,1.2800018476e-03,6.538662e-04,1.5061631653e+00,1.5061623735e+00,2.8812778035e-02,1.0403727400e-15,1.4120e-01
18.801,1.2800007135e-03,6.738925e-04,1.5061638058e+00,1.5061630140e+00,2.9799784132e-02,-2.3554896680e-15,1.4702e-01
19.846,1.2800001208e-03,6.981186e-04,1.5061644547e+00,1.5061636630e+00,3.0654712455e-02,2.4626158782e-15,1.5246e-01
20.890,1.2800005755e-03,7.216077e-04,1.5061650703e+00,1.5061642785e+00,3.1381479661e-02,-1.0212157712e-15,1.5760e-01
21.935,1.2800017544e-03,7.443657e-04,1.5061656841e+00,1.5061648923e+00,3.1977466532e-02,-2.5062669644e-16,1.6241e-01
22.979,1.2800028204e-03,7.652045e-04,1.5061661709e+00,1.5061653791e+00,3.2431612368e-02,2.1368649685e-15,1.6689e-01
24.024,1.2800031088e-03,7.827711e-04,1.5061666772e+00,1.5061658854e+00,3.2756885214e-02,5.7354654796e-16,1.7109e-01
25.068,1.2800026468e-03,7.973797e-04,1.5061671665e+00,1.5061663748e+00,3.2957316594e-02,-3.4812631643e-16,1.7510e-01
26.113,1.2800021517e-03,8.083278e-04,1.5061676243e+00,1.5061668325e+00,3.3027012539e-02,-3.5797592862e-16,1.7789e-01
