t,rhoc,errD,Mb,q00,q20,q22,vatm
0.000,1.2799999990e-03,0.000000e+00,1.5058467803e+00,1.5058254019e+00,1.8881562032e-15,1.4386520493e-17,0.0000e+00
1.025,1.2799999990e-03,2.593211e-16,1.5058467803e+00,1.5058254019e+00,1.7482670179e-15,-8.0941955523e-17,0.0000e+00
2.051,1.2799999990e-03,3.128670e-16,1.5058467803e+00,1.5058254019e+00,1.7482670179e-15,-8.0941955523e-17,0.0000e+00
3.076,1.2799999990e-03,3.530819e-16,1.5058467803e+00,1.5058254019e+00,1.3041778081e-15,-8.0941955523e-17,0.0000e+00
4.101,1.2799999990e-03,3.596747e-16,1.5058467803e+00,1.5058254019e+00,1.0266220519e-15,-8.0941955523e-17,0.0000e+00
5.127,1.2799999990e-03,3.806154e-16,1.5058467803e+00,1.5058254019e+00,1.3844363223e-16,-8.0941955523e-17,0.0000e+00
6.152,1.2799999990e-03,3.871571e-16,1.5058467803e+00,1.5058254019e+00,1.3844363223e-16,-8.0941955523e-17,0.0000e+00
7.178,1.2799999990e-03,3.917441e-16,1.5058467803e+00,1.5058254019e+00,1.3844363223e-16,-8.0941955523e-17,0.0000e+00
8.203,1.2799999990e-03,3.972098e-16,1.5058467803e+00,1.5058254019e+00,1.3844363223e-16,-8.0941955523e-17,0.0000e+00
9.228,1.2799999990e-03,3.993247e-16,1.5058467803e+00,1.5058254019e+00,1.3844363223e-16,-8.0941955523e-17,0.0000e+00
10.254,1.2799999990e-03,4.001515e-16,1.5058467803e+00,1.5058254019e+00,1.3844363223e-16,-8.0941955523e-17,0.0000e+00
11.279,1.2799999990e-03,4.017741e-16,1.5058467803e+00,1.5058254019e+00,1.3844363223e-16,-8.0941955523e-17,0.0000e+00
12.304,1.2799999990e-03,4.024986e-16,1.5058467803e+00,1.5058254019e+00,1.3844363223e-16,-8.0941955523e-17,0.0000e+00
13.330,1.2799999990e-03,4.037856e-16,1.5058467803e+00,1.5058254019e+00,1.3844363223e-16,-8.0941955523e-17,0.0000e+00
14.355,1.2799999990e-03,4.050010e-16,1.5058467803e+00,1.5058254019e+00,1.3844363223e-16,-8.0941955523e-17,0.0000e+00
15.380,1.2799999990e-03,4.061225e-16,1.5058467803e+00,1.5058254019e+00,1.3844363223e-16,-1.5033089456e-16,0.0000e+00
16.406,1.2799999990e-03,4.081854e-16,1.5058467803e+00,1.5058254019e+00,-5.2769018255e-16,-1.5022463436e-17,0.0000e+00
17.431,1.2799999990e-03,4.122629e-16,1.5058467803e+00,1.5058254019e+00,-7.5690407434e-16,-5.3782691102e-17,0.0000e+00
18.456,1.2799999990e-03,4.155745e-16,1.5058467803e+00,1.5058254019e+00,-4.1037950749e-16,-7.2729124066e-17,0.0000e+00
19.482,1.2799999990e-03,4.151221e-16,1.5058467803e+00,1.5058254019e+00,-3.7537332984e-16,-7.5331209280e-17,0.0000e+00
20.507,1.2799999990e-03,4.167589e-16,1.5058467803e+00,1.5058254019e+00,-3.7537332984e-16,-7.5331209280e-17,0.0000e+00
21.533,1.2799999990e-03,4.186288e-16,1.5058467803e+00,1.5058254019e+00,-3.7537332984e-16,3.5691093182e-17,0.0000e+00
22.558,1.2799999990e-03,4.201041e-16,1.5058467803e+00,1.5058254019e+00,-4.8639563230e-16,1.1201892613e-16,0.0000e+00
23.583,1.2799999990e-03,4.197027e-16,1.5058467803e+00,1.5058254019e+00,-4.8639563230e-16,3.2221646230e-17,0.0000e+00
24.609,1.2799999990e-03,4.206820e-16,1.5058467803e+00,1.5058254019e+00,-5.4190678354e-16,3.2221646230e-17,0.0000e+00
25.634,1.2799999990e-03,4.207978e-16,1.5058467803e+00,1.5058254019e+00,-5.4190678354e-16,3.3956369706e-17,0.0000e+00
