t,rhoc,errD,Mb,q00,q20,q22,vatm
0.000,1.2799999990e-03,0.000000e+00,1.5058467803e+00,1.5058254019e+00,1.8881562032e-15,1.4386520493e-17,0.0000e+00
1.025,1.2799996585e-03,4.198064e-05,1.5058467958e+00,1.5058254175e+00,1.0002325262e-14,-7.9356093844e-16,0.0000e+00
2.051,1.2800040222e-03,6.782911e-05,1.5058468171e+00,1.5058254386e+00,2.1750089931e-15,4.4641398117e-16,0.0000e+00
3.076,1.2800039605e-03,8.329477e-05,1.5058468384e+00,1.5058254599e+00,2.5393686859e-15,6.8981736890e-16,0.0000e+00
4.101,1.2799993464e-03,9.662889e-05,1.5058468591e+00,1.5058254808e+00,1.2169902903e-14,2.9928774637e-16,0.0000e+00
5.127,1.2799930437e-03,1.085458e-04,1.5058468791e+00,1.5058255009e+00,-1.4484895343e-15,6.2172731245e-17,0.0000e+00
6.152,1.2799857240e-03,1.190213e-04,1.5058468982e+00,1.5058255201e+00,-1.6884031918e-14,-1.0961910299e-16,0.0000e+00
7.178,1.2799779825e-03,1.284265e-04,1.5058469164e+00,1.5058255384e+00,-6.7446680683e-15,-1.3774309134e-15,0.0000e+00
8.203,1.2799698273e-03,1.372235e-04,1.5058469339e+00,1.5058255560e+00,-1.7085124315e-14,-7.5759253137e-16,0.0000e+00
9.228,1.2799611384e-03,1.457428e-04,1.5058469507e+00,1.5058255730e+00,3.8294477723e-16,-7.2026887158e-16,0.0000e+00
10.254,1.2799523703e-03,1.541966e-04,1.5058469669e+00,1.5058255893e+00,-5.9344844408e-15,1.1361020881e-15,0.0000e+00
11.279,1.2799437907e-03,1.627299e-04,1.5058469827e+00,1.5058256052e+00,-1.6061501937e-14,-7.8494153117e-16,0.0000e+00
12.304,1.2799351322e-03,1.714266e-04,1.5058469980e+00,1.5058256207e+00,-3.4764761417e-15,2.8619600513e-16,0.0000e+00
13.330,1.2799263086e-03,1.803003e-04,1.5058470130e+00,1.5058256359e+00,2.1219277656e-14,-3.1149754750e-16,0.0000e+00
14.355,1.2799177571e-03,1.893027e-04,1.5058470277e+00,1.5058256507e+00,-9.6012421305e-16,-2.3297420516e-16,0.0000e+00
15.380,1.2799098508e-03,1.983578e-04,1.5058470421e+00,1.5058256652e+00,9.1279704269e-15,-1.4145919428e-15,0.0000e+00
16.406,1.2799023988e-03,2.073896e-04,1.5058470562e+00,1.5058256795e+00,4.8338928560e-15,-1.1349512575e-16,0.0000e+00
17.431,1.2798950088e-03,2.163276e-04,1.5058470702e+00,1.5058256935e+00,-3.3453012273e-15,3.9602568521e-16,0.0000e+00
18.456,1.2798878145e-03,2.251050e-04,1.5058470839e+00,1.5058257074e+00,9.3562491969e-15,-2.0502889416e-16,0.0000e+00
19.482,1.2798816183e-03,2.336586e-04,1.5058470976e+00,1.5058257212e+00,-2.0604390349e-14,-1.7336997473e-15,0.0000e+00
20.507,1.2798772477e-03,2.419298e-04,1.5058471111e+00,1.5058257347e+00,-2.6654251474e-15,2.3082037918e-16,0.0000e+00
21.533,1.2798747958e-03,2.498628e-04,1.5058471245e+00,1.5058257482e+00,6.6137055942e-15,6.7219908359e-16,0.0000e+00
22.558,1.2798734765e-03,2.574064e-04,1.5058471378e+00,1.5058257615e+00,2.1237871731e-14,-3.7869889266e-15,0.0000e+00
23.583,1.2798721853e-03,2.645165e-04,1.5058471510e+00,1.5058257748e+00,3.8983890175e-15,2.6941797652e-16,0.0000e+00
24.609,1.2798702549e-03,2.711609e-04,1.5058471642e+00,1.5058257880e+00,-5.4590075667e-15,6.3617646641e-16,0.0000e+00
25.634,1.2798678278e-03,2.773217e-04,1.5058471774e+00,1.5058258013e+00,9.6952250121e-15,1.8673151383e-15,0.0000e+00
26.659,1.2798656608e-03,2.829945e-04,1.5058471906e+00,1.5058258144e+00,5.7152814679e-15,-2.7238495413e-16,0.0000e+00
27.685,1.2798646018e-03,2.881846e-04,1.5058472037e+00,1.5058258276e+00,-3.1501583807e-15,3.6626433557e-16,0.0000e+00
28.710,1.2798651229e-03,2.929019e-04,1.5058472168e+00,1.5058258407e+00,1.2019605394e-14,-2.1795778907e-15,0.0000e+00
29.735,1.2798671560e-03,2.971568e-04,1.5058472299e+00,1.5058258538e+00,3.5053657339e-15,-8.7072902807e-16,0.0000e+00
