tag,nt,seed,wellbalanced,T,elements,nodes,dt,seconds,errD_end,rhoc_drift_end,Mb_drift_end,vatm_max,resid_interior,resid_surface,f_pgram_kHz,f_pencil_kHz,df_over_f,gamma,stable,peak1_kHz,peak2_kHz,peak3_kHz
static_WB,2,none,true,200,464,27776,0.10254,41,5.200e-16,0.000e+00,0.000e+00,0.000e+00,2.664e-02,4.654e-02,NaN,NaN,NaN,NaN,false,NaN,NaN,NaN
static_noWB,2,none,false,2000,464,27776,0.10254,620,5.084e-04,-1.289e-04,1.606e-05,0.000e+00,2.664e-02,4.654e-02,NaN,NaN,NaN,NaN,false,NaN,NaN,NaN
l0_WB,2,radial,true,2000,464,27776,0.10254,506,7.765e-06,-6.897e-06,-4.240e-08,0.000e+00,2.664e-02,4.654e-02,NaN,NaN,NaN,NaN,false,NaN,NaN,NaN
l2_WB,2,l2,true,2000,464,27776,0.10254,478,1.063e-05,-1.737e-06,-2.277e-08,0.000e+00,2.664e-02,4.654e-02,1.84522,1.88755,0.0550,4.680e-03,true,NaN,NaN,NaN
l2_noWB,2,l2,false,2000,464,27776,0.10254,512,5.084e-04,-1.292e-04,1.605e-05,0.000e+00,2.664e-02,4.654e-02,1.83956,1.88402,0.0552,5.138e-03,true,NaN,NaN,NaN
l2_WB_nt3,3,l2,true,2000,1053,63072,0.10263,2,2.125e-04,NaN,6.131e-13,2.159e-03,0.000e+00,0.000e+00,5.64873,NaN,35.0204,NaN,false,NaN,NaN,NaN
l2_WB_nt3,3,l2,true,2000,1053,63072,0.10263,1369,1.039e-02,-1.269e-03,-3.010e-05,9.157e-02,2.729e-02,4.694e-02,0.60083,0.53896,0.1690,-8.717e-04,false,NaN,NaN,NaN
l2_WB_nt2pt5,2,l2,true,1500,464,63072,0.10254,840,2.1e-03,-1.0e-04,-2.6e-07,0.0,4.3e-03,3.8e-02,1.8909,1.9167,NaN,6.07e-03,false,NaN,NaN,NaN
l2_noWB_nt3,3,l2,false,1000,1053,63072,0.10260,654,1.3e-03,-9.6e-05,-1.0e-05,0.0,2.7e-02,4.7e-02,1.8246,1.8553,NaN,2.05e-03,false,NaN,NaN,NaN
l2_WB_nt3s6,3,l2,true,1200,1053,63072,0.10260,885,2.4e-06,-8.0e-07,3.0e-09,0.0,2.7e-02,4.7e-02,1.7071,1.8093,NaN,5.52e-03,true,NaN,NaN,NaN
