p,nt,elements,nodes,dt,t,errD_rms,err_rho_L2,err_v_L2,rhoc_drift,Mb_drift
2,2,152,4104,0.18549,100,4.5968e-02,4.5500e-02,3.6909e-02,-8.8998e-02,-5.9948e-02
2,2,152,4104,0.17561,300,3.8041e+83,1.3803e+81,4.6238e+03,9.9647e+78,1.5747e+82
2,2,152,4104,0.06914,500,3.3834e+84,6.1793e+80,8.5323e+04,1.2403e+73,2.2074e+82
3,2,152,9728,0.10254,100,1.5753e-03,1.4907e-03,2.6081e-03,-1.8319e-03,-8.0156e-04
3,2,152,9728,0.10250,300,4.6828e-03,4.7556e-03,7.7054e-03,-9.7371e-03,-2.3048e-03
3,2,152,9728,0.10220,500,1.6591e-02,1.5520e-02,1.5211e-02,-1.1841e-02,-6.5638e-03
4,2,152,19000,0.06406,100,8.7534e-04,8.1580e-04,2.4804e-03,2.6777e-05,-3.1101e-04
4,2,152,19000,0.06406,300,3.9605e-03,4.0296e-03,8.6729e-03,-1.7089e-04,-1.5015e-03
4,2,152,19000,0.06242,500,1.1722e+152,1.8879e+150,2.4367e+04,2.6099e+144,6.7899e+150
5,2,152,32832,0.04358,100,1.4884e-04,1.4113e-04,4.0757e-04,5.8952e-06,-2.0533e-05
5,2,152,32832,0.04358,300,8.5173e-04,8.7328e-04,1.3421e-03,-1.7190e-03,-6.0205e-05
