A,K,t,rhoc_drift,sumD_drift,vmax,elems_free,elems_scaled,elems_fallback,star_fallback
1e-02,6,100,-1.433e-04,+1.57e-05,0.075,209,0,7,0
1e-02,6,200,-1.195e-04,+8.91e-06,0.004,211,0,5,0
1e-02,6,300,-2.587e-04,-2.33e-05,0.004,211,0,5,0
1e-02,6,400,-3.857e-04,-6.65e-05,0.003,210,1,5,0
1e-02,6,500,-4.906e-04,-1.08e-04,0.003,211,0,5,0
1e-02,6,600,-5.811e-04,-1.63e-04,0.003,211,0,5,0
1e-02,6,700,-6.541e-04,-2.15e-04,0.003,211,0,5,0
1e-02,6,800,-6.976e-04,-2.65e-04,0.003,211,0,5,0
1e-02,6,900,-7.193e-04,-3.12e-04,0.003,210,1,5,0
1e-02,6,1000,-7.259e-04,-3.58e-04,0.003,211,0,5,0
1e-03,6,100,-1.399e-05,+3.96e-07,0.002,216,0,0,0
1e-03,6,200,-5.589e-07,+9.05e-07,0.000,215,1,0,0
1e-03,6,300,-3.247e-06,+1.12e-06,0.000,216,0,0,0
1e-03,6,400,-5.230e-06,+1.24e-06,0.061,216,0,0,0
1e-03,6,500,-1.117e-05,+7.20e-07,0.000,216,0,0,0
1e-03,6,600,-1.317e-05,+1.54e-06,0.001,216,0,0,0
