t,rhoc,errD,Mb,fd_fraction,vatm
0.000,1.2799999997e-03,3.844066e-07,1.5061764254e+00,0.0426,0.0000e+00
0.510,1.2795668017e-03,1.782035e-04,1.5061767836e+00,0.0851,1.0054e-02
1.019,1.2791493704e-03,3.398133e-04,1.5061767836e+00,0.0851,7.3532e-03
1.529,1.2787450201e-03,4.162020e-04,1.5061767836e+00,0.0426,8.3960e-03
2.038,1.2783173475e-03,5.185096e-04,1.5061767836e+00,0.0426,1.5677e-02
2.548,1.2778842216e-03,6.213735e-04,1.5061767836e+00,0.0426,2.2957e-02
3.058,1.2774973039e-03,7.229021e-04,1.5061767836e+00,0.0426,3.0235e-02
3.567,1.2771780872e-03,8.233971e-04,1.5061767836e+00,0.0426,3.7511e-02
4.077,1.2768975613e-03,9.230519e-04,1.5061767836e+00,0.0426,4.4784e-02
4.586,1.2766100127e-03,1.021530e-03,1.5061767836e+00,0.0426,5.2053e-02
5.096,1.2762991694e-03,1.118249e-03,1.5061767836e+00,0.0426,5.9317e-02
5.606,1.2759928440e-03,1.212696e-03,1.5061767836e+00,0.0426,6.6574e-02
6.115,1.2757364192e-03,1.304449e-03,1.5061767836e+00,0.0426,7.3955e-02
6.625,1.2755529298e-03,1.393023e-03,1.5061767836e+00,0.0426,8.1358e-02
7.134,1.2754265793e-03,1.477926e-03,1.5061767836e+00,0.0426,8.8765e-02
7.644,1.2753219364e-03,1.558712e-03,1.5061767836e+00,0.0426,9.6172e-02
8.154,1.2752174155e-03,1.635065e-03,1.5061767836e+00,0.0426,1.0357e-01
8.663,1.2751216170e-03,1.706811e-03,1.5061767836e+00,0.0426,1.1096e-01
9.173,1.2750606043e-03,1.773965e-03,1.5061767836e+00,0.0426,1.1833e-01
9.682,1.2750516821e-03,1.836678e-03,1.5061767836e+00,0.0426,1.2568e-01
10.192,1.2750890894e-03,1.895143e-03,1.5061767836e+00,0.0426,1.3289e-01
10.702,1.2751523727e-03,1.949541e-03,1.5061767836e+00,0.0426,1.4040e-01
11.211,1.2752259560e-03,2.000047e-03,1.5061767836e+00,0.0426,1.4790e-01
11.721,1.2753104667e-03,2.046895e-03,1.5061767836e+00,0.0426,1.4796e-01
