t,rhoc,errD,Mb,fd_fraction,vatm
0.000,1.2799999997e-03,0.000000e+00,1.5061759195e+00,0.0426,0.0000e+00
0.510,1.2799956910e-03,9.717192e-05,1.5061762776e+00,0.0426,9.3863e-03
1.019,1.2800036416e-03,9.011311e-05,1.5061762776e+00,0.0426,3.3622e-03
1.529,1.2800173450e-03,9.301465e-05,1.5061762776e+00,0.0426,8.5465e-03
2.039,1.2799965819e-03,9.753102e-05,1.5061762776e+00,0.0426,1.5684e-02
2.548,1.2799566979e-03,1.025025e-04,1.5061762776e+00,0.0426,2.2965e-02
3.058,1.2799471061e-03,1.095397e-04,1.5061762776e+00,0.0426,3.0245e-02
3.568,1.2799861034e-03,1.196849e-04,1.5061762776e+00,0.0426,3.7521e-02
4.077,1.2800408936e-03,1.325005e-04,1.5061762776e+00,0.0426,4.4795e-02
4.587,1.2800627589e-03,1.468366e-04,1.5061762776e+00,0.0426,5.2065e-02
5.097,1.2800339847e-03,1.610985e-04,1.5061762776e+00,0.0426,5.9358e-02
5.606,1.2799819383e-03,1.739638e-04,1.5061762776e+00,0.0426,6.6734e-02
6.116,1.2799513408e-03,1.846563e-04,1.5061762776e+00,0.0426,7.4128e-02
6.626,1.2799637486e-03,1.928599e-04,1.5061762776e+00,0.0426,8.1533e-02
7.135,1.2800016406e-03,1.985758e-04,1.5061762776e+00,0.0426,8.8942e-02
7.645,1.2800287019e-03,2.020033e-04,1.5061762776e+00,0.0426,9.6349e-02
8.155,1.2800238137e-03,2.034678e-04,1.5061762776e+00,0.0426,1.0375e-01
8.664,1.2799968636e-03,2.033889e-04,1.5061762776e+00,0.0426,1.1114e-01
9.174,1.2799750406e-03,2.022476e-04,1.5061762776e+00,0.0426,1.1851e-01
9.684,1.2799761571e-03,2.005374e-04,1.5061762776e+00,0.0426,1.2600e-01
10.193,1.2799947898e-03,1.987076e-04,1.5061762776e+00,0.0426,1.3352e-01
10.703,1.2800114514e-03,1.971121e-04,1.5061762776e+00,0.0426,1.4104e-01
11.213,1.2800124554e-03,1.959735e-04,1.5061762776e+00,0.0426,1.4854e-01
11.722,1.2800007790e-03,1.953720e-04,1.5061762776e+00,0.0426,1.5602e-01
12.232,1.2799899763e-03,1.952632e-04,1.5061762776e+00,0.0426,1.6292e-01
12.742,1.2799898210e-03,1.955219e-04,1.5061762776e+00,0.0426,1.6894e-01
13.251,1.2799982902e-03,1.959988e-04,1.5061762776e+00,0.0426,1.7371e-01
13.761,1.2800060609e-03,1.965743e-04,1.5061762776e+00,0.0426,1.7637e-01
14.271,1.2800068626e-03,1.971979e-04,1.5061762776e+00,0.0426,1.7537e-01
14.780,1.2800027474e-03,1.979037e-04,1.5061762776e+00,0.0426,1.7015e-01
15.290,1.2800001883e-03,1.987962e-04,1.5061762776e+00,0.0426,1.6185e-01
15.800,1.2800023997e-03,2.000034e-04,1.5061762776e+00,0.0426,1.5179e-01
16.309,1.2800062212e-03,2.016289e-04,1.5061762776e+00,0.0426,1.4296e-01
16.819,1.2800063422e-03,2.037199e-04,1.5061762776e+00,0.0426,1.3599e-01
17.329,1.2800017987e-03,2.062595e-04,1.5061762776e+00,0.0426,1.3160e-01
17.838,1.2799975969e-03,2.091781e-04,1.5061762776e+00,0.0426,1.2794e-01
18.348,1.2799996646e-03,2.123769e-04,1.5061762776e+00,0.0426,1.2482e-01
18.858,1.2800082162e-03,2.157529e-04,1.5061762776e+00,0.0426,1.2215e-01
19.367,1.2800163575e-03,2.192179e-04,1.5061762776e+00,0.0426,1.1974e-01
19.877,1.2800158243e-03,2.227088e-04,1.5061762776e+00,0.0426,1.1751e-01
20.387,1.2800048349e-03,2.261860e-04,1.5061762776e+00,0.0426,1.2000e-01
20.896,1.2799907717e-03,2.296266e-04,1.5061762776e+00,0.0000,0.0000e+00
21.406,1.2799848331e-03,2.330133e-04,1.5061762776e+00,0.0000,0.0000e+00
21.916,1.2799928460e-03,2.363279e-04,1.5061762776e+00,0.0000,0.0000e+00
22.425,1.2800099396e-03,2.395498e-04,1.5061762776e+00,0.0000,0.0000e+00
22.935,1.2800236410e-03,2.426583e-04,1.5061762776e+00,0.0000,0.0000e+00
23.445,1.2800230772e-03,2.456375e-04,1.5061762776e+00,0.0000,0.0000e+00
23.954,1.2800071308e-03,2.484787e-04,1.5061762776e+00,0.0000,0.0000e+00
24.464,1.2799853579e-03,2.511820e-04,1.5061762776e+00,0.0000,0.0000e+00
24.973,1.2799712337e-03,2.537551e-04,1.5061762776e+00,0.0000,0.0000e+00
25.483,1.2799730296e-03,2.562122e-04,1.5061762776e+00,0.0000,0.0000e+00
25.993,1.2799888846e-03,2.585719e-04,1.5061762776e+00,0.0000,0.0000e+00
26.502,1.2800088975e-03,2.608540e-04,1.5061762776e+00,0.0000,0.0000e+00
27.012,1.2800219064e-03,2.630751e-04,1.5061762776e+00,0.0000,0.0000e+00
27.522,1.2800218618e-03,2.652456e-04,1.5061762776e+00,0.0000,0.0000e+00
28.031,1.2800099297e-03,2.673671e-04,1.5061762776e+00,0.0000,0.0000e+00
28.541,1.2799921304e-03,2.694354e-04,1.5061762776e+00,0.0000,0.0000e+00
29.051,1.2799752999e-03,2.714442e-04,1.5061762776e+00,0.0000,0.0000e+00
29.560,1.2799643626e-03,2.733897e-04,1.5061762776e+00,0.0000,0.0000e+00
30.070,1.2799618450e-03,2.752723e-04,1.5061762776e+00,0.0000,0.0000e+00
30.580,1.2799685024e-03,2.770947e-04,1.5061762776e+00,0.0000,0.0000e+00
31.089,1.2799835662e-03,2.788594e-04,1.5061762776e+00,0.0000,0.0000e+00
31.599,1.2800042495e-03,2.805663e-04,1.5061762776e+00,0.0000,0.0000e+00
32.109,1.2800254593e-03,2.822129e-04,1.5061762776e+00,0.0000,0.0000e+00
32.618,1.2800408177e-03,2.837957e-04,1.5061762776e+00,0.0000,0.0000e+00
33.128,1.2800450294e-03,2.853112e-04,1.5061762776e+00,0.0000,0.0000e+00
33.638,1.2800363231e-03,2.867571e-04,1.5061762776e+00,0.0000,0.0000e+00
34.147,1.2800173686e-03,2.881323e-04,1.5061762776e+00,0.0000,0.0000e+00
34.657,1.2799940287e-03,2.894376e-04,1.5061762776e+00,0.0000,0.0000e+00
35.167,1.2799727508e-03,2.906762e-04,1.5061762776e+00,0.0000,0.0000e+00
35.676,1.2799581942e-03,2.918533e-04,1.5061762776e+00,0.0000,0.0000e+00
36.186,1.2799522964e-03,2.929747e-04,1.5061762776e+00,0.0000,0.0000e+00
36.696,1.2799548824e-03,2.940428e-04,1.5061762776e+00,0.0000,0.0000e+00
37.205,1.2799649614e-03,2.950471e-04,1.5061762776e+00,0.0000,0.0000e+00
37.715,1.2799816942e-03,2.959504e-04,1.5061762776e+00,0.0426,3.8413e-03
38.225,1.2800045737e-03,2.968379e-04,1.5061762776e+00,0.0426,1.1109e-02
38.734,1.2800330500e-03,2.977202e-04,1.5061762776e+00,0.0426,1.8485e-02
39.244,1.2800661208e-03,2.985994e-04,1.5061762776e+00,0.0426,2.5894e-02
39.754,1.2801021782e-03,2.994772e-04,1.5061762776e+00,0.0426,3.3318e-02
40.263,1.2801389967e-03,3.003545e-04,1.5061762776e+00,0.0426,4.0748e-02
40.773,1.2801736170e-03,3.012306e-04,1.5061762776e+00,0.0426,4.8180e-02
41.283,1.2802021038e-03,3.021031e-04,1.5061762776e+00,0.0426,5.5612e-02
41.792,1.2802194625e-03,3.029684e-04,1.5061762776e+00,0.0426,6.3042e-02
42.302,1.2802200699e-03,3.038230e-04,1.5061762776e+00,0.0426,7.0468e-02
42.812,1.2801987168e-03,3.046644e-04,1.5061762776e+00,0.0426,7.7888e-02
43.321,1.2801519612e-03,3.054921e-04,1.5061762776e+00,0.0426,8.5302e-02
43.831,1.2800792601e-03,3.063079e-04,1.5061762776e+00,0.0426,9.2708e-02
44.341,1.2799834474e-03,3.071151e-04,1.5061762776e+00,0.0426,1.0011e-01
44.850,1.2798704603e-03,3.079186e-04,1.5061762776e+00,0.0426,1.0749e-01
45.360,1.2797485351e-03,3.087237e-04,1.5061762776e+00,0.0426,1.1487e-01
45.870,1.2796271986e-03,3.095355e-04,1.5061762776e+00,0.0426,5.6004e-02
46.379,1.2795162564e-03,3.103575e-04,1.5061762776e+00,0.0426,5.3951e-02
46.889,1.2794248405e-03,3.111894e-04,1.5061762776e+00,0.0426,5.1175e-02
47.399,1.2793605078e-03,3.120286e-04,1.5061762776e+00,0.0426,4.8205e-02
47.908,1.2793284445e-03,3.128693e-04,1.5061762776e+00,0.0426,4.5449e-02
48.418,1.2793308993e-03,3.137046e-04,1.5061762776e+00,0.0426,4.3142e-02
48.928,1.2793670217e-03,3.145284e-04,1.5061762776e+00,0.0426,4.1368e-02
49.437,1.2794331531e-03,3.153371e-04,1.5061762776e+00,0.0426,4.0116e-02
49.947,1.2795234657e-03,3.161296e-04,1.5061762776e+00,0.0426,3.9329e-02
50.457,1.2796307518e-03,3.169070e-04,1.5061762776e+00,0.0426,3.8932e-02
50.966,1.2797471994e-03,3.176716e-04,1.5061762776e+00,0.0426,3.8855e-02
51.476,1.2798650844e-03,3.184267e-04,1.5061762776e+00,0.0426,3.9036e-02
51.986,1.2799773745e-03,3.191766e-04,1.5061762776e+00,0.0426,3.9426e-02
52.495,1.2800782442e-03,3.199264e-04,1.5061762776e+00,0.0426,3.9989e-02
53.005,1.2801634538e-03,3.206808e-04,1.5061762776e+00,0.0426,4.0701e-02
53.515,1.2802305223e-03,3.214439e-04,1.5061762776e+00,0.0426,4.1548e-02
54.024,1.2802786519e-03,3.222170e-04,1.5061762776e+00,0.0426,4.2527e-02
