t,rhoc,errD,Mb,fd_fraction,vatm
0.000,1.2799999990e-03,3.846085e-07,1.5071030169e+00,1.0000,0.0000e+00
0.617,1.2793263616e-03,2.875956e-04,1.5071030169e+00,1.0000,9.5454e-03
1.235,1.2786159540e-03,5.273226e-04,1.5071030169e+00,1.0000,5.9914e-03
1.852,1.2780344798e-03,7.344594e-04,1.5071030169e+00,1.0000,2.6019e-03
2.470,1.2774966924e-03,9.203045e-04,1.5071030169e+00,1.0000,5.5192e-04
3.087,1.2769684149e-03,1.090675e-03,1.5071030169e+00,1.0000,3.5418e-03
3.705,1.2764837681e-03,1.253546e-03,1.5071030169e+00,1.0000,6.4643e-03
4.322,1.2760487610e-03,1.417720e-03,1.5071030169e+00,1.0000,9.4228e-03
4.940,1.2756506209e-03,1.568753e-03,1.5071030169e+00,1.0000,1.2126e-02
5.557,1.2752907621e-03,1.706521e-03,1.5071030169e+00,1.0000,1.4491e-02
6.175,1.2749767237e-03,1.830676e-03,1.5071030169e+00,1.0000,1.6510e-02
6.792,1.2747103163e-03,1.941187e-03,1.5071030169e+00,1.0000,1.8181e-02
7.410,1.2744909971e-03,2.038306e-03,1.5071030169e+00,1.0000,1.9507e-02
8.027,1.2743194164e-03,2.122725e-03,1.5071030169e+00,1.0000,2.0495e-02
8.644,1.2741959001e-03,2.194870e-03,1.5071030169e+00,1.0000,2.1156e-02
9.262,1.2741194744e-03,2.255153e-03,1.5071030169e+00,1.0000,2.1509e-02
9.879,1.2740883959e-03,2.305010e-03,1.5071030169e+00,1.0000,2.1578e-02
10.497,1.2741017688e-03,2.349124e-03,1.5071030169e+00,1.0000,2.1383e-02
11.114,1.2741557201e-03,2.391068e-03,1.5071030169e+00,1.0000,2.0940e-02
11.732,1.2742479835e-03,2.433980e-03,1.5071030169e+00,1.0000,2.0272e-02
12.349,1.2743762972e-03,2.480923e-03,1.5071030169e+00,1.0000,1.9409e-02
12.967,1.2745370880e-03,2.533899e-03,1.5071030169e+00,1.0000,1.8383e-02
13.584,1.2747268414e-03,2.594546e-03,1.5071030169e+00,1.0000,1.7212e-02
14.202,1.2749424014e-03,2.664521e-03,1.5071030169e+00,1.0000,1.5906e-02
14.819,1.2751803968e-03,2.746646e-03,1.5071030169e+00,1.0000,1.4505e-02
15.437,1.2754370743e-03,2.841369e-03,1.5071030169e+00,1.0000,1.3046e-02
16.054,1.2757084712e-03,2.948420e-03,1.5071030169e+00,1.0000,1.1566e-02
16.671,1.2759906138e-03,3.067153e-03,1.5071030169e+00,1.0000,1.0095e-02
17.289,1.2762797649e-03,3.196225e-03,1.5071030169e+00,1.0000,8.6603e-03
17.906,1.2765726899e-03,3.340053e-03,1.5071030169e+00,1.0000,7.2899e-03
18.524,1.2768667557e-03,3.488955e-03,1.5071030169e+00,1.0000,6.0570e-03
19.141,1.2771597991e-03,3.637121e-03,1.5071030169e+00,1.0000,4.9673e-03
19.759,1.2774498758e-03,3.781121e-03,1.5071030169e+00,1.0000,4.0117e-03
20.376,1.2777350522e-03,3.918162e-03,1.5071030169e+00,1.0000,3.1805e-03
20.994,1.2780133385e-03,4.048741e-03,1.5071030169e+00,1.0000,2.4613e-03
21.611,1.2782827692e-03,4.173544e-03,1.5071030169e+00,1.0000,1.8355e-03
22.229,1.2785415758e-03,4.291335e-03,1.5071030169e+00,1.0000,1.2902e-03
22.846,1.2787883514e-03,4.401215e-03,1.5071030169e+00,1.0000,8.1649e-04
23.463,1.2790221113e-03,4.502551e-03,1.5071030169e+00,1.0000,4.0760e-04
24.081,1.2792422119e-03,4.594881e-03,1.5071030169e+00,1.0000,5.9109e-05
24.698,1.2794481696e-03,4.678705e-03,1.5071030169e+00,1.0000,2.2069e-04
25.316,1.2796394653e-03,4.755851e-03,1.5071030169e+00,1.0000,4.2142e-04
25.933,1.2798154265e-03,4.828482e-03,1.5071030169e+00,1.0000,5.5680e-04
26.551,1.2799752443e-03,4.899051e-03,1.5071030169e+00,1.0000,6.4260e-04
