t,rhoc,errD,Mb,fd_fraction,vatm
0.000,1.2799999518e-03,0.000000e+00,1.5061784879e+00,0.0952,0.0000e+00
0.618,1.2799919274e-03,8.269072e-06,1.5061784879e+00,0.1905,8.6424e-03
1.237,1.2799604030e-03,2.360721e-05,1.5061786239e+00,0.1905,1.7670e-02
1.855,1.2799165231e-03,5.695996e-04,1.5061786239e+00,0.2857,2.2789e-02
2.474,1.2798764223e-03,8.568488e-04,1.5061786239e+00,0.1905,3.0484e-02
3.092,1.2798524878e-03,8.166108e-04,1.5061786239e+00,0.1905,3.8165e-02
3.710,1.2798498849e-03,7.903408e-04,1.5061786239e+00,0.1905,4.5824e-02
4.329,1.2798655227e-03,7.745590e-04,1.5061786239e+00,0.1905,5.3463e-02
4.947,1.2798900688e-03,7.651683e-04,1.5061786239e+00,0.1905,6.1657e-02
5.566,1.2799119441e-03,7.597555e-04,1.5061786239e+00,0.1905,6.9539e-02
6.184,1.2799232163e-03,7.564682e-04,1.5061786239e+00,0.1905,7.7462e-02
6.802,1.2799241219e-03,7.530540e-04,1.5061786239e+00,0.1905,8.5340e-02
7.421,1.2799219603e-03,7.455486e-04,1.5061786239e+00,0.1905,9.3175e-02
8.039,1.2799244134e-03,7.087205e-04,1.5061786239e+00,0.1905,1.0146e-01
8.658,1.2799323188e-03,6.736721e-04,1.5061786239e+00,0.1905,1.0967e-01
9.276,1.2799377241e-03,6.393575e-04,1.5061786239e+00,0.1905,1.1783e-01
9.894,1.2799291994e-03,6.052221e-04,1.5061786239e+00,0.1905,1.2580e-01
10.513,1.2799010775e-03,5.735411e-04,1.5061786239e+00,0.1905,1.3366e-01
11.131,1.2798603228e-03,5.422394e-04,1.5061786239e+00,0.1905,1.4139e-01
11.749,1.2798259241e-03,5.139530e-04,1.5061786239e+00,0.1905,1.4900e-01
12.368,1.2798201684e-03,4.905795e-04,1.5061786239e+00,0.1905,1.5649e-01
12.986,1.2798561054e-03,4.728396e-04,1.5061786239e+00,0.0952,1.6389e-01
13.605,1.2799280928e-03,4.612244e-04,1.5061786239e+00,0.0952,1.7117e-01
14.223,1.2800111059e-03,4.559813e-04,1.5061786239e+00,0.0952,1.7832e-01
14.841,1.2800701407e-03,4.572980e-04,1.5061786239e+00,0.0952,1.8535e-01
15.460,1.2800758274e-03,4.656974e-04,1.5061786239e+00,0.0952,1.9217e-01
16.078,1.2800189895e-03,4.788567e-04,1.5061786239e+00,0.0952,1.9867e-01
16.697,1.2799170310e-03,4.938531e-04,1.5061786239e+00,0.0952,2.0497e-01
17.315,1.2798086474e-03,5.059929e-04,1.5061786239e+00,0.0952,2.1103e-01
17.933,1.2797386729e-03,5.142447e-04,1.5061786239e+00,0.0952,2.1684e-01
18.552,1.2797393877e-03,5.198568e-04,1.5061786239e+00,0.0952,2.2233e-01
19.170,1.2798162607e-03,5.241948e-04,1.5061786239e+00,0.0952,2.2746e-01
19.789,1.2799442414e-03,5.282781e-04,1.5061786239e+00,0.0952,2.3210e-01
20.407,1.2800762716e-03,5.333371e-04,1.5061786239e+00,0.0952,2.3653e-01
21.025,1.2801606536e-03,5.423692e-04,1.5061786239e+00,0.0952,2.4091e-01
21.644,1.2801604239e-03,5.552803e-04,1.5061786239e+00,0.0952,2.4551e-01
22.262,1.2800672862e-03,5.718500e-04,1.5061786239e+00,0.0952,2.5036e-01
22.881,1.2799050437e-03,5.921624e-04,1.5061786239e+00,0.0952,2.5388e-01
23.499,1.2797216777e-03,6.165148e-04,1.5061786239e+00,0.0952,2.5158e-01
24.117,1.2795734466e-03,6.439217e-04,1.5061786239e+00,0.0952,2.5369e-01
24.736,1.2795069823e-03,6.720496e-04,1.5061786239e+00,0.0952,2.5803e-01
25.354,1.2795455216e-03,7.013464e-04,1.5061786239e+00,0.0952,2.6096e-01
25.973,1.2796833654e-03,7.327086e-04,1.5061786239e+00,0.0952,2.6255e-01
26.591,1.2798894329e-03,7.669919e-04,1.5061786239e+00,0.0952,2.6290e-01
27.209,1.2801177067e-03,8.048772e-04,1.5061786239e+00,0.0952,2.6214e-01
27.828,1.2803204910e-03,8.468189e-04,1.5061786239e+00,0.0952,2.6054e-01
28.446,1.2804601871e-03,8.929555e-04,1.5061786239e+00,0.0952,2.5841e-01
29.065,1.2805165092e-03,9.429974e-04,1.5061786239e+00,0.0952,2.5605e-01
29.683,1.2804880340e-03,9.961500e-04,1.5061786239e+00,0.0952,2.5360e-01
30.301,1.2803888868e-03,1.051122e-03,1.5061786239e+00,0.0952,2.5140e-01
30.920,1.2802425936e-03,1.106229e-03,1.5061786239e+00,0.0952,2.4962e-01
31.538,1.2800754223e-03,1.159258e-03,1.5061786239e+00,0.0952,2.4828e-01
32.157,1.2799110427e-03,1.205609e-03,1.5061786239e+00,0.0952,2.4733e-01
32.775,1.2797674064e-03,1.243369e-03,1.5061786239e+00,0.0952,2.4673e-01
33.393,1.2796558269e-03,1.272111e-03,1.5061786239e+00,0.0952,2.4640e-01
34.012,1.2795816128e-03,1.292005e-03,1.5061786239e+00,0.0952,2.4631e-01
34.630,1.2795453993e-03,1.303639e-03,1.5061786239e+00,0.0952,2.4774e-01
35.248,1.2795444646e-03,1.307840e-03,1.5061786239e+00,0.0952,2.5115e-01
35.867,1.2795736498e-03,1.305563e-03,1.5061786239e+00,0.0952,2.5559e-01
36.485,1.2796258445e-03,1.297825e-03,1.5061786239e+00,0.0952,2.5919e-01
37.104,1.2796922397e-03,1.285663e-03,1.5061786239e+00,0.0952,2.6207e-01
37.722,1.2797626398e-03,1.270114e-03,1.5061786239e+00,0.0952,2.6396e-01
38.340,1.2798260825e-03,1.251432e-03,1.5061786239e+00,0.0952,2.6481e-01
38.959,1.2798718730e-03,1.229952e-03,1.5061786239e+00,0.0952,2.6512e-01
39.577,1.2798909664e-03,1.207502e-03,1.5061786239e+00,0.0952,2.6518e-01
40.196,1.2798774582e-03,1.185893e-03,1.5061786239e+00,0.0952,2.6522e-01
40.814,1.2798298304e-03,1.166655e-03,1.5061786239e+00,0.0952,2.6538e-01
41.432,1.2797515862e-03,1.150976e-03,1.5061786239e+00,0.0952,2.6580e-01
42.051,1.2796510025e-03,1.139701e-03,1.5061786239e+00,0.0952,2.6668e-01
42.669,1.2795399317e-03,1.133252e-03,1.5061786239e+00,0.0952,2.6807e-01
43.288,1.2794318354e-03,1.131943e-03,1.5061786239e+00,0.0952,2.6990e-01
43.906,1.2793394627e-03,1.135984e-03,1.5061786239e+00,0.0952,2.7196e-01
44.524,1.2792727124e-03,1.145448e-03,1.5061786239e+00,0.0952,2.7591e-01
45.143,1.2792371903e-03,1.160140e-03,1.5061786239e+00,0.0952,2.7219e-01
45.761,1.2792337832e-03,1.179500e-03,1.5061786239e+00,0.0952,2.6883e-01
46.380,1.2792593102e-03,1.206471e-03,1.5061786239e+00,0.0952,4.3789e-02
46.998,1.2793080080e-03,1.288308e-03,1.5061786239e+00,0.0952,3.5076e-02
47.616,1.2793733695e-03,1.327123e-03,1.5061786239e+00,0.0952,2.8193e-02
48.235,1.2794497619e-03,1.340205e-03,1.5061786239e+00,0.0952,2.2406e-02
48.853,1.2795333833e-03,1.337784e-03,1.5061786239e+00,0.0952,1.7368e-02
49.472,1.2796223858e-03,1.325739e-03,1.5061786239e+00,0.0952,1.2993e-02
50.090,1.2797162904e-03,1.308268e-03,1.5061786239e+00,0.0952,9.1932e-03
50.708,1.2798150307e-03,1.288246e-03,1.5061786239e+00,0.0952,5.8828e-03
51.327,1.2799180140e-03,1.267623e-03,1.5061786239e+00,0.0952,2.9952e-03
51.945,1.2800235156e-03,1.247811e-03,1.5061786239e+00,0.0952,4.8550e-04
52.564,1.2801285516e-03,1.229933e-03,1.5061786239e+00,0.0952,1.6741e-03
53.182,1.2802292143e-03,1.214839e-03,1.5061786239e+00,0.0952,3.4911e-03
53.800,1.2803213178e-03,1.203183e-03,1.5061786239e+00,0.0952,4.9733e-03
54.419,1.2804011421e-03,1.195296e-03,1.5061786239e+00,0.0952,6.1275e-03
55.037,1.2804660588e-03,1.191191e-03,1.5061786239e+00,0.0952,6.9680e-03
55.656,1.2805148742e-03,1.190575e-03,1.5061786239e+00,0.0952,7.5215e-03
56.274,1.2805478098e-03,1.192907e-03,1.5061786239e+00,0.0952,7.8287e-03
56.892,1.2805661386e-03,1.197552e-03,1.5061786239e+00,0.0952,7.9260e-03
57.511,1.2805715875e-03,1.203758e-03,1.5061786239e+00,0.0952,7.8479e-03
58.129,1.2805656806e-03,1.210754e-03,1.5061786239e+00,0.0952,7.6474e-03
58.747,1.2805492157e-03,1.217871e-03,1.5061786239e+00,0.0952,7.3828e-03
59.366,1.2805220337e-03,1.224572e-03,1.5061786239e+00,0.0952,7.1054e-03
59.984,1.2804831551e-03,1.230462e-03,1.5061786239e+00,0.0952,6.8492e-03
60.603,1.2804312516e-03,1.235276e-03,1.5061786239e+00,0.0952,6.6257e-03
61.221,1.2803653140e-03,1.238863e-03,1.5061786239e+00,0.0952,6.4230e-03
61.839,1.2802853098e-03,1.241170e-03,1.5061786239e+00,0.0952,6.2103e-03
62.458,1.2801926196e-03,1.242238e-03,1.5061786239e+00,0.0952,5.9450e-03
63.076,1.2800901004e-03,1.242219e-03,1.5061786239e+00,0.0952,5.5813e-03
63.695,1.2799817319e-03,1.241371e-03,1.5061786239e+00,0.0952,5.0789e-03
64.313,1.2798719271e-03,1.240061e-03,1.5061786239e+00,0.0952,4.4085e-03
64.931,1.2797646860e-03,1.238727e-03,1.5061786239e+00,0.0952,3.5566e-03
65.550,1.2796628194e-03,1.237826e-03,1.5061786239e+00,0.0952,2.5265e-03
66.168,1.2795674479e-03,1.237761e-03,1.5061786239e+00,0.0952,1.3386e-03
66.787,1.2794779046e-03,1.238807e-03,1.5061786239e+00,0.0952,2.8284e-05
67.405,1.2793920628e-03,1.241050e-03,1.5061786239e+00,0.0952,1.3565e-03
68.023,1.2793070014e-03,1.244226e-03,1.5061786239e+00,0.0952,2.7557e-03
68.642,1.2792198499e-03,1.248152e-03,1.5061786239e+00,0.0952,4.0886e-03
69.260,1.2791286247e-03,1.252591e-03,1.5061786239e+00,0.0952,5.2742e-03
69.879,1.2790328907e-03,1.257187e-03,1.5061786239e+00,0.0952,6.2439e-03
70.497,1.2789341350e-03,1.261320e-03,1.5061786239e+00,0.0952,6.9430e-03
71.115,1.2788358097e-03,1.264226e-03,1.5061786239e+00,0.0952,7.3331e-03
71.734,1.2787430636e-03,1.265591e-03,1.5061786239e+00,0.0952,7.4138e-03
72.352,1.2786622262e-03,1.265333e-03,1.5061786239e+00,0.0952,7.2187e-03
72.971,1.2786001336e-03,1.263590e-03,1.5061786239e+00,0.0952,6.8071e-03
73.589,1.2785633871e-03,1.260671e-03,1.5061786239e+00,0.0952,6.2525e-03
74.207,1.2785576304e-03,1.256985e-03,1.5061786239e+00,0.0952,5.6299e-03
74.826,1.2785869193e-03,1.252979e-03,1.5061786239e+00,0.0952,5.0053e-03
75.444,1.2786532436e-03,1.249083e-03,1.5061786239e+00,0.0952,4.4293e-03
76.063,1.2787562519e-03,1.245681e-03,1.5061786239e+00,0.0952,3.9340e-03
76.681,1.2788932093e-03,1.243079e-03,1.5061786239e+00,0.0952,3.5331e-03
77.299,1.2790591990e-03,1.241496e-03,1.5061786239e+00,0.0952,3.2236e-03
77.918,1.2792475500e-03,1.241051e-03,1.5061786239e+00,0.0952,2.9892e-03
78.536,1.2794504418e-03,1.241754e-03,1.5061786239e+00,0.0952,2.8041e-03
79.155,1.2796596105e-03,1.243505e-03,1.5061786239e+00,0.0952,2.6366e-03
79.773,1.2798670610e-03,1.246100e-03,1.5061786239e+00,0.0952,2.4532e-03
80.391,1.2800656908e-03,1.249250e-03,1.5061786239e+00,0.0952,2.2242e-03
81.010,1.2802497428e-03,1.252531e-03,1.5061786239e+00,0.0952,1.9299e-03
81.628,1.2804150399e-03,1.255492e-03,1.5061786239e+00,0.0952,1.5585e-03
82.246,1.2805589898e-03,1.257702e-03,1.5061786239e+00,0.0952,1.1065e-03
82.865,1.2806803917e-03,1.258784e-03,1.5061786239e+00,0.0952,5.7867e-04
83.483,1.2807791097e-03,1.258464e-03,1.5061786239e+00,0.0952,1.4767e-05
84.102,1.2808556923e-03,1.256463e-03,1.5061786239e+00,0.0952,6.4863e-04
84.720,1.2809110195e-03,1.252757e-03,1.5061786239e+00,0.0952,1.3024e-03
85.338,1.2809460407e-03,1.247359e-03,1.5061786239e+00,0.0952,1.9483e-03
