t,rhoc,errD,Mb,fd_fraction,vatm
0.000,1.2799999930e-03,3.852844e-07,1.5065932559e+00,0.0690,0.0000e+00
0.597,1.2794937846e-03,7.894441e-04,1.5065932559e+00,0.0690,4.2944e-02
1.193,1.2789836748e-03,1.390705e-03,1.5065932559e+00,0.0690,5.7101e-02
1.790,1.2784842762e-03,1.837042e-03,1.5065932559e+00,0.0690,6.9130e-02
2.386,1.2780085693e-03,2.211409e-03,1.5065932559e+00,0.0690,8.5226e-02
2.983,1.2775643896e-03,2.598194e-03,1.5065932559e+00,0.0690,9.8327e-02
3.579,1.2771535542e-03,3.035914e-03,1.5065932559e+00,0.0690,9.3453e-02
4.176,1.2767740942e-03,3.524846e-03,1.5065932559e+00,0.0690,9.7464e-02
4.772,1.2764246644e-03,4.045992e-03,1.5065932559e+00,0.0690,1.0175e-01
5.369,1.2761071612e-03,4.624838e-03,1.5065932559e+00,0.0690,1.0560e-01
5.965,1.2758260369e-03,5.223874e-03,1.5065932559e+00,0.0690,1.0905e-01
6.562,1.2755860055e-03,5.831196e-03,1.5065932559e+00,0.0690,1.1212e-01
7.159,1.2753902745e-03,6.428849e-03,1.5065932559e+00,0.0690,1.1485e-01
7.755,1.2752400180e-03,7.001159e-03,1.5065932559e+00,0.1379,1.1732e-01
8.352,1.2751346617e-03,7.547584e-03,1.5065932559e+00,0.1379,1.1951e-01
8.948,1.2750724334e-03,8.073274e-03,1.5065932559e+00,0.1379,1.2143e-01
9.545,1.2750509462e-03,8.558272e-03,1.5065932559e+00,0.1379,1.2315e-01
10.141,1.2750677453e-03,8.992348e-03,1.5065932559e+00,0.1379,1.2482e-01
10.738,1.2751206683e-03,9.365524e-03,1.5065932559e+00,0.1379,1.2651e-01
11.334,1.2752078489e-03,9.651429e-03,1.5065932559e+00,0.1379,1.2822e-01
11.931,1.2753274114e-03,9.837436e-03,1.5065932559e+00,0.1379,1.2997e-01
12.527,1.2754770800e-03,9.908989e-03,1.5065932559e+00,0.1379,1.3177e-01
13.124,1.2756538949e-03,9.882751e-03,1.5065932559e+00,0.1379,1.3363e-01
13.721,1.2758541108e-03,9.783944e-03,1.5065932559e+00,0.1379,1.3552e-01
14.317,1.2760732636e-03,9.624243e-03,1.5065932559e+00,0.1379,1.3746e-01
14.914,1.2763065760e-03,9.399440e-03,1.5065932559e+00,0.1379,1.3941e-01
15.510,1.2765499067e-03,9.112140e-03,1.5065932559e+00,0.1379,1.4137e-01
16.107,1.2768008858e-03,8.781219e-03,1.5065932559e+00,0.1379,1.4340e-01
16.703,1.2770592882e-03,8.489975e-03,1.5065932559e+00,0.1379,1.4550e-01
17.300,1.2773258566e-03,8.331330e-03,1.5065932559e+00,0.1379,1.4770e-01
17.896,1.2775998748e-03,8.371035e-03,1.5065932559e+00,0.1379,1.5001e-01
18.493,1.2778769598e-03,8.612849e-03,1.5065932559e+00,0.1379,1.5245e-01
19.089,1.2781488657e-03,8.987127e-03,1.5065932559e+00,0.1379,1.5504e-01
19.686,1.2784059919e-03,9.383664e-03,1.5065932559e+00,0.1379,1.5779e-01
20.282,1.2786416194e-03,9.714990e-03,1.5065932559e+00,0.1379,1.6070e-01
20.879,1.2788557761e-03,9.917365e-03,1.5065932559e+00,0.1379,1.6372e-01
21.476,1.2790563542e-03,9.962517e-03,1.5065932559e+00,0.1379,1.6682e-01
22.072,1.2792559614e-03,9.875827e-03,1.5065932559e+00,0.1379,1.6988e-01
22.669,1.2794654111e-03,9.710969e-03,1.5065932559e+00,0.1379,1.7279e-01
23.265,1.2796870534e-03,9.543896e-03,1.5065932559e+00,0.1379,1.7546e-01
23.862,1.2799114909e-03,9.459011e-03,1.5065932559e+00,0.1379,1.7793e-01
24.458,1.2801196642e-03,9.474345e-03,1.5065932559e+00,0.1379,1.7559e-01
25.055,1.2802898647e-03,9.578232e-03,1.5065932559e+00,0.1379,1.6294e-01
25.651,1.2804070794e-03,9.753567e-03,1.5065932559e+00,0.1379,1.4669e-01
26.248,1.2804708285e-03,9.982586e-03,1.5065932559e+00,0.1379,1.5310e-01
26.844,1.2804979832e-03,1.023949e-02,1.5065932559e+00,0.1379,1.5858e-01
27.441,1.2805189873e-03,1.049888e-02,1.5065932559e+00,0.1379,1.6303e-01
28.038,1.2805683857e-03,1.074000e-02,1.5065932559e+00,0.1379,1.6635e-01
28.634,1.2806729239e-03,1.095221e-02,1.5065932559e+00,0.1379,1.6837e-01
29.231,1.2808410906e-03,1.112849e-02,1.5065932559e+00,0.1379,1.6932e-01
29.827,1.2810575980e-03,1.126787e-02,1.5065932559e+00,0.1379,1.4481e-01
30.424,1.2812851016e-03,1.137646e-02,1.5065932559e+00,0.1379,1.2182e-01
31.020,1.2814733491e-03,1.146490e-02,1.5065932559e+00,0.1379,1.2845e-01
31.617,1.2815738866e-03,1.155000e-02,1.5065932559e+00,0.1379,1.3440e-01
32.213,1.2815552819e-03,1.164803e-02,1.5065932559e+00,0.1379,1.3958e-01
32.810,1.2814134143e-03,1.176817e-02,1.5065932559e+00,0.1379,1.4393e-01
33.406,1.2811733130e-03,1.191090e-02,1.5065932559e+00,0.1379,1.4739e-01
34.003,1.2808824026e-03,1.207089e-02,1.5065932559e+00,0.0690,1.4995e-01
34.600,1.2805980200e-03,1.223891e-02,1.5065932559e+00,0.0690,1.5167e-01
35.196,1.2803749507e-03,1.240263e-02,1.5065932559e+00,0.0690,1.5266e-01
35.793,1.2802572675e-03,1.254768e-02,1.5065932559e+00,0.0690,1.5283e-01
36.389,1.2802733712e-03,1.265718e-02,1.5065932559e+00,0.0690,1.5232e-01
36.986,1.2804333142e-03,1.271866e-02,1.5065932559e+00,0.0690,1.5234e-01
37.582,1.2807289911e-03,1.272605e-02,1.5065932559e+00,0.0690,1.5134e-01
38.179,1.2811377987e-03,1.267869e-02,1.5065932559e+00,0.0690,1.4960e-01
38.775,1.2816298860e-03,1.258123e-02,1.5065932559e+00,0.0690,1.4731e-01
39.372,1.2821766986e-03,1.244326e-02,1.5065932559e+00,0.0690,1.4458e-01
39.968,1.2827575450e-03,1.227660e-02,1.5065932559e+00,0.0690,1.4148e-01
40.565,1.2833599723e-03,1.209522e-02,1.5065932559e+00,0.0690,6.0633e-02
41.162,1.2839721860e-03,1.191575e-02,1.5065932559e+00,0.0690,6.4601e-02
41.758,1.2845693755e-03,1.175481e-02,1.5065932559e+00,0.0690,6.9223e-02
42.355,1.2850996168e-03,1.162275e-02,1.5065932559e+00,0.0690,7.4459e-02
42.951,1.2854781040e-03,1.152348e-02,1.5065932559e+00,0.0690,8.0297e-02
43.548,1.2855976410e-03,1.145495e-02,1.5065932559e+00,0.0690,8.6750e-02
44.144,1.2853572518e-03,1.140897e-02,1.5065932559e+00,0.0690,9.3924e-02
44.741,1.2846976712e-03,1.137301e-02,1.5065932559e+00,0.0690,1.0171e-01
45.337,1.2836245128e-03,1.133278e-02,1.5065932559e+00,0.0690,1.0951e-01
45.934,1.2822058283e-03,1.127456e-02,1.5065932559e+00,0.0690,1.1729e-01
46.530,1.2805433662e-03,1.118800e-02,1.5065932559e+00,0.0690,1.2507e-01
47.127,1.2787321656e-03,1.106716e-02,1.5065932559e+00,0.0690,1.3282e-01
47.724,1.2768309256e-03,1.091134e-02,1.5065932559e+00,0.0690,1.4057e-01
48.320,1.2748539427e-03,1.072517e-02,1.5065932559e+00,0.0690,1.4830e-01
48.917,1.2727827771e-03,1.051724e-02,1.5065932559e+00,0.0690,1.5601e-01
49.513,1.2705900139e-03,1.029872e-02,1.5065932559e+00,0.0690,1.6371e-01
50.110,1.2682671548e-03,1.008146e-02,1.5065932559e+00,0.0690,1.7139e-01
50.706,1.2658496487e-03,9.875973e-03,1.5065932559e+00,0.0690,1.7905e-01
51.303,1.2634329469e-03,9.690029e-03,1.5065932559e+00,0.0690,1.4764e-01
51.899,1.2611759175e-03,9.528360e-03,1.5065932559e+00,0.0690,1.5563e-01
52.496,1.2592946083e-03,9.392431e-03,1.5065932559e+00,0.0690,1.6361e-01
53.092,1.2580594212e-03,9.281576e-03,1.5065932559e+00,0.0690,1.7156e-01
53.689,1.2577753555e-03,9.194607e-03,1.5065932559e+00,0.0690,1.7950e-01
54.285,1.2587538690e-03,9.127479e-03,1.5065932559e+00,0.0690,1.8742e-01
54.882,1.2612867212e-03,9.083719e-03,1.5065932559e+00,0.0690,1.9531e-01
55.479,1.2656059591e-03,9.067702e-03,1.5065932559e+00,0.0690,2.0318e-01
56.075,1.2718196337e-03,9.079198e-03,1.5065932559e+00,0.0690,2.1103e-01
56.672,1.2798339847e-03,9.120388e-03,1.5065932559e+00,0.0690,2.1886e-01
57.268,1.2892846838e-03,9.190623e-03,1.5065932559e+00,0.0690,2.2666e-01
57.865,1.2995106068e-03,9.286397e-03,1.5065932559e+00,0.0690,2.3443e-01
58.461,1.3096025492e-03,9.404181e-03,1.5065932559e+00,0.0690,2.4218e-01
59.058,1.3185339914e-03,9.537334e-03,1.5065932559e+00,0.0690,2.4990e-01
59.654,1.3253579454e-03,9.680901e-03,1.5065932559e+00,0.0690,2.5760e-01
60.251,1.3293985767e-03,9.832732e-03,1.5065932559e+00,0.0690,2.3616e-01
60.847,1.3303651887e-03,9.989834e-03,1.5065932559e+00,0.0690,2.2041e-01
61.444,1.3283563951e-03,1.014911e-02,1.5065932559e+00,0.0690,2.0612e-01
62.041,1.3237710605e-03,1.030854e-02,1.5065932559e+00,0.0690,1.9319e-01
62.637,1.3171775148e-03,1.046739e-02,1.5065932559e+00,0.0690,1.8153e-01
63.234,1.3092008515e-03,1.062593e-02,1.5065932559e+00,0.0690,1.7106e-01
63.830,1.3004513912e-03,1.078505e-02,1.5065932559e+00,0.0690,1.6168e-01
64.427,1.2914902379e-03,1.094571e-02,1.5065932559e+00,0.0690,1.5332e-01
65.023,1.2828082136e-03,1.110843e-02,1.5065932559e+00,0.0690,1.4590e-01
65.620,1.2748042940e-03,1.127294e-02,1.5065932559e+00,0.0690,1.3933e-01
66.216,1.2677662520e-03,1.143804e-02,1.5065932559e+00,0.0690,1.3355e-01
66.813,1.2618641642e-03,1.160571e-02,1.5065932559e+00,0.0690,3.0543e-02
67.409,1.2571638290e-03,1.176742e-02,1.5065932559e+00,0.0690,2.8761e-02
