tag,elements,dg_nodes,subcells,dt,T,seed,errD_end,rhoc_drift_end,Mb_drift_end,vatm_max,fd_fraction_end,ndrop,nback,peak1_kHz,peak2_kHz,peak3_kHz,peak4_kHz,seconds
uni_p5_K10_unseeded,21,126,231,0.20613,10000,0e+00,3.137e-02,1.844e-03,9.029e-08,2.759e-01,0.095,104,104,4.3629,10.3862,12.4469,14.7666,4
uni_p5_K14_unseeded,29,174,319,0.14916,10000,0e+00,1.788e-02,3.630e-04,3.737e-12,2.409e-01,0.069,2,2,2.6756,4.4656,6.0735,7.6068,7
uni_p5_K20_unseeded,41,246,451,0.10546,10000,0e+00,1.076e-02,9.159e-05,-6.274e-12,2.105e-01,0.049,2,2,2.6826,4.5123,6.1949,10.6639,13
uni_p5_K28_unseeded,57,342,627,0.07584,10000,0e+00,6.865e-03,-1.963e-04,2.819e-06,1.985e-01,0.035,156,156,4.5286,6.2649,7.9008,9.4644,22
uni_p5_K10_seeded,21,126,231,0.20609,4000,1e-03,3.129e-02,1.423e-03,8.273e-07,2.629e-01,0.095,108,108,2.6663,4.3886,8.7876,10.3909,2
uni_p5_K14_seeded,29,174,319,0.14914,4000,1e-03,1.834e-02,1.620e-03,4.079e-12,2.576e-01,0.069,2,2,2.6756,4.4656,6.0385,7.6978,3
uni_p5_K20_seeded,41,246,451,0.10545,4000,1e-03,1.163e-02,2.449e-03,-8.987e-12,2.246e-01,0.049,2,2,2.6826,4.5076,6.1552,7.6744,5
uni_p5_K28_seeded,57,342,627,0.07584,4000,1e-03,6.244e-03,-4.799e-04,2.433e-07,1.929e-01,0.035,54,54,2.6849,4.5333,6.2672,7.8961,9
uni_p5_K20_purefv,41,246,451,0.10542,4000,1e-03,2.101e-02,-8.071e-06,-4.679e-12,1.396e-01,1.000,0,0,2.6709,4.4376,6.0268,8.9930,8
I2_seeded,47,182,317,0.08493,4000,1e-03,2.506e-03,-8.110e-03,1.765e-04,2.376e-01,0.043,416,416,6.4492,8.2509,10.0898,10.9440,7
I1_seeded,57,192,327,0.08257,4000,1e-03,4.533e-02,9.425e-04,1.644e-04,9.103e-01,0.035,846,846,3.3057,6.6686,8.9743,10.3046,9
