t,rhoc_rel,errD,Snorm,Mb_rel,vatm,rstar_R
0.00,0.00000000e+00,3.845933e-07,1.227938e-05,0.0000000000e+00,0.0000e+00,0.9938
0.51,-3.33173119e-04,1.957861e-04,1.225999e-05,-2.9642954757e-13,2.0554e-02,1.0250
1.01,-6.62285957e-04,2.672597e-04,1.220171e-05,-4.7395420921e-13,1.7089e-02,1.0312
1.52,-9.90732131e-04,3.653682e-04,1.210497e-05,-6.4293015356e-13,9.5481e-03,1.0312
2.03,-1.30408600e-03,4.718253e-04,1.197052e-05,-6.7945649107e-13,4.7660e-03,1.0312
2.53,-1.61266274e-03,5.806996e-04,1.179939e-05,-6.8001160258e-13,1.0255e-02,1.0312
3.04,-1.90425100e-03,6.896010e-04,1.159291e-05,-6.8045569179e-13,1.7460e-02,1.0312
3.55,-2.18263898e-03,7.973377e-04,1.135269e-05,-6.8212102633e-13,2.4627e-02,1.0312
4.05,-2.44361966e-03,9.031731e-04,1.108059e-05,-6.8300920475e-13,3.1754e-02,1.0312
4.56,-2.68479240e-03,1.006401e-03,1.077880e-05,-6.8378636087e-13,3.8838e-02,1.0312
5.07,-2.90670509e-03,1.106930e-03,1.044974e-05,-6.8489658389e-13,4.5879e-02,1.0312
5.57,-3.10576188e-03,1.204406e-03,1.009612e-05,-6.8556271771e-13,5.2877e-02,1.0312
6.08,-3.28266849e-03,1.298535e-03,9.720959e-06,-6.8600680692e-13,5.9831e-02,1.0312
6.59,-3.43574481e-03,1.389077e-03,9.327535e-06,-6.8745009685e-13,6.6742e-02,1.0312
7.10,-3.56463798e-03,1.475899e-03,8.919464e-06,-6.8756111915e-13,7.3608e-02,1.0312
7.60,-3.66939860e-03,1.558833e-03,8.500696e-06,-6.8900440908e-13,8.0429e-02,1.0312
8.11,-3.74954369e-03,1.637806e-03,8.075555e-06,-6.9011463211e-13,8.7207e-02,1.0312
8.62,-3.80573583e-03,1.712736e-03,7.648786e-06,-6.9078076592e-13,9.3939e-02,1.0312
9.12,-3.83816473e-03,1.783549e-03,7.225612e-06,-7.5905948194e-13,1.0052e-01,1.0250
9.63,-3.84760596e-03,1.850251e-03,6.811795e-06,-7.6083583878e-13,1.0725e-01,1.0250
10.14,-3.83493763e-03,1.912941e-03,6.413692e-06,-7.6127992799e-13,1.1392e-01,1.0250
10.64,-3.80111980e-03,1.971687e-03,6.038267e-06,-7.6250117331e-13,1.2055e-01,1.0250
11.15,-3.74741929e-03,2.026522e-03,5.693051e-06,-7.6350037403e-13,1.2714e-01,1.0250
11.66,-3.67508059e-03,2.077649e-03,5.385961e-06,-8.3044682242e-13,2.0153e-02,1.0188
12.16,-3.58555315e-03,2.125134e-03,5.124933e-06,-8.3311135768e-13,1.7079e-02,1.0188
12.67,-3.48032075e-03,2.169259e-03,4.917283e-06,-8.3544282603e-13,1.6444e-02,1.0188
13.18,-3.36094142e-03,2.210195e-03,4.768848e-06,-8.3777429438e-13,1.4985e-02,1.0188
13.68,-3.22901483e-03,2.248162e-03,4.683072e-06,-8.3899553971e-13,1.8774e-02,1.0188
14.19,-3.08614253e-03,2.283421e-03,4.660280e-06,-8.4054985194e-13,2.6004e-02,1.0188
14.70,-2.93394270e-03,2.316239e-03,4.697469e-06,-8.4143803036e-13,3.2987e-02,1.0188
15.20,-2.77399465e-03,2.346902e-03,4.788724e-06,-8.4232620878e-13,3.9789e-02,1.0188
15.71,-2.60786546e-03,2.375706e-03,4.926127e-06,-8.4365847641e-13,4.7309e-02,1.0188
16.22,-2.43704697e-03,2.402952e-03,5.100812e-06,-8.4365847641e-13,5.4794e-02,1.0188
16.72,-2.26298651e-03,2.428949e-03,5.303901e-06,-8.4587892246e-13,6.2269e-02,1.0188
17.23,-2.08705098e-03,2.454002e-03,5.527134e-06,-8.4698914549e-13,6.9741e-02,1.0188
17.74,-1.91052582e-03,2.478419e-03,5.763218e-06,-8.4565687786e-13,7.7281e-02,1.0188
18.24,-1.73461781e-03,2.502496e-03,6.005935e-06,-8.4765527930e-13,8.4727e-02,1.0188
18.75,-1.56041828e-03,2.525835e-03,6.250122e-06,-8.4809936851e-13,9.1926e-02,1.0188
