t,rhoc_rel,errD,Snorm,Mb_rel,vatm,rstar_R
0.00,0.00000000e+00,0.000000e+00,0.000000e+00,0.0000000000e+00,0.0000e+00,0.9938
0.51,8.49765058e-08,1.578593e-04,1.016509e-08,-2.8876900871e-13,1.9833e-02,1.0250
1.01,1.42039783e-06,1.328164e-04,1.580332e-08,-4.7850612361e-13,1.7331e-02,1.0312
1.52,-2.18207312e-06,1.133908e-04,1.853578e-08,-6.4559468882e-13,8.7541e-03,1.0312
2.03,1.20874453e-06,9.746834e-05,1.904991e-08,-6.8178795942e-13,3.4507e-03,1.0312
2.53,-1.29040029e-06,8.436292e-05,1.818754e-08,-6.8223204863e-13,1.0217e-02,1.0312
3.04,1.99796295e-07,7.370951e-05,1.662837e-08,-6.8312022705e-13,1.7422e-02,1.0312
3.55,-2.71134709e-07,6.545635e-05,1.520220e-08,-6.8434147238e-13,2.4589e-02,1.0312
4.05,-5.46369719e-07,5.921029e-05,1.459906e-08,-6.8556271771e-13,3.1716e-02,1.0312
4.56,7.23536715e-08,5.459106e-05,1.498880e-08,-6.8656191843e-13,3.8876e-02,1.0312
5.07,-5.59474774e-07,5.178308e-05,1.598043e-08,-6.8689498534e-13,4.6003e-02,1.0312
5.57,-1.12665288e-07,4.903874e-05,1.689904e-08,-6.8700600764e-13,5.3083e-02,1.0312
6.08,-3.21507407e-07,4.842118e-05,1.728316e-08,-6.8878236448e-13,6.0115e-02,1.0312
6.59,-3.14351728e-07,5.030371e-05,1.737697e-08,-6.8944849829e-13,6.7100e-02,1.0312
7.10,-2.08501937e-07,5.313625e-05,1.700531e-08,-6.8978156520e-13,7.4038e-02,1.0312
7.60,-3.50929989e-07,5.652563e-05,1.658269e-08,-6.9144689974e-13,8.0927e-02,1.0312
8.11,-2.36716303e-07,6.012499e-05,1.653627e-08,-6.9255712276e-13,8.7769e-02,1.0312
8.62,-3.05148620e-07,6.373216e-05,1.739763e-08,-6.9322325658e-13,9.4562e-02,1.0312
9.12,-2.87261726e-07,6.695300e-05,1.920323e-08,-7.5961459345e-13,1.0131e-01,1.0250
9.63,-2.77038778e-07,6.956013e-05,1.960682e-08,-7.6172401720e-13,1.0802e-01,1.0250
10.14,-3.00217481e-07,7.121939e-05,2.007957e-08,-7.6161299489e-13,1.1475e-01,1.0250
10.64,-2.74492895e-07,7.226086e-05,2.096814e-08,-7.6294526252e-13,1.2188e-01,1.0250
11.15,-2.87866833e-07,7.249671e-05,2.214303e-08,-7.6427753015e-13,1.2790e-01,1.0250
11.66,-2.78289487e-07,7.242982e-05,2.334500e-08,-8.3044682242e-13,1.3431e-01,1.0188
