t,rhoc_rel,errD,Snorm,Mb_rel,vatm,rstar_R
0.00,0.00000000e+00,3.845307e-07,1.214176e-05,0.0000000000e+00,0.0000e+00,0.9687
0.57,-3.79606236e-04,1.656984e-03,1.212031e-05,-4.4864112425e-13,5.2049e-02,1.1250
1.14,-7.41336078e-04,1.516836e-03,1.205022e-05,-1.1465273175e-12,4.7226e-02,1.1563
1.72,-1.10057427e-03,1.411993e-03,1.193113e-05,-1.8214318942e-12,4.6086e-02,1.1875
2.29,-1.48207888e-03,1.340389e-03,1.176504e-05,-2.0639046028e-12,4.1763e-02,1.1875
2.86,-1.84399144e-03,1.297963e-03,1.155436e-05,-2.6291191446e-12,3.3223e-02,1.1875
3.43,-2.14257772e-03,1.281508e-03,1.130052e-05,-3.4907632340e-12,2.4217e-02,1.1875
4.00,-2.39263091e-03,1.287773e-03,1.100481e-05,-4.4221293294e-12,1.8344e-02,1.1875
4.58,-2.64341685e-03,1.312961e-03,1.067007e-05,-5.0844883859e-12,1.6206e-02,1.1875
5.15,-2.91611285e-03,1.353783e-03,1.030085e-05,-5.2329252043e-12,7.2043e-03,1.1875
5.72,-3.17960178e-03,1.406339e-03,9.902031e-06,-5.2333692935e-12,1.0489e-02,1.1875
6.29,-3.38666358e-03,1.467413e-03,9.478053e-06,-5.2332582712e-12,1.5748e-02,1.1875
6.86,-3.52428186e-03,1.534187e-03,9.033416e-06,-5.2335913381e-12,2.2864e-02,1.1875
7.43,-3.62174409e-03,1.604142e-03,8.573531e-06,-5.2342574719e-12,2.9912e-02,1.1875
8.01,-3.71295481e-03,1.675139e-03,8.104830e-06,-5.2342574719e-12,3.6926e-02,1.1875
8.58,-3.80013040e-03,1.745547e-03,7.634262e-06,-5.2345905388e-12,4.3919e-02,1.1875
9.15,-3.85753031e-03,1.808667e-03,7.168910e-06,-5.2347015611e-12,5.0897e-02,1.1875
9.72,-3.86462983e-03,1.870578e-03,6.716882e-06,-5.2347015611e-12,5.7865e-02,1.1875
10.29,-3.82782759e-03,1.933435e-03,6.287249e-06,-5.2354787172e-12,6.4731e-02,1.1875
10.87,-3.76935741e-03,1.994330e-03,5.889767e-06,-5.2359228064e-12,7.1523e-02,1.1875
11.44,-3.70186415e-03,2.051097e-03,5.534779e-06,-5.2361448510e-12,7.8221e-02,1.1875
12.01,-3.61897503e-03,2.105645e-03,5.232587e-06,-5.2358117841e-12,8.4901e-02,1.1875
12.58,-3.50862976e-03,2.157085e-03,4.992815e-06,-5.2365889402e-12,9.2209e-02,1.1875
13.15,-3.36979437e-03,2.205538e-03,4.823160e-06,-5.2364779179e-12,9.9633e-02,1.1875
13.73,-3.21331743e-03,2.251121e-03,4.727810e-06,-5.2360338287e-12,1.0714e-01,1.1875
14.30,-3.04934430e-03,2.293946e-03,4.706272e-06,-5.2373660964e-12,1.1459e-01,1.1875
14.87,-2.87851284e-03,2.334155e-03,4.753376e-06,-5.2370330295e-12,1.2235e-01,1.1875
15.44,-2.69628869e-03,2.371947e-03,4.860321e-06,-5.2378101856e-12,1.2953e-01,1.1875
