t,rhoc_rel,errD,Snorm,Mb_rel,vatm,rstar_R
0.00,0.00000000e+00,3.845954e-07,1.245356e-05,0.0000000000e+00,0.0000e+00,0.9938
0.51,-3.33261564e-04,1.164558e-04,1.243389e-05,-9.7699626167e-15,3.6749e-03,1.0125
1.01,-6.63657781e-04,2.325759e-04,1.237477e-05,-1.0880185641e-14,8.5081e-03,1.0125
1.52,-9.88513955e-04,3.479611e-04,1.227666e-05,-1.1768364061e-14,1.3881e-02,1.0125
2.03,-1.30524865e-03,4.622541e-04,1.214030e-05,-1.2434497876e-14,1.7865e-02,1.0125
2.53,-1.61132951e-03,5.751082e-04,1.196674e-05,-1.3100631691e-14,2.0629e-02,1.0125
3.04,-1.90441512e-03,6.861813e-04,1.175734e-05,-1.4432899320e-14,2.2794e-02,1.0125
3.55,-2.18231755e-03,7.951384e-04,1.151370e-05,-1.6098233857e-14,1.3531e-02,1.0125
4.05,-2.44304209e-03,9.016692e-04,1.123774e-05,-1.6098233857e-14,1.2530e-02,1.0125
4.56,-2.68482179e-03,1.005497e-03,1.093166e-05,-1.6209256160e-14,1.3356e-02,1.0125
5.07,-2.90611036e-03,1.106349e-03,1.059791e-05,-1.8984813721e-14,1.4662e-02,1.0125
5.57,-3.10561921e-03,1.203994e-03,1.023926e-05,-1.8540724511e-14,1.6432e-02,1.0125
6.08,-3.28231047e-03,1.298216e-03,9.858753e-06,-1.9761969838e-14,1.8339e-02,1.0125
6.59,-3.43540838e-03,1.388829e-03,9.459721e-06,-2.1094237468e-14,2.0599e-02,1.0125
7.10,-3.56439979e-03,1.475674e-03,9.045828e-06,-2.3314683517e-14,2.2749e-02,1.0125
7.60,-3.66902763e-03,1.558622e-03,8.621079e-06,-2.5091040357e-14,2.4705e-02,1.0125
8.11,-3.74928597e-03,1.637576e-03,8.189857e-06,-2.7533531011e-14,2.6405e-02,1.0125
8.62,-3.80540870e-03,1.712472e-03,7.756978e-06,-3.1974423109e-14,2.7441e-02,1.0125
9.12,-3.83785806e-03,1.783279e-03,7.327739e-06,-3.8524738954e-14,2.7628e-02,1.0125
