t,rhoc_rel,errD,Snorm,Mb_rel,vatm,rstar_R
0.00,0.00000000e+00,0.000000e+00,0.000000e+00,0.0000000000e+00,0.0000e+00,0.9938
0.51,8.49765058e-08,1.302456e-07,5.159542e-10,-2.3314683517e-15,0.0000e+00,0.9938
1.01,1.42039783e-06,3.150771e-07,6.294458e-10,-1.7763568394e-15,0.0000e+00,0.9938
1.52,-2.18207312e-06,4.207407e-07,6.688327e-10,-2.5535129566e-15,0.0000e+00,0.9938
2.03,1.20874453e-06,4.461722e-07,6.632853e-10,-4.8849813084e-15,0.0000e+00,0.9938
2.53,-1.29040029e-06,4.406268e-07,6.658691e-10,-4.5519144010e-15,0.0000e+00,0.9938
3.04,1.99796295e-07,4.369414e-07,6.698151e-10,-5.1070259133e-15,0.0000e+00,0.9938
3.55,-2.71134709e-07,4.499570e-07,6.793397e-10,-6.4392935428e-15,0.0000e+00,0.9938
4.05,-5.46369719e-07,4.791884e-07,6.944155e-10,-7.9936057773e-15,0.0000e+00,0.9938
4.56,7.23536715e-08,5.206263e-07,7.140484e-10,-8.6597395921e-15,0.0000e+00,0.9938
5.07,-5.59474774e-07,5.709717e-07,7.352789e-10,-9.7699626167e-15,0.0000e+00,0.9938
5.57,-1.12665288e-07,6.278016e-07,7.564069e-10,-9.8809849192e-15,0.0000e+00,0.9938
6.08,-3.21507407e-07,6.893423e-07,7.768640e-10,-1.1213252549e-14,0.0000e+00,0.9938
6.59,-3.14351728e-07,7.543546e-07,7.981954e-10,-1.2101430968e-14,0.0000e+00,0.9938
7.10,-2.08501937e-07,8.214422e-07,8.224387e-10,-1.2545520178e-14,0.0000e+00,0.9938
7.60,-3.50929989e-07,8.886192e-07,8.487438e-10,-1.3877787808e-14,0.0000e+00,0.9938
8.11,-2.36716303e-07,9.541949e-07,8.740965e-10,-1.4876988530e-14,0.0000e+00,0.9938
8.62,-3.05148620e-07,1.018142e-06,8.979781e-10,-1.5210055437e-14,0.0000e+00,0.9938
9.12,-2.87261726e-07,1.081591e-06,9.229234e-10,-1.5876189252e-14,0.0000e+00,0.9938
9.63,-2.77038778e-07,1.145000e-06,9.490729e-10,-1.7208456882e-14,0.0000e+00,0.9938
10.14,-3.00217481e-07,1.208042e-06,9.737921e-10,-1.7985612999e-14,0.0000e+00,0.9938
10.64,-2.74492893e-07,1.270846e-06,9.977788e-10,-1.8873791419e-14,0.0000e+00,0.9938
11.15,-2.87866832e-07,1.333657e-06,1.023172e-09,-1.9872992141e-14,0.0000e+00,0.9938
11.66,-2.78289487e-07,1.395992e-06,1.048206e-09,-1.9872992141e-14,0.0000e+00,0.9938
12.16,-2.76903593e-07,1.457380e-06,1.072042e-09,-2.1871393585e-14,0.0000e+00,0.9938
12.67,-2.76122015e-07,1.517744e-06,1.095921e-09,-2.2426505097e-14,0.0000e+00,0.9938
13.18,-2.72461841e-07,1.576954e-06,1.118938e-09,-2.3314683517e-14,0.0000e+00,0.9938
13.68,-2.72305850e-07,1.635053e-06,1.141228e-09,-2.4202861937e-14,0.0000e+00,0.9938
14.19,-2.68298079e-07,1.692196e-06,1.163184e-09,-2.5313084961e-14,0.0000e+00,0.9938
14.70,-2.67512739e-07,1.748426e-06,1.184417e-09,-2.6201263381e-14,0.0000e+00,0.9938
15.20,-2.62028476e-07,1.803773e-06,1.205521e-09,-2.7755575616e-14,0.0000e+00,0.9938
15.71,-2.63356302e-07,1.858171e-06,1.226437e-09,-2.8310687128e-14,0.0000e+00,0.9938
16.22,-2.60805701e-07,1.911517e-06,1.247352e-09,-2.8421709430e-14,0.0000e+00,0.9938
16.72,-2.58782904e-07,1.963707e-06,1.268264e-09,-2.9087843245e-14,0.0000e+00,0.9938
17.23,-2.61832318e-07,2.014687e-06,1.289168e-09,-3.1308289294e-14,0.0000e+00,0.9938
17.74,-2.57700298e-07,2.064487e-06,1.310011e-09,-3.1974423109e-14,0.0000e+00,0.9938
18.24,-2.57213196e-07,2.113215e-06,1.330885e-09,-3.2862601529e-14,0.0000e+00,0.9938
