t,rhoc_rel,errD,Snorm,Mb_rel,vatm,rstar_R
0.00,0.00000000e+00,0.000000e+00,0.000000e+00,0.0000000000e+00,0.0000e+00,0.9687
0.57,-3.70347200e-06,6.253848e-03,1.631035e-06,-1.1537437672e-12,5.6642e-02,1.2500
1.14,6.59171233e-06,5.396561e-03,2.518648e-06,-1.6532331060e-12,4.5991e-02,1.2500
1.72,1.11734877e-05,4.655828e-03,2.712620e-06,-1.9604318169e-12,4.2582e-02,1.2500
2.29,-1.84856686e-05,4.016400e-03,2.628664e-06,-2.5246471580e-12,3.9040e-02,1.2500
2.86,-4.30243181e-05,3.475363e-03,2.508555e-06,-3.2674973838e-12,3.3215e-02,1.2500
3.43,-2.17207097e-05,2.946290e-03,2.264173e-06,-4.0719649874e-12,3.1709e-02,1.2500
4.00,2.65620193e-05,2.549830e-03,2.067643e-06,-4.8135939679e-12,2.5793e-02,1.2500
4.58,4.89921136e-05,2.271244e-03,2.004900e-06,-5.3993476357e-12,1.9729e-02,1.2500
5.15,2.26477669e-05,2.090213e-03,2.048800e-06,-5.8130167346e-12,2.2740e-02,1.2500
5.72,-2.18759370e-05,1.994706e-03,2.159339e-06,-6.0633720267e-12,3.0058e-02,1.2500
6.29,-3.82428135e-05,1.953670e-03,2.327008e-06,-6.0073057639e-12,3.7313e-02,1.2500
6.86,-1.52272813e-05,1.944259e-03,2.538957e-06,-5.4595217236e-12,4.4356e-02,1.2500
7.44,1.62599035e-05,1.911775e-03,2.750963e-06,-4.3955949991e-12,5.2059e-02,1.2500
8.01,2.21301809e-05,1.890901e-03,2.923499e-06,-2.8287372444e-12,6.1838e-02,1.2500
8.58,1.35544428e-06,1.859609e-03,3.012348e-06,-7.8648199064e-13,7.6085e-02,1.2500
9.15,-1.89868645e-05,1.809130e-03,3.004200e-06,1.6979750939e-12,7.7095e-02,1.2500
9.72,-1.77305675e-05,1.744600e-03,2.916111e-06,4.5810022442e-12,8.0160e-02,1.2500
