t,rhoc_rel,errD,Snorm,Mb_rel,vatm,rstar_R
0.00,0.00000000e+00,3.847262e-07,1.247079e-05,0.0000000000e+00,0.0000e+00,0.9687
0.57,-3.75850523e-04,1.325130e-04,1.244489e-05,-7.7715611724e-16,2.0213e-03,1.0625
1.14,-7.47846107e-04,2.640206e-04,1.236930e-05,-8.8817841970e-16,6.1548e-03,1.0625
1.72,-1.11184194e-03,3.939610e-04,1.224429e-05,-9.9920072216e-16,1.1258e-02,1.0625
2.29,-1.46370633e-03,5.219455e-04,1.207119e-05,-1.6653345369e-15,1.6013e-02,1.0625
2.86,-1.80053722e-03,6.478181e-04,1.185157e-05,-1.6653345369e-15,2.1630e-02,1.0625
3.43,-2.11954198e-03,7.710868e-04,1.158750e-05,-1.6653345369e-15,2.7007e-02,1.0625
4.00,-2.41736164e-03,8.916095e-04,1.128139e-05,-2.1094237468e-15,3.2834e-02,1.0625
4.58,-2.69083986e-03,1.008958e-03,1.093631e-05,-3.1086244690e-15,3.8085e-02,1.0625
5.15,-2.93786988e-03,1.122635e-03,1.055583e-05,-3.1086244690e-15,4.2537e-02,1.0625
5.72,-3.15721823e-03,1.232354e-03,1.014400e-05,-3.2196467714e-15,4.3086e-02,1.0625
6.29,-3.34775598e-03,1.337733e-03,9.705337e-06,-3.4416913763e-15,3.9971e-02,1.0625
6.86,-3.50814116e-03,1.439265e-03,9.244724e-06,-3.6637359813e-15,3.8658e-02,1.0625
7.43,-3.63726298e-03,1.533504e-03,8.767918e-06,-4.3298697960e-15,3.4617e-02,1.0625
8.01,-3.73483575e-03,1.622371e-03,8.281027e-06,-4.8849813084e-15,2.8706e-02,1.0625
8.58,-3.80146493e-03,1.705880e-03,7.790729e-06,-5.3290705182e-15,2.4961e-02,1.0625
9.15,-3.83817920e-03,1.785676e-03,7.304126e-06,-5.7731597281e-15,2.5585e-02,1.0625
9.72,-3.84597795e-03,1.858769e-03,6.829730e-06,-6.3282712404e-15,2.9182e-02,1.0625
10.29,-3.82582855e-03,1.926589e-03,6.377072e-06,-7.6605388699e-15,3.2642e-02,1.0625
10.87,-3.77901047e-03,1.989246e-03,5.956638e-06,-9.5479180118e-15,3.5439e-02,1.0625
11.44,-3.70735082e-03,2.046873e-03,5.579844e-06,-1.2434497876e-14,3.7843e-02,1.0625
12.01,-3.61308036e-03,2.099632e-03,5.258573e-06,-1.5876189252e-14,4.0049e-02,1.0625
12.58,-3.49847589e-03,2.147722e-03,5.004227e-06,-2.1205259770e-14,4.2093e-02,1.0625
13.15,-3.36565575e-03,2.191378e-03,4.826244e-06,-2.8310687128e-14,4.3771e-02,1.0625
13.73,-3.21668347e-03,2.230869e-03,4.730327e-06,-3.8635761257e-14,4.4731e-02,1.0625
14.30,-3.05377692e-03,2.266500e-03,4.717004e-06,-5.1625370645e-14,4.4972e-02,1.0625
14.87,-2.87935505e-03,2.298607e-03,4.781222e-06,-6.9833028249e-14,4.4416e-02,1.0625
15.44,-2.69586010e-03,2.327558e-03,4.913226e-06,-9.3591800976e-14,4.4917e-02,1.0625
16.01,-2.50553342e-03,2.353750e-03,5.100467e-06,-1.2490009027e-13,4.6954e-02,1.0625
16.59,-2.31035990e-03,2.377525e-03,5.329572e-06,-1.6830981053e-13,4.7163e-02,1.0625
17.16,-2.11220079e-03,2.399324e-03,5.587831e-06,-2.2526425170e-13,4.7615e-02,1.0625
17.73,-1.91293853e-03,2.419525e-03,5.863992e-06,-3.0275781882e-13,4.8199e-02,1.0625
18.30,-1.71445184e-03,2.438526e-03,6.148601e-06,-4.0289993564e-13,4.9315e-02,1.0625
18.87,-1.51844385e-03,2.456570e-03,6.433966e-06,-5.2702286979e-13,5.0628e-02,1.0625
19.44,-1.32632211e-03,2.473843e-03,6.713955e-06,-6.7701400042e-13,5.1897e-02,1.0625
20.02,-1.13924350e-03,2.490522e-03,6.983755e-06,-8.5698115271e-13,5.3007e-02,1.0625
20.59,-9.58224314e-04,2.506765e-03,7.239685e-06,-1.0714762411e-12,5.3954e-02,1.0625
21.16,-7.84174265e-04,2.522680e-03,7.479003e-06,-1.3264944698e-12,5.4772e-02,1.0625
21.73,-6.17856735e-04,2.538307e-03,7.699776e-06,-1.6276979764e-12,5.5521e-02,1.0625
22.30,-4.59878632e-04,2.553608e-03,7.900759e-06,-1.9821921882e-12,5.6265e-02,1.0625
22.88,-3.10751166e-04,2.568467e-03,8.081248e-06,-2.3954171979e-12,5.7030e-02,1.0625
23.45,-1.70946861e-04,2.582702e-03,8.240999e-06,-2.8747004777e-12,5.7858e-02,1.0625
24.02,-4.08666670e-05,2.596107e-03,8.380146e-06,-3.4248159864e-12,5.8780e-02,1.0625
24.59,7.92610805e-05,2.608433e-03,8.499234e-06,-3.9382941353e-12,5.9817e-02,1.0625
25.16,1.89439993e-04,2.619381e-03,8.599122e-06,-4.5156101081e-12,6.0993e-02,1.0625
25.74,2.89857835e-04,2.628604e-03,8.680918e-06,-5.1555426595e-12,6.2312e-02,1.0625
26.31,3.80775775e-04,2.635687e-03,8.745967e-06,-5.7411853049e-12,6.3740e-02,1.0625
26.88,4.62444435e-04,2.640208e-03,8.795813e-06,-5.8699711758e-12,6.5270e-02,1.0625
27.45,5.35094364e-04,2.641741e-03,8.832132e-06,-6.0079718978e-12,6.6891e-02,1.0625
28.02,5.98983377e-04,2.639877e-03,8.856604e-06,-6.1544103147e-12,6.8592e-02,1.0625
28.60,6.54459117e-04,2.634222e-03,8.870886e-06,-6.2794214273e-12,7.0357e-02,1.0625
29.17,7.01896505e-04,2.624410e-03,8.876616e-06,-6.4074301420e-12,7.2167e-02,1.0625
29.74,7.41741919e-04,2.610087e-03,8.875380e-06,-6.5192296006e-12,7.3997e-02,1.0625
30.31,7.74454544e-04,2.590916e-03,8.868593e-06,-6.6494587614e-12,7.5812e-02,1.0625
30.88,8.00353648e-04,2.566577e-03,8.857468e-06,-6.7836847251e-12,7.7590e-02,1.0625
31.45,8.19770360e-04,2.536791e-03,8.843031e-06,-6.9212413578e-12,7.9325e-02,1.0625
32.03,8.33281719e-04,2.501331e-03,8.826185e-06,-7.0620176373e-12,8.1027e-02,1.0625
32.60,8.41744412e-04,2.460041e-03,8.807638e-06,-7.2023498277e-12,8.2714e-02,1.0625
33.17,8.46049690e-04,2.412857e-03,8.787830e-06,-7.3751005303e-12,8.4415e-02,1.0625
33.74,8.46755301e-04,2.359819e-03,8.766897e-06,-7.5489614559e-12,8.6166e-02,1.0625
34.31,8.43862545e-04,2.301082e-03,8.744714e-06,-7.7178263780e-12,8.8013e-02,1.0625
34.89,8.36896800e-04,2.237040e-03,8.720947e-06,-7.8763662259e-12,9.0111e-02,1.0625
35.46,8.25280677e-04,2.168274e-03,8.695082e-06,-8.1408213504e-12,9.2648e-02,1.0625
36.03,8.08827942e-04,2.095313e-03,8.666448e-06,-8.7607698873e-12,9.5631e-02,1.0625
36.60,7.88111253e-04,2.016971e-03,8.634241e-06,-9.2730267909e-12,9.7159e-02,1.0625
37.17,7.64539331e-04,1.934647e-03,8.597594e-06,-9.8084873557e-12,9.7893e-02,1.0625
