t,rhoc_rel,errD,Snorm,Mb_rel,vatm,rstar_R
0.00,0.00000000e+00,0.000000e+00,0.000000e+00,0.0000000000e+00,0.0000e+00,0.9687
0.57,4.44089210e-16,2.705980e-16,2.967932e-18,0.0000000000e+00,0.0000e+00,0.9687
1.14,4.44089210e-16,6.798614e-16,3.951497e-18,-1.1102230246e-16,0.0000e+00,0.9687
1.72,4.44089210e-16,9.690634e-16,4.024371e-18,-4.4408920985e-16,0.0000e+00,0.9687
2.29,4.44089210e-16,1.174189e-15,4.213373e-18,-4.4408920985e-16,0.0000e+00,0.9687
2.86,4.44089210e-16,1.506139e-15,4.860390e-18,-7.7715611724e-16,0.0000e+00,0.9687
3.43,4.44089210e-16,1.821813e-15,4.988572e-18,-7.7715611724e-16,0.0000e+00,0.9687
4.00,4.44089210e-16,2.180926e-15,4.474405e-18,-1.2212453271e-15,0.0000e+00,0.9687
4.58,2.22044605e-16,2.440705e-15,4.771082e-18,-1.2212453271e-15,0.0000e+00,0.9687
5.15,4.44089210e-16,2.675928e-15,5.020664e-18,-1.3322676296e-15,0.0000e+00,0.9687
5.72,1.55431223e-15,2.841567e-15,3.713092e-18,-1.6653345369e-15,0.0000e+00,0.9687
6.29,3.10862447e-15,2.886823e-15,3.225444e-18,-1.6653345369e-15,0.0000e+00,0.9687
6.86,2.44249065e-15,2.948858e-15,3.726293e-18,-1.6653345369e-15,0.0000e+00,0.9687
7.44,-1.99840144e-15,3.037701e-15,4.740852e-18,-1.6653345369e-15,0.0000e+00,0.9687
8.01,-6.66133815e-15,3.164225e-15,5.853432e-18,-1.7763568394e-15,0.0000e+00,0.9687
8.58,-9.99200722e-15,3.316810e-15,6.490742e-18,-1.7763568394e-15,0.0000e+00,0.9687
9.15,-8.99280650e-15,3.456022e-15,6.114568e-18,-1.7763568394e-15,0.0000e+00,0.9687
9.72,-6.10622664e-15,3.625664e-15,6.095655e-18,-2.1094237468e-15,0.0000e+00,0.9687
10.30,-4.77395901e-15,3.827323e-15,5.994244e-18,-2.3314683517e-15,0.0000e+00,0.9687
10.87,-5.44009282e-15,4.022681e-15,5.502842e-18,-2.5535129566e-15,0.0000e+00,0.9687
11.44,-5.88418203e-15,4.237460e-15,4.914079e-18,-2.9976021665e-15,0.0000e+00,0.9687
12.01,-3.55271368e-15,4.309474e-15,4.830600e-18,-2.9976021665e-15,0.0000e+00,0.9687
12.58,2.22044605e-16,4.364238e-15,5.126162e-18,-2.9976021665e-15,0.0000e+00,0.9687
13.16,1.55431223e-15,4.450626e-15,5.973700e-18,-2.9976021665e-15,0.0000e+00,0.9687
13.73,4.44089210e-16,4.639824e-15,6.615884e-18,-3.2196467714e-15,0.0000e+00,0.9687
14.30,-3.55271368e-15,4.826542e-15,7.327437e-18,-3.2196467714e-15,0.0000e+00,0.9687
14.87,-9.32587341e-15,4.960604e-15,7.693105e-18,-3.4416913763e-15,0.0000e+00,0.9687
15.44,-1.38777878e-14,5.138116e-15,7.355212e-18,-3.6637359813e-15,0.0000e+00,0.9687
16.02,-1.26565425e-14,5.336958e-15,7.376649e-18,-3.6637359813e-15,0.0000e+00,0.9687
16.59,-8.65973959e-15,5.491411e-15,7.387153e-18,-3.9968028887e-15,0.0000e+00,0.9687
17.16,-4.77395901e-15,5.622989e-15,7.327420e-18,-3.9968028887e-15,0.0000e+00,0.9687
17.73,-4.21884749e-15,5.738287e-15,7.697419e-18,-4.1078251911e-15,0.0000e+00,0.9687
18.30,-5.55111512e-15,5.905975e-15,7.766387e-18,-4.4408920985e-15,0.0000e+00,0.9687
18.88,-5.77315973e-15,6.263046e-15,8.066374e-18,-4.4408920985e-15,0.0000e+00,0.9687
19.45,-5.88418203e-15,6.491814e-15,8.159449e-18,-4.5519144010e-15,0.0000e+00,0.9687
20.02,-5.88418203e-15,6.781077e-15,7.952579e-18,-4.9960036108e-15,0.0000e+00,0.9687
20.59,-5.88418203e-15,7.106174e-15,7.973670e-18,-5.5511151231e-15,0.0000e+00,0.9687
21.16,-5.88418203e-15,7.380095e-15,7.776516e-18,-5.5511151231e-15,0.0000e+00,0.9687
21.74,-6.77236045e-15,7.649972e-15,7.767082e-18,-5.8841820305e-15,0.0000e+00,0.9687
22.31,-7.43849426e-15,7.907820e-15,8.127960e-18,-5.9952043330e-15,0.0000e+00,0.9687
22.88,-6.21724894e-15,8.067287e-15,8.257179e-18,-6.3282712404e-15,0.0000e+00,0.9687
23.45,-6.77236045e-15,8.224409e-15,8.334513e-18,-6.3282712404e-15,0.0000e+00,0.9687
24.02,-1.15463195e-14,8.427951e-15,8.508045e-18,-6.4392935428e-15,0.0000e+00,0.9687
24.60,-2.09832152e-14,8.584642e-15,8.344876e-18,-7.1054273576e-15,0.0000e+00,0.9687
25.17,-2.83106871e-14,8.711863e-15,7.817321e-18,-7.1054273576e-15,0.0000e+00,0.9687
25.74,-2.76445533e-14,8.862697e-15,7.602523e-18,-7.2164496601e-15,0.0000e+00,0.9687
26.31,-2.06501483e-14,9.006557e-15,7.750786e-18,-7.2164496601e-15,0.0000e+00,0.9687
26.88,-1.23234756e-14,9.138463e-15,8.032865e-18,-7.5495165675e-15,0.0000e+00,0.9687
27.46,-8.65973959e-15,9.376277e-15,8.618907e-18,-7.3274719625e-15,0.0000e+00,0.9687
28.03,-1.09912079e-14,9.550121e-15,9.092757e-18,-7.6605388699e-15,0.0000e+00,0.9687
28.60,-1.62092562e-14,9.785431e-15,9.028138e-18,-7.7715611724e-15,0.0000e+00,0.9687
29.17,-1.96509475e-14,9.985985e-15,8.664297e-18,-8.1046280798e-15,0.0000e+00,0.9687
29.74,-1.93178806e-14,1.019640e-14,8.621093e-18,-8.1046280798e-15,0.0000e+00,0.9687
30.32,-1.69864123e-14,1.039529e-14,8.973239e-18,-8.4376949872e-15,0.0000e+00,0.9687
30.89,-1.54321000e-14,1.063219e-14,9.108666e-18,-8.4376949872e-15,0.0000e+00,0.9687
31.46,-1.60982339e-14,1.080719e-14,8.768091e-18,-8.5487172896e-15,0.0000e+00,0.9687
32.03,-1.67643677e-14,1.095428e-14,8.263291e-18,-8.4376949872e-15,0.0000e+00,0.9687
32.60,-1.29896094e-14,1.117055e-14,8.237481e-18,-8.6597395921e-15,0.0000e+00,0.9687
33.17,-9.65894031e-15,1.142664e-14,8.735934e-18,-8.6597395921e-15,0.0000e+00,0.9687
33.75,-8.65973959e-15,1.174221e-14,9.099101e-18,-8.9928064995e-15,0.0000e+00,0.9687
34.32,-1.28785871e-14,1.211662e-14,9.232954e-18,-8.9928064995e-15,0.0000e+00,0.9687
34.89,-1.84297022e-14,1.243256e-14,8.924038e-18,-9.3258734069e-15,0.0000e+00,0.9687
35.46,-2.12052598e-14,1.256413e-14,8.576429e-18,-9.3258734069e-15,0.0000e+00,0.9687
