t,rhoc_rel,errD,Snorm,Mb_rel,vatm,rstar_R
0.00,0.00000000e+00,3.847262e-07,1.247079e-05,0.0000000000e+00,0.0000e+00,0.9687
0.57,-3.79606236e-04,1.335819e-04,1.244702e-05,-1.1102230246e-16,0.0000e+00,0.9687
1.14,-7.41336078e-04,2.679435e-04,1.237278e-05,-5.5511151231e-16,0.0000e+00,0.9687
1.72,-1.10057427e-03,4.013718e-04,1.224786e-05,-5.5511151231e-16,0.0000e+00,0.9687
2.29,-1.48207888e-03,5.322132e-04,1.207465e-05,-9.9920072216e-16,0.0000e+00,0.9687
2.86,-1.84399144e-03,6.598692e-04,1.185591e-05,-2.1094237468e-15,0.0000e+00,0.9687
3.43,-2.14257772e-03,7.842344e-04,1.159329e-05,-1.8873791419e-15,0.0000e+00,0.9687
4.00,-2.39263091e-03,9.051324e-04,1.128810e-05,-2.9976021665e-15,0.0000e+00,0.9687
4.58,-2.64341685e-03,1.022300e-03,1.094309e-05,-3.2196467714e-15,0.0000e+00,0.9687
5.15,-2.91611285e-03,1.135596e-03,1.056262e-05,-3.6637359813e-15,0.0000e+00,0.9687
5.72,-3.17960178e-03,1.245063e-03,1.015143e-05,-3.9968028887e-15,0.0000e+00,0.9687
6.29,-3.38666358e-03,1.350759e-03,9.713783e-06,-5.1070259133e-15,0.0000e+00,0.9687
6.86,-3.52428186e-03,1.452530e-03,9.254075e-06,-5.3290705182e-15,0.0000e+00,0.9687
7.43,-3.62174409e-03,1.549985e-03,8.777678e-06,-5.8841820305e-15,0.0000e+00,0.9687
8.01,-3.71295481e-03,1.642668e-03,8.291048e-06,-6.8833827527e-15,0.0000e+00,0.9687
8.58,-3.80013040e-03,1.730285e-03,7.801223e-06,-7.3274719625e-15,0.0000e+00,0.9687
9.15,-3.85753031e-03,1.812797e-03,7.315602e-06,-8.2156503822e-15,0.0000e+00,0.9687
9.72,-3.86462983e-03,1.890344e-03,6.842325e-06,-9.8809849192e-15,0.0000e+00,0.9687
10.29,-3.82782759e-03,1.963097e-03,6.390741e-06,-1.0769163339e-14,0.0000e+00,0.9687
10.87,-3.76935741e-03,2.031198e-03,5.971396e-06,-1.1324274851e-14,0.0000e+00,0.9687
11.44,-3.70186415e-03,2.094800e-03,5.595631e-06,-1.2434497876e-14,0.0000e+00,0.9687
12.01,-3.61897503e-03,2.154143e-03,5.275110e-06,-1.3877787808e-14,0.0000e+00,0.9687
12.58,-3.50862976e-03,2.209553e-03,5.021125e-06,-1.5210055437e-14,0.0000e+00,0.9687
13.15,-3.36979437e-03,2.261381e-03,4.843184e-06,-1.6542323067e-14,0.0000e+00,0.9687
13.73,-3.21331743e-03,2.309956e-03,4.747025e-06,-1.7430501487e-14,0.0000e+00,0.9687
14.30,-3.04934430e-03,2.355605e-03,4.733057e-06,-1.9206858326e-14,0.0000e+00,0.9687
14.87,-2.87851284e-03,2.398692e-03,4.796184e-06,-2.0539125956e-14,0.0000e+00,0.9687
15.44,-2.69628868e-03,2.439617e-03,4.926959e-06,-2.2093438190e-14,0.0000e+00,0.9687
16.01,-2.50273560e-03,2.478777e-03,5.113270e-06,-2.3980817332e-14,0.0000e+00,0.9687
16.59,-2.30473970e-03,2.516518e-03,5.342024e-06,-2.6201263381e-14,0.0000e+00,0.9687
