t,rhoc_rel,errD,Snorm,Mb_rel,vatm,rstar_R
0.00,0.00000000e+00,0.000000e+00,0.000000e+00,0.0000000000e+00,0.0000e+00,0.9687
0.57,-3.70347200e-06,3.801310e-06,4.927234e-08,4.4408920985e-16,0.0000e+00,0.9687
1.14,6.59171233e-06,1.326939e-05,7.736104e-08,0.0000000000e+00,0.0000e+00,0.9687
1.72,1.11734877e-05,2.352063e-05,9.446887e-08,-4.4408920985e-16,0.0000e+00,0.9687
2.29,-1.84856686e-05,3.149708e-05,1.026728e-07,-1.2212453271e-15,0.0000e+00,0.9687
2.86,-4.30243181e-05,3.731172e-05,1.047306e-07,-1.3322676296e-15,0.0000e+00,0.9687
3.43,-2.17207097e-05,4.113442e-05,1.045243e-07,-9.9920072216e-16,0.0000e+00,0.9687
4.00,2.65620193e-05,4.276442e-05,1.045166e-07,-9.9920072216e-16,0.0000e+00,0.9687
4.58,4.89921136e-05,4.252984e-05,1.042250e-07,-7.7715611724e-16,0.0000e+00,0.9687
5.15,2.26477669e-05,4.109676e-05,1.027985e-07,-1.4432899320e-15,0.0000e+00,0.9687
5.72,-2.18759370e-05,3.921246e-05,1.002008e-07,-1.8873791419e-15,0.0000e+00,0.9687
6.29,-3.82428135e-05,3.765222e-05,9.738897e-08,-2.2204460493e-15,0.0000e+00,0.9687
6.86,-1.52272813e-05,3.695097e-05,9.575815e-08,-2.3314683517e-15,0.0000e+00,0.9687
7.44,1.62599035e-05,3.718884e-05,9.569591e-08,-3.1086244690e-15,0.0000e+00,0.9687
8.01,2.21301809e-05,3.808983e-05,9.671320e-08,-3.1086244690e-15,0.0000e+00,0.9687
8.58,1.35544424e-06,3.933788e-05,9.821841e-08,-3.2196467714e-15,0.0000e+00,0.9687
9.15,-1.89868645e-05,4.077822e-05,9.980550e-08,-3.9968028887e-15,0.0000e+00,0.9687
9.72,-1.77305672e-05,4.237050e-05,1.013742e-07,-4.4408920985e-15,0.0000e+00,0.9687
10.30,-8.61487617e-07,4.409524e-05,1.028966e-07,-4.1078251911e-15,0.0000e+00,0.9687
10.87,1.06041030e-05,4.593626e-05,1.042191e-07,-4.6629367034e-15,0.0000e+00,0.9687
11.44,6.28799230e-06,4.789411e-05,1.053114e-07,-4.4408920985e-15,0.0000e+00,0.9687
12.01,-4.89255984e-06,4.997935e-05,1.065124e-07,-5.1070259133e-15,0.0000e+00,0.9687
12.58,-8.81913684e-06,5.219246e-05,1.082046e-07,-5.5511151231e-15,0.0000e+00,0.9687
13.16,-2.76548396e-06,5.451131e-05,1.103300e-07,-5.5511151231e-15,0.0000e+00,0.9687
13.73,4.42833880e-06,5.689301e-05,1.125437e-07,-5.5511151231e-15,0.0000e+00,0.9687
14.30,5.19968724e-06,5.930308e-05,1.146250e-07,-6.2172489379e-15,0.0000e+00,0.9687
14.87,1.58922771e-06,6.174973e-05,1.165696e-07,-6.6613381478e-15,0.0000e+00,0.9687
15.44,3.53215615e-07,6.427638e-05,1.185619e-07,-6.6613381478e-15,0.0000e+00,0.9687
16.02,3.25751792e-06,6.692384e-05,1.208603e-07,-6.8833827527e-15,0.0000e+00,0.9687
16.59,5.39240399e-06,6.970771e-05,1.235359e-07,-7.2164496601e-15,0.0000e+00,0.9687
17.16,2.77714323e-06,7.262232e-05,1.263936e-07,-7.7715611724e-15,0.0000e+00,0.9687
17.73,-1.45063549e-06,7.565547e-05,1.291952e-07,-7.7715611724e-15,0.0000e+00,0.9687
18.30,-5.75479697e-07,7.879849e-05,1.318842e-07,-8.1046280798e-15,0.0000e+00,0.9687
18.88,6.71821866e-06,8.204570e-05,1.345897e-07,-8.5487172896e-15,0.0000e+00,0.9687
19.45,1.32270728e-05,8.539007e-05,1.375235e-07,-8.8817841970e-15,0.0000e+00,0.9687
20.02,1.05682599e-05,8.881334e-05,1.407636e-07,-9.7699626167e-15,0.0000e+00,0.9687
20.59,-8.72789245e-07,9.228118e-05,1.441860e-07,-9.4368957093e-15,0.0000e+00,0.9687
21.16,-1.08183136e-05,9.575004e-05,1.476977e-07,-9.8809849192e-15,0.0000e+00,0.9687
21.74,-8.88122619e-06,9.917424e-05,1.512678e-07,-1.0436096431e-14,0.0000e+00,0.9687
22.31,4.54965915e-06,1.025153e-04,1.548736e-07,-1.1102230246e-14,0.0000e+00,0.9687
22.88,1.76633526e-05,1.057519e-04,1.584697e-07,-1.0658141036e-14,0.0000e+00,0.9687
23.45,1.78219370e-05,1.088848e-04,1.620319e-07,-1.1657341759e-14,0.0000e+00,0.9687
24.02,3.25255236e-06,1.119307e-04,1.656011e-07,-1.1768364061e-14,0.0000e+00,0.9687
24.60,-1.51864420e-05,1.149115e-04,1.692467e-07,-1.1990408666e-14,0.0000e+00,0.9687
25.17,-2.34325729e-05,1.178451e-04,1.729856e-07,-1.2101430968e-14,0.0000e+00,0.9687
25.74,-1.58018987e-05,1.207455e-04,1.767447e-07,-1.2545520178e-14,0.0000e+00,0.9687
26.31,1.29404842e-06,1.236268e-04,1.804066e-07,-1.3100631691e-14,0.0000e+00,0.9687
26.88,1.54619454e-05,1.265068e-04,1.838928e-07,-1.3100631691e-14,0.0000e+00,0.9687
27.46,1.78238508e-05,1.294025e-04,1.872146e-07,-1.4099832413e-14,0.0000e+00,0.9687
28.03,7.99730460e-06,1.323241e-04,1.904590e-07,-1.4432899320e-14,0.0000e+00,0.9687
28.60,-7.88309223e-06,1.352700e-04,1.937246e-07,-1.4543921623e-14,0.0000e+00,0.9687
29.17,-2.23625472e-05,1.382302e-04,1.970498e-07,-1.5210055437e-14,0.0000e+00,0.9687
29.74,-3.01890403e-05,1.411919e-04,2.003844e-07,-1.5210055437e-14,0.0000e+00,0.9687
30.32,-2.88096349e-05,1.441447e-04,2.036189e-07,-1.5765166950e-14,0.0000e+00,0.9687
30.89,-1.78623851e-05,1.470823e-04,2.066461e-07,-1.6320278462e-14,0.0000e+00,0.9687
31.46,4.34584054e-07,1.500012e-04,2.094157e-07,-1.7097434579e-14,0.0000e+00,0.9687
32.03,2.05564028e-05,1.529007e-04,2.119526e-07,-1.7097434579e-14,0.0000e+00,0.9687
32.60,3.46421728e-05,1.557819e-04,2.143293e-07,-1.7430501487e-14,0.0000e+00,0.9687
33.17,3.58896946e-05,1.586466e-04,2.166112e-07,-1.7874590696e-14,0.0000e+00,0.9687
33.75,2.24882159e-05,1.614964e-04,2.188111e-07,-1.8540724511e-14,0.0000e+00,0.9687
34.32,-8.49643956e-07,1.643322e-04,2.208749e-07,-1.8984813721e-14,0.0000e+00,0.9687
34.89,-2.50171002e-05,1.671558e-04,2.227122e-07,-1.9428902931e-14,0.0000e+00,0.9687
35.46,-4.08037968e-05,1.699710e-04,2.242555e-07,-1.9650947536e-14,0.0000e+00,0.9687
36.03,-4.25874728e-05,1.727832e-04,2.255032e-07,-1.9872992141e-14,0.0000e+00,0.9687
36.61,-2.96787114e-05,1.755969e-04,2.265126e-07,-2.0983215165e-14,0.0000e+00,0.9687
37.18,-5.53548773e-06,1.784114e-04,2.273504e-07,-2.1205259770e-14,0.0000e+00,0.9687
37.75,2.38341577e-05,1.812195e-04,2.280478e-07,-2.1427304375e-14,0.0000e+00,0.9687
38.32,5.13613466e-05,1.840097e-04,2.285939e-07,-2.1871393585e-14,0.0000e+00,0.9687
38.89,7.02843968e-05,1.867707e-04,2.289605e-07,-2.2870594307e-14,0.0000e+00,0.9687
39.47,7.56910176e-05,1.894944e-04,2.291289e-07,-2.2870594307e-14,0.0000e+00,0.9687
40.04,6.59898983e-05,1.921773e-04,2.290998e-07,-2.3314683517e-14,0.0000e+00,0.9687
40.61,4.35117289e-05,1.948211e-04,2.288877e-07,-2.3980817332e-14,0.0000e+00,0.9687
41.18,1.36800455e-05,1.974312e-04,2.285073e-07,-2.4646951147e-14,0.0000e+00,0.9687
41.75,-1.69189901e-05,2.000154e-04,2.279613e-07,-2.4757973449e-14,0.0000e+00,0.9687
42.33,-4.25642810e-05,2.025819e-04,2.272431e-07,-2.5535129566e-14,0.0000e+00,0.9687
42.90,-5.96132947e-05,2.051358e-04,2.263595e-07,-2.5646151869e-14,0.0000e+00,0.9687
43.47,-6.67069546e-05,2.076778e-04,2.253503e-07,-2.6090241079e-14,0.0000e+00,0.9687
44.04,-6.43999533e-05,2.102026e-04,2.242760e-07,-2.6090241079e-14,0.0000e+00,0.9687
44.61,-5.47027077e-05,2.127014e-04,2.231719e-07,-2.7311486406e-14,0.0000e+00,0.9687
45.19,-4.06565511e-05,2.151645e-04,2.220158e-07,-2.7755575616e-14,0.0000e+00,0.9687
