tag,grid,limiter,wellbalanced,A,T,nodes,dt,errD_end,rhoc_drift_end,Mb_drift_end,Snorm_end,vatm_max,rstar_max_R,amp_first300,amp_last300,peak1_kHz,peak2_kHz,peak3_kHz,peak4_kHz,nfix,seconds
I1_minmod_noWB_static,I1,minmod,false,0e+00,10000,192,0.11440,1.075e-03,-3.272e-04,-3.430e-11,8.440e-08,3.245e-01,1.1875,7.957e-04,2.448e-06,2.6546,8.1949,9.1727,14.7573,7068760,14
I1_minmod_noWB_seeded,I1,minmod,false,1e-03,4000,192,0.11438,4.392e-02,-3.201e-03,6.762e-04,5.484e-06,9.772e-01,2.0000,8.426e-03,1.207e-02,2.6523,7.1774,10.2579,11.8681,2066996,5
I1R_minmod_noWB_static,I1R,minmod,false,0e+00,10000,720,0.02981,5.145e-03,1.560e-03,-9.135e-10,5.237e-06,1.948e-01,1.0875,2.174e-04,5.381e-03,4.5846,6.3186,8.0688,14.9953,40456878,142
I1R_minmod_noWB_seeded,I1R,minmod,false,1e-03,4000,720,0.02981,7.107e-03,1.186e-04,-2.224e-10,7.282e-06,1.912e-01,1.0625,7.003e-03,1.286e-02,2.6849,4.5426,6.2975,10.8016,10843394,59
I2_minmod_noWB_static,I2,minmod,false,0e+00,4000,182,0.11440,3.513e-02,1.490e-02,6.410e-04,1.150e-05,9.760e-01,2.0000,8.249e-03,2.711e-02,2.6429,4.1225,6.8413,10.9160,2381088,4
I2_wb_noWB_static,I2,wb,false,0e+00,10000,182,0.11440,1.045e-03,-3.299e-04,-2.081e-11,5.688e-07,0.000e+00,0.9687,1.136e-04,1.565e-06,2.7106,2.7643,2.8180,NaN,7641622,6
I2_wb_noWB_seeded,I2,wb,false,1e-03,4000,182,0.11438,9.550e-04,-2.386e-04,-7.871e-12,5.370e-07,0.000e+00,0.9687,3.727e-03,3.500e-06,2.7760,NaN,NaN,NaN,3665032,3
I2_wb_WB_static,I2,wb,true,0e+00,4000,182,0.11440,1.251e-12,-1.386e-12,-1.024e-12,6.313e-18,0.000e+00,0.9687,7.950e-14,6.002e-14,1.0490,1.4971,2.3116,2.6546,385584,2
I2_wb_WB_seeded,I2,wb,true,1e-03,4000,182,0.11438,9.253e-04,1.762e-03,-6.188e-10,1.410e-06,4.651e-01,1.2500,1.406e-02,2.978e-03,2.6896,9.8331,10.1809,12.9347,806990,3
I2R_wb_noWB_static,I2R,wb,false,0e+00,4000,700,0.02981,1.584e-05,-2.948e-06,-7.592e-12,3.710e-09,0.000e+00,0.9938,2.159e-06,7.282e-08,2.6919,4.5729,6.4189,6.4702,56698362,36
I2R_wb_WB_seeded,I2R,wb,true,1e-03,4000,700,0.02981,2.668e-03,4.054e-03,-1.952e-10,8.064e-06,2.453e-01,1.0625,6.307e-03,5.719e-03,2.6849,4.5473,6.3256,8.0502,3753973,44
I1_wb_noWB_static,I1,wb,false,0e+00,4000,192,0.11440,1.245e-01,-2.908e-04,1.890e-02,1.865e-05,9.975e-01,3.0000,2.089e-02,1.004e-02,3.1610,5.6394,6.9907,8.4866,3279192,6
I1_wb_WB_seeded,I1,wb,true,1e-03,4000,192,0.11438,2.553e-02,-5.964e-03,-1.184e-10,1.779e-05,3.769e-01,1.2500,5.581e-03,2.049e-02,2.6756,6.6593,7.4084,10.0525,1164325,4
I2_mean_WB_seeded,I2,mean,true,1e-03,4000,182,0.11438,2.665e-02,1.379e-03,2.479e-09,7.823e-06,4.269e-01,1.5000,2.763e-02,7.914e-03,2.6663,8.9907,9.1447,10.5776,940937,3
I2_none_WB_static,I2,none,true,0e+00,4000,182,0.11440,2.315e-03,3.848e-03,8.058e-04,1.410e-06,9.528e-01,1.1875,6.680e-14,3.690e-03,NaN,NaN,NaN,NaN,871683,3
I1_minmod_noWB_seededlin,I1,minmod,false,1e-03,4000,192,0.11439,4.255e-02,1.651e-03,5.333e-04,1.085e-05,9.958e-01,2.0000,5.353e-03,1.573e-02,2.6616,7.1120,10.4259,11.5158,2105542,5
