# RoverM  ell  wR_id_M  wI_id_M  wR_v_M  wI_v_M
2.40  2  0.393769  -6.408151e-02  0.397440  -7.885218e-02
2.40  3  0.746010  -5.514428e-02  0.738476  -6.773031e-02
2.40  4  0.779877  -3.110856e-03  NaN  0.000000e+00
2.40  5  1.039243  -1.163087e-02  1.035465  -2.472609e-02
2.40  6  1.185469  -3.277448e-03  NaN  0.000000e+00
2.45  2  0.391509  -1.196625e-02  0.386625  -2.699751e-02
2.45  3  0.564112  -2.753394e-03  NaN  0.000000e+00
2.45  4  0.849651  -1.777777e-02  0.844039  -3.236737e-02
2.45  5  1.010928  -7.194103e-03  NaN  0.000000e+00
2.45  6  1.169162  -2.386442e-03  NaN  0.000000e+00
2.50  2  0.412346  -2.199229e-02  0.404287  -3.670483e-02
2.50  3  0.598634  -8.356703e-03  0.595342  -2.485541e-02
2.50  4  0.771597  -3.015983e-03  NaN  0.000000e+00
2.50  5  1.380051  -2.988900e-01  NaN  0.000000e+00
2.50  6  1.601586  -2.692250e-01  NaN  0.000000e+00
2.60  2  0.438040  -4.448088e-02  0.424337  -5.677324e-02
2.60  3  0.642144  -2.718989e-02  0.633301  -4.195258e-02
2.60  4  0.831209  -1.707915e-02  0.825470  -3.250600e-02
2.60  5  1.015234  -1.081473e-02  NaN  0.000000e+00
2.60  6  1.196787  -6.782733e-03  NaN  0.000000e+00
